path,sha256,bytes,exists,observed_sha256,observed_bytes,status
audit/report_harmonization/report018_h09_order56a_stopped_independent_acceptance.md,a09a0c38a5cf431a0f66e6085ac1848a36dde487883a5896a4fe884b2127c617,4570,TRUE,a09a0c38a5cf431a0f66e6085ac1848a36dde487883a5896a4fe884b2127c617,4570,PASS
scripts/report_harmonization/check_h09_order56a_stopped_acceptance.R,57a0f0c682d2576f99131923677f5bd323be911e0695740a05e2e7f52b86aa44,10386,TRUE,57a0f0c682d2576f99131923677f5bd323be911e0695740a05e2e7f52b86aa44,10386,PASS
audit/report_harmonization/report018_h09_order56a_stopped_independent_verification.csv,fccd123cec38f3c0dbfb0245a714ab0df88bd9cc4f23803695fad5a44de95dff,881,TRUE,fccd123cec38f3c0dbfb0245a714ab0df88bd9cc4f23803695fad5a44de95dff,881,PASS
audit/hypotheses/H09/report018_order56a_display_repair/ORDER56A_FAIL_CLOSED_STOP.md,c2b74c53608d342f34954d63181dfee4313e0ff81cf1ec22141b8688fe1079c4,1136,TRUE,c2b74c53608d342f34954d63181dfee4313e0ff81cf1ec22141b8688fe1079c4,1136,PASS
audit/hypotheses/H09/report018_order56a_display_repair/order56a_stopped_evidence_manifest.csv,b77e9acc3dd1286dc914375f8ea6cc785f7e1519c08446fd0cd361f71b4b8a0f,21670,TRUE,b77e9acc3dd1286dc914375f8ea6cc785f7e1519c08446fd0cd361f71b4b8a0f,21670,PASS
audit/hypotheses/H09/report018_order56a_display_repair/render_execution.csv,f743b584f5762f39c75610d5fcc80ea40343ac31b8b25eeb6608971cdeba5c2a,438,TRUE,f743b584f5762f39c75610d5fcc80ea40343ac31b8b25eeb6608971cdeba5c2a,438,PASS
audit/hypotheses/H09/report018_order56a_display_repair/render_console.log,c87ef03eb439a353b33035bb6f4f82fd20a4c771cbb1ec1b5288304de1abc82f,2394,TRUE,c87ef03eb439a353b33035bb6f4f82fd20a4c771cbb1ec1b5288304de1abc82f,2394,PASS
audit/hypotheses/H09/report018_order56a_display_repair/final_stopped_status.csv,f53a2636e977ffe4808bd423fe935a94906e9ce890bd8689e2eb22fe1bc1ca68,567,TRUE,f53a2636e977ffe4808bd423fe935a94906e9ce890bd8689e2eb22fe1bc1ca68,567,PASS
audit/hypotheses/H09/report018_order56a_display_repair/candidate_typography_contract.csv,72c4bec75c1be65fe7ee06f86bb02e955a07da49aa2fd89ffc341560344e56df,810,TRUE,72c4bec75c1be65fe7ee06f86bb02e955a07da49aa2fd89ffc341560344e56df,810,PASS
audit/hypotheses/H09/report018_order56a_display_repair/candidate_visual_qa.csv,1a5f07b9871ae9ec985628accefa702d80c16573f434df51dfb220f35f90c33e,819,TRUE,1a5f07b9871ae9ec985628accefa702d80c16573f434df51dfb220f35f90c33e,819,PASS
audit/hypotheses/H09/report018_order56a_display_repair/durable_promotion_receipt.csv,c977f01124d3e17a0dd9f10f26bccc036ddc0537a261e49c4a210f4521bb53e6,124,TRUE,c977f01124d3e17a0dd9f10f26bccc036ddc0537a261e49c4a210f4521bb53e6,124,PASS
