"phrase","present","status"
"Answer in brief",TRUE,"PASS"
"covered 186 participants",TRUE,"PASS"
"complete for 185 participants",TRUE,"PASS"
"complete for all 186",TRUE,"PASS"
"131–141 participants",TRUE,"PASS"
"478–816 participant-days",TRUE,"PASS"
"11,325.5–18,851.0 derivation hours",TRUE,"PASS"
"149–154 participants",TRUE,"PASS"
"547–902 participant-days",TRUE,"PASS"
"12,980.0–20,891.8 derivation hours",TRUE,"PASS"
"Four inferential families were kept distinct for each placement",TRUE,"PASS"
"primary near-eye",TRUE,"PASS"
"Complementary chest",TRUE,"PASS"
"acceptable response/residual distribution and heteroscedasticity assessments",TRUE,"PASS"
"singular maximum-likelihood chronotype-by-site interaction fit",TRUE,"PASS"
"gap-timing-unaware dataset",TRUE,"PASS"
"direction instability",TRUE,"PASS"
"not an equivalence",TRUE,"PASS"
"does not establish that chronotype causes",TRUE,"PASS"
