"relative_path","sha256_pre","bytes_pre","sha256_post","bytes_post","exact","expected_transition","coordination_evidence_only","status"
"_build/nathealth/audit/hypotheses/H08/H08_analysis_preparation.html","cd0ce2210949559408d07bcbccac502d3b0a372b4229da70bdfc6dbe0c52f66b",732155,"cd0ce2210949559408d07bcbccac502d3b0a372b4229da70bdfc6dbe0c52f66b",732155,TRUE,FALSE,FALSE,"PASS"
"_build/nathealth/audit/hypotheses/H09/H09_analysis_preparation.html","4054dfc668365fdcb0d8cdedcb73900cbd3c471a1443fdcf37dfb4a1c9379d05",593181,"4054dfc668365fdcb0d8cdedcb73900cbd3c471a1443fdcf37dfb4a1c9379d05",593181,TRUE,FALSE,FALSE,"PASS"
"_build/nathealth/notebooks/hypotheses/H08.html","472848d0da3e3996fa1727151048e3cab4a7e363dba3dc8eda8b024eb5a4ca9a",340040,"472848d0da3e3996fa1727151048e3cab4a7e363dba3dc8eda8b024eb5a4ca9a",340040,TRUE,FALSE,FALSE,"PASS"
"_build/nathealth/notebooks/hypotheses/H09.html","dbc9122ca0a7be6e051741d8354f9ebdec8e072753d9b2592d6387f9716a7caa",244127,"901fd63b45182be70ef77166c418633220a7226d86f52e14d1c79afbfc7cdd16",244127,FALSE,TRUE,FALSE,"PASS"
"_build/nathealth/supplementary_information.html","a0b5d097b12ee4a7cbfbcd5cb4740f1eac81bf1c9dba1e4e00a9d5644bfec4eb",49234,"a0b5d097b12ee4a7cbfbcd5cb4740f1eac81bf1c9dba1e4e00a9d5644bfec4eb",49234,TRUE,FALSE,FALSE,"PASS"
"_quarto-nathealth.yml","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3",7480,"80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3",7480,TRUE,FALSE,FALSE,"PASS"
"_quarto.yml","44e4a7435494d570baca6e7b0de75b15be015a52c811c076dd2b8b959d70f59c",2517,"44e4a7435494d570baca6e7b0de75b15be015a52c811c076dd2b8b959d70f59c",2517,TRUE,FALSE,FALSE,"PASS"
".Rprofile","3f9d62fc3f1bf5888a09816101b705f9844ef4cd44ee5ad157f4168dac4af4d4",26,"3f9d62fc3f1bf5888a09816101b705f9844ef4cd44ee5ad157f4168dac4af4d4",26,TRUE,FALSE,FALSE,"PASS"
"artifacts/06_model_data/H09/H09_author_approvals.csv","a7788bb72fe19e68aa3f3116554ffc215299422596dc6863538fbfc069757070",1142,"a7788bb72fe19e68aa3f3116554ffc215299422596dc6863538fbfc069757070",1142,TRUE,FALSE,FALSE,"PASS"
"artifacts/06_model_data/H09/H09_base_bundle_audit.csv","21e8a8f965de898e88fc3ab6702e3b26472be3b345e7aa0f4e39df07a42255ae",491,"21e8a8f965de898e88fc3ab6702e3b26472be3b345e7aa0f4e39df07a42255ae",491,TRUE,FALSE,FALSE,"PASS"
