path,expected_sha256,observed_sha256,bytes,status
notebooks/hypotheses/H09.qmd,c738a4365d01497030a260691ceff35fd5c2dab478148fd28676e27981e203c6,c738a4365d01497030a260691ceff35fd5c2dab478148fd28676e27981e203c6,36970,PASS
_build/nathealth/notebooks/hypotheses/H09.html,dbc9122ca0a7be6e051741d8354f9ebdec8e072753d9b2592d6387f9716a7caa,dbc9122ca0a7be6e051741d8354f9ebdec8e072753d9b2592d6387f9716a7caa,244127,PASS
audit/hypotheses/H09/H09_analysis_preparation.qmd,7563a933289b1c4a2275eead58ae8cfaa6492fb0a27b7202f4a9be516eb88a46,7563a933289b1c4a2275eead58ae8cfaa6492fb0a27b7202f4a9be516eb88a46,47901,PASS
_build/nathealth/audit/hypotheses/H09/H09_analysis_preparation.html,4054dfc668365fdcb0d8cdedcb73900cbd3c471a1443fdcf37dfb4a1c9379d05,4054dfc668365fdcb0d8cdedcb73900cbd3c471a1443fdcf37dfb4a1c9379d05,593181,PASS
_quarto-nathealth.yml,80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3,80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3,7480,PASS
scripts/hypotheses/H09/refresh_h09_order56_figures.R,ceaf4771c8a8e3248f690930325cd7ecc2522e2bee464a321e783395029f1ffe,ceaf4771c8a8e3248f690930325cd7ecc2522e2bee464a321e783395029f1ffe,19346,PASS
tests/hypotheses/H09/test_h09_order56_display_repair.R,eefa3e278abdb2208181cdc1e70529dbb5295b1a58cf0d1d5b4fcbe98b925642,eefa3e278abdb2208181cdc1e70529dbb5295b1a58cf0d1d5b4fcbe98b925642,21431,PASS
scripts/hypotheses/H09/run_h09_stage2.R,4711057eacebdfc7ee9295d9f895e8ab73f60c0f7a51d0b03ea61459b7ac611c,4711057eacebdfc7ee9295d9f895e8ab73f60c0f7a51d0b03ea61459b7ac611c,92080,PASS
artifacts/12_manifests/H09/H09_figure_manifest.csv,74c0f444f5670ec86b319f09836e2fb670ebba768f81b0bbdeeaf989159f15ce,74c0f444f5670ec86b319f09836e2fb670ebba768f81b0bbdeeaf989159f15ce,4360,PASS
scripts/report_harmonization/post_render_gt_html_semantics.R,28c1105840834e95a37f84eaded9a2c595b9febd568fbc763daef247a53d7205,28c1105840834e95a37f84eaded9a2c595b9febd568fbc763daef247a53d7205,21453,PASS
scripts/report_harmonization/repair_gt_html_semantics.R,7c949930fec862a4ce783c28d0256d36cb45de7c017bd9fcbb7cb910599463d1,7c949930fec862a4ce783c28d0256d36cb45de7c017bd9fcbb7cb910599463d1,17747,PASS
renv.lock,3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350,3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350,603493,PASS
