"endpoint","output_path","x","y","width","height","geometry","status"
"tbl-h09-metrics","audit/hypotheses/H09/report018_order56b_environment_retry/visual_table_metrics_708px.png",25,41,657,264,"657x264+25+41","PASS"
"tbl-h09-formulas","audit/hypotheses/H09/report018_order56b_environment_retry/visual_table_formulas_708px.png",25,40,657,215,"657x215+25+40","PASS"
"tbl-h09-primary-samples","audit/hypotheses/H09/report018_order56b_environment_retry/visual_table_primary-samples_708px.png",25,40,657,672,"657x672+25+40","PASS"
"tbl-h09-near-eye-results","audit/hypotheses/H09/report018_order56b_environment_retry/visual_table_near-eye-results_708px.png",25,40,657,488,"657x488+25+40","PASS"
"tbl-h09-chest-results","audit/hypotheses/H09/report018_order56b_environment_retry/visual_table_chest-results_708px.png",25,41,657,488,"657x488+25+41","PASS"
"tbl-h09-paired-placement","audit/hypotheses/H09/report018_order56b_environment_retry/visual_table_paired-placement_708px.png",25,40,657,455,"657x455+25+40","PASS"
"tbl-h09-interactions","audit/hypotheses/H09/report018_order56b_environment_retry/visual_table_interactions_708px.png",25,40,657,554,"657x554+25+40","PASS"
"tbl-h09-qualified-diagnostics","audit/hypotheses/H09/report018_order56b_environment_retry/visual_table_qualified-diagnostics_708px.png",25,40,657,281,"657x281+25+40","PASS"
"tbl-h09-gap-sensitivity","audit/hypotheses/H09/report018_order56b_environment_retry/visual_table_gap-sensitivity_708px.png",25,41,657,335,"657x335+25+41","PASS"
"tbl-h09-sensitivity-summary","audit/hypotheses/H09/report018_order56b_environment_retry/visual_table_sensitivity-summary_708px.png",25,40,657,174,"657x174+25+40","PASS"
"tbl-h09-mean-timing-sensitivity","audit/hypotheses/H09/report018_order56b_environment_retry/visual_table_mean-timing-sensitivity_708px.png",25,40,657,217,"657x217+25+40","PASS"
"fig-h09-primary-effects","audit/hypotheses/H09/report018_order56b_environment_retry/visual_finalsize_170mm_primary-effects.png",25,41,643,530,"643x530+25+41","PASS"
"fig-h09-paired-placement","audit/hypotheses/H09/report018_order56b_environment_retry/visual_finalsize_170mm_paired-placement.png",25,41,643,609,"643x609+25+41","PASS"
"fig-h09-near-eye-diagnostics","audit/hypotheses/H09/report018_order56b_environment_retry/visual_finalsize_170mm_near-eye-diagnostics.png",25,40,643,1158,"643x1158+25+40","PASS"
"fig-h09-chest-diagnostics","audit/hypotheses/H09/report018_order56b_environment_retry/visual_finalsize_170mm_chest-diagnostics.png",25,40,643,1158,"643x1158+25+40","PASS"
