check,observed,expected,status
controlling identities,4/4,4/4,PASS
dispatch shape,rows=40 unique=TRUE non_circular=TRUE,rows=40 unique=TRUE non_circular=TRUE,PASS
dispatch hard pins,39/39 exact,39/39 exact,PASS
coordination evidence,d171f7c241b1c2a28a3005bf8a48f6f04ce882d1732b9ddbebd155e21c7ea6ba,d171f7c241b1c2a28a3005bf8a48f6f04ce882d1732b9ddbebd155e21c7ea6ba,PASS
independent stopped seal,39/39 exact,39/39 exact,PASS
R 4.6.1 checker,12/12 PASS,12/12 PASS,PASS
fixed project identities,12/12 exact,12/12 exact,PASS
promoted outputs,8/8 exact,8/8 exact,PASS
Sass database identity,owner=zauner bytes=36864 hash=22f60821f5020edfa0900fc872503bbe993388c7f5acb86c059bc53dcd606853,owner=zauner bytes=36864 exact stated hash,PASS
failed semantic directory empty,0,0,PASS
competing process probe,5/5 zero,5/5 zero,PASS
authoritative versions,R=4.6.1 Quarto=1.9.37,R=4.6.1 Quarto=1.9.37,PASS
