"domain","status"
"sole result render","PASS"
"semantic reverse and reapplication","PASS"
"semantic visible and structural invariance","PASS"
"11 native gt endpoints","PASS"
"formula table and five unique formulas","PASS"
"four figure endpoints and source reconciliation","PASS"
"document IDs and table header references","PASS"
"23 links and 21 unique targets","PASS"
"reader hierarchy, qualifications, and sensitivities","PASS"
"FDR families and bolding","PASS"
"country-coded sites and active navigation","PASS"
"embedded defects and local paths","PASS"
"historical tests and manifests","PASS"
"build delta classification","PASS"
"protected identity reconciliation","PASS"
"figure typography floor pending visual QA","PASS"
