"role","path","sha256","bytes","r_version"
"order45a stopped evidence","audit/hypotheses/H05/report018_order45a_companion_render/order45a_stopped_state.md","7f474471b2c221e8e66f8b67e5cbfb1b583b30da8e158de78daeb53aa65ba07b",3972,"4.6.1"
"order45a stopped evidence","audit/hypotheses/H05/report018_order45a_companion_render/render_execution.txt","5fc3248cb98e933f4409d1769a0a4799b006b3c1a93f2abf13f027849d854e81",827,"4.6.1"
"order45a stopped evidence","audit/hypotheses/H05/report018_order45a_companion_render/integrity_failure_classification.csv","7070b271dfbca49f55d34518cc185d80b0bce07d84fbda44c702716b209dcba6",454,"4.6.1"
"order45a stopped evidence","audit/hypotheses/H05/report018_order45a_companion_render/input_transition_preflight.csv","4d2ffdc9fb44098ce837e18ea0b94997031e22b37d0309ffba3e822f221ac829",3952,"4.6.1"
"order45a stopped evidence","audit/hypotheses/H05/report018_order45a_companion_render/source_exact.diff","fa763ce280507ea3930d551d2386a2ace2616f43a18295341a9c966da620fd0c",3689,"4.6.1"
"order45a stopped evidence","audit/hypotheses/H05/report018_order45a_companion_render/build_inventory_prerender.csv","e938b4ff1649943491dfaf1391c618578cc00842f6e70ccce7ef616e7a613070",141429,"4.6.1"
"order45a stopped evidence","audit/hypotheses/H05/report018_order45a_companion_render/build_inventory_postfailure.csv","e938b4ff1649943491dfaf1391c618578cc00842f6e70ccce7ef616e7a613070",141429,"4.6.1"
"order45a stopped evidence","audit/hypotheses/H05/report018_order45a_companion_render/protected_inventory_prerender.csv","7f6cb9560ab8778d573c4e87d9040e26983230487e808d98e3969ec9050e999c",24901,"4.6.1"
"order45a stopped evidence","audit/hypotheses/H05/report018_order45a_companion_render/protected_inventory_postfailure.csv","7f6cb9560ab8778d573c4e87d9040e26983230487e808d98e3969ec9050e999c",24901,"4.6.1"
"order45a stopped evidence","audit/hypotheses/H05/report018_order45a_companion_render/symlink_audit_prerender.csv","f64c085566ccb5399e4abece0ec96dbd2f47593dc53ab4707ab9a5cf9fdcd09a",16,"4.6.1"
"order45a stopped evidence","audit/hypotheses/H05/report018_order45a_companion_render/symlink_audit_postfailure.csv","f64c085566ccb5399e4abece0ec96dbd2f47593dc53ab4707ab9a5cf9fdcd09a",16,"4.6.1"
"repaired companion source","audit/hypotheses/H05/H05_analysis_preparation.qmd","cce35a2631206945b23144abc6cba44d7297237fc60c716d0d0e3949d128ee57",77741,"4.6.1"
"exact companion preimage","audit/hypotheses/H05/report017_order36a_assignment_walker/snapshots/stopped_H05_analysis_preparation.qmd","0a5296442b46c8b9e43773d97eb979ffbbf3512faabe6f4399da2214d38cb81c",75630,"4.6.1"
"order45a authority","audit/report_harmonization/owner_orders/45a_h05_companion_provenance_reconciliation_and_render.md","3758c7165d6639f01255061ce930080d420f60a2c4c1328dd367303c2fe4e957",8526,"4.6.1"
"order45a authority","audit/report_harmonization/report018_h05_companion_order45a_dispatch_manifest.csv","811666cf2290fb2c4c48648588178952cc0dbcd8eef7658f718493d0c61a5995",4096,"4.6.1"
"order45a authority","audit/report_harmonization/report018_h05_order45_provenance_stop_independent_acceptance.md","880776c10c51f527a06fae589ab6ce82b5729df7cb90a1e52a743b0b5522b1c4",2986,"4.6.1"
"order45a authority","audit/report_harmonization/report018_h05_order45_provenance_stop_acceptance_manifest.csv","deeb2013cdfd431b9f94e5e9c9bef32594dc0b1a6626907f1caa5f5dd089d78d",1842,"4.6.1"
"stale companion HTML","_build/nathealth/audit/hypotheses/H05/H05_analysis_preparation.html","c44f4f77f4e2295f6b265ed9505c3c560361a7280562dd9ce1afce73149d5866",839152,"4.6.1"
"stale build QMD","_build/nathealth/audit/hypotheses/H05/H05_analysis_preparation.qmd","f8087740def5e4e75e5bf5eff82d9f58acf1865954a16919719a7280f3447bfc",72797,"4.6.1"
"accepted result source","notebooks/hypotheses/H05.qmd","7c20e16629729de433d1ab400038e9d32c73aeb25c95ecd44d581b876755d5e0",74309,"4.6.1"
"accepted result HTML","_build/nathealth/notebooks/hypotheses/H05.html","a088e105be1987508280e91b938142773c8fb9275f1e924ac1ec9958a9b199f1",640855,"4.6.1"
"profile","_quarto-nathealth.yml","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3",7480,"4.6.1"
"preparation helper","scripts/hypotheses/H05/build_h05_preparation_report_manifest.R","722659aaf622c6f841c52de1cb08720da1cf8177b9906c0afcddb1d903ea0b96",8729,"4.6.1"
"preparation test","tests/hypotheses/H05/test_h05_preparation_report.R","ec738f56fb8b3cf94755fd5055d128d1a22bcc31a435554568aaa15acf78890e",15264,"4.6.1"
"preparation manifest","artifacts/12_manifests/H05/H05_preparation_report_manifest.csv","bd4ae8ac8516e961d1c4a37b1c18d3262376cd27ba0ed9611b7b60d167059c36",34048,"4.6.1"
