"role","path","sha256","bytes","status"
"controlling_order","audit/report_harmonization/owner_orders/31a_h01_result_existing_html_semantic_visual_qa.md","cca90345dcbc6db724b25859aad99641d5599a108d7142d952363505063138d5",6456,"MATCH"
"result_source","notebooks/hypotheses/H01.qmd","5a3f1a03c5c83fba24f59d85d5fb949dd73162d9df9f33fde1a14a17aadda7a9",90547,"MATCH"
"companion_source","audit/hypotheses/H01/H01_analysis_preparation.qmd","962b28663d115c2da216e313f6eff22afb8ed2198d4441d7b0864d207ec231a8",54405,"MATCH"
"reporting_manifest","artifacts/12_manifests/H01_reporting_artifacts.csv","54b9b062a949c7aa0c4949a068670cd8b65ef65c8d785aeb71ba4167057aa676",11054,"MATCH"
"stage3_manifest","artifacts/12_manifests/H01_stage3_reporting_artifacts.csv","684046903baae35c8cf624bd3d0b317f0bdd5a31daf548d520a5ca759d7b43d8",22735,"MATCH"
"focused_test","tests/hypotheses/H01/test_h01_reporting_inputs.R","6e7b4de5a6580d95c81656f953e24a65743c6af5bf940eb1ce3ef628fc041f83",19445,"MATCH"
"profile","_quarto-nathealth.yml","5ccd16b064bfddd4777dd169720d89d42603bc1e2ddc8d6b0cb83c4cdefe3565",7404,"MATCH"
"result_html","_build/nathealth/notebooks/hypotheses/H01.html","ceb68cc24bd24cabdbab94aabe770c75a7ce0d3942f5c099064ed80eecf6da72",1371249,"MATCH"
"companion_html","_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html","5857f9e0655e5c1a8530c5794008d20dcb364749a8a7c36bd3e7815c15c36d38",667418,"MATCH"
"corpus_builder","scripts/report_harmonization/build_phase4_corpus_manifest.R","c01f0dc86e25bcf4a37685515cd692e2007774a004a4e902eac5936521749e2e",7282,"MATCH"
"navigation_test","tests/report_harmonization/test_navigation_contract.R","1ba59346328e8e4fb2aa898c5806313763711867514097969f5e4df1c22d3407",922,"MATCH"
"corpus_manifest","audit/report_harmonization/phase4_corpus_manifest.csv","52baecfc4d40288cf26cbe259115abddb72f749eae7e538eebafae97ced6aafb",11872,"MATCH"
"repair_acceptance","audit/report_harmonization/report017_h06_daily_corpus_contract_repair_independent_acceptance.md","bf93932680e890243566d8229d6c897b4953cbea14eb830df4392cb65ec77975",3852,"MATCH"
"repair_acceptance_manifest","audit/report_harmonization/report017_h06_daily_corpus_contract_repair_independent_acceptance_manifest.csv","a1e0b5cf2b93777dc51c8e306a02be7229cab98ea9a35086efe02b25323cb168",1940,"MATCH"
