"id","occurrences","owning_endpoints","all_within_gt_tables"
"a::stub",22,"tbl-h01-metric-registry; tbl-h01-primary-publication-summary; tbl-h01-primary-tests; tbl-h01-primary-effects; tbl-h01-primary-site-deviation-matrix; tbl-h01-primary-r2; tbl-h01-chest-tests; tbl-h01-chest-effects; tbl-h01-chest-r2; tbl-h01-samples-primary-near-eye; tbl-h01-samples-primary-chest; tbl-h01-samples-primary-near-eye-matched; tbl-h01-samples-primary-chest-matched; tbl-h01-samples-gap-near-eye; tbl-h01-samples-gap-chest; tbl-h01-samples-gap-near-eye-matched; tbl-h01-samples-gap-chest-matched; tbl-h01-diagnostic-assessment; tbl-h01-representative-diagnostics; tbl-h01-marginalization; tbl-h01-influence; tbl-h01-latitude-loo",TRUE
"Dynamics",8,"tbl-h01-metric-registry; tbl-h01-primary-publication-summary; tbl-h01-primary-tests; tbl-h01-primary-effects; tbl-h01-primary-r2; tbl-h01-chest-tests; tbl-h01-chest-effects; tbl-h01-chest-r2",TRUE
"stub_1_1",22,"tbl-h01-metric-registry; tbl-h01-primary-publication-summary; tbl-h01-primary-tests; tbl-h01-primary-effects; tbl-h01-primary-site-deviation-matrix; tbl-h01-primary-r2; tbl-h01-chest-tests; tbl-h01-chest-effects; tbl-h01-chest-r2; tbl-h01-samples-primary-near-eye; tbl-h01-samples-primary-chest; tbl-h01-samples-primary-near-eye-matched; tbl-h01-samples-primary-chest-matched; tbl-h01-samples-gap-near-eye; tbl-h01-samples-gap-chest; tbl-h01-samples-gap-near-eye-matched; tbl-h01-samples-gap-chest-matched; tbl-h01-diagnostic-assessment; tbl-h01-representative-diagnostics; tbl-h01-marginalization; tbl-h01-influence; tbl-h01-latitude-loo",TRUE
"stub_1_2",22,"tbl-h01-metric-registry; tbl-h01-primary-publication-summary; tbl-h01-primary-tests; tbl-h01-primary-effects; tbl-h01-primary-site-deviation-matrix; tbl-h01-primary-r2; tbl-h01-chest-tests; tbl-h01-chest-effects; tbl-h01-chest-r2; tbl-h01-samples-primary-near-eye; tbl-h01-samples-primary-chest; tbl-h01-samples-primary-near-eye-matched; tbl-h01-samples-primary-chest-matched; tbl-h01-samples-gap-near-eye; tbl-h01-samples-gap-chest; tbl-h01-samples-gap-near-eye-matched; tbl-h01-samples-gap-chest-matched; tbl-h01-diagnostic-assessment; tbl-h01-representative-diagnostics; tbl-h01-marginalization; tbl-h01-influence; tbl-h01-latitude-loo",TRUE
"Level",8,"tbl-h01-metric-registry; tbl-h01-primary-publication-summary; tbl-h01-primary-tests; tbl-h01-primary-effects; tbl-h01-primary-r2; tbl-h01-chest-tests; tbl-h01-chest-effects; tbl-h01-chest-r2",TRUE
"stub_1_3",22,"tbl-h01-metric-registry; tbl-h01-primary-publication-summary; tbl-h01-primary-tests; tbl-h01-primary-effects; tbl-h01-primary-site-deviation-matrix; tbl-h01-primary-r2; tbl-h01-chest-tests; tbl-h01-chest-effects; tbl-h01-chest-r2; tbl-h01-samples-primary-near-eye; tbl-h01-samples-primary-chest; tbl-h01-samples-primary-near-eye-matched; tbl-h01-samples-primary-chest-matched; tbl-h01-samples-gap-near-eye; tbl-h01-samples-gap-chest; tbl-h01-samples-gap-near-eye-matched; tbl-h01-samples-gap-chest-matched; tbl-h01-diagnostic-assessment; tbl-h01-representative-diagnostics; tbl-h01-marginalization; tbl-h01-influence; tbl-h01-latitude-loo",TRUE
"stub_1_4",22,"tbl-h01-metric-registry; tbl-h01-primary-publication-summary; tbl-h01-primary-tests; tbl-h01-primary-effects; tbl-h01-primary-site-deviation-matrix; tbl-h01-primary-r2; tbl-h01-chest-tests; tbl-h01-chest-effects; tbl-h01-chest-r2; tbl-h01-samples-primary-near-eye; tbl-h01-samples-primary-chest; tbl-h01-samples-primary-near-eye-matched; tbl-h01-samples-primary-chest-matched; tbl-h01-samples-gap-near-eye; tbl-h01-samples-gap-chest; tbl-h01-samples-gap-near-eye-matched; tbl-h01-samples-gap-chest-matched; tbl-h01-diagnostic-assessment; tbl-h01-representative-diagnostics; tbl-h01-marginalization; tbl-h01-influence; tbl-h01-latitude-loo",TRUE
"stub_1_5",21,"tbl-h01-metric-registry; tbl-h01-primary-publication-summary; tbl-h01-primary-tests; tbl-h01-primary-effects; tbl-h01-primary-site-deviation-matrix; tbl-h01-primary-r2; tbl-h01-chest-tests; tbl-h01-chest-effects; tbl-h01-chest-r2; tbl-h01-samples-primary-near-eye; tbl-h01-samples-primary-chest; tbl-h01-samples-primary-near-eye-matched; tbl-h01-samples-primary-chest-matched; tbl-h01-samples-gap-near-eye; tbl-h01-samples-gap-chest; tbl-h01-samples-gap-near-eye-matched; tbl-h01-samples-gap-chest-matched; tbl-h01-diagnostic-assessment; tbl-h01-marginalization; tbl-h01-influence; tbl-h01-latitude-loo",TRUE
"Duration",8,"tbl-h01-metric-registry; tbl-h01-primary-publication-summary; tbl-h01-primary-tests; tbl-h01-primary-effects; tbl-h01-primary-r2; tbl-h01-chest-tests; tbl-h01-chest-effects; tbl-h01-chest-r2",TRUE
"stub_1_6",21,"tbl-h01-metric-registry; tbl-h01-primary-publication-summary; tbl-h01-primary-tests; tbl-h01-primary-effects; tbl-h01-primary-site-deviation-matrix; tbl-h01-primary-r2; tbl-h01-chest-tests; tbl-h01-chest-effects; tbl-h01-chest-r2; tbl-h01-samples-primary-near-eye; tbl-h01-samples-primary-chest; tbl-h01-samples-primary-near-eye-matched; tbl-h01-samples-primary-chest-matched; tbl-h01-samples-gap-near-eye; tbl-h01-samples-gap-chest; tbl-h01-samples-gap-near-eye-matched; tbl-h01-samples-gap-chest-matched; tbl-h01-diagnostic-assessment; tbl-h01-marginalization; tbl-h01-influence; tbl-h01-latitude-loo",TRUE
