"check","status","evidence"
"exact_native_gt_tables","PASS","36 endpoints; 36 unique labels"
"all_tables_semantically_complete","PASS","36 of 36 complete"
"principal_table_present","PASS","tbl-h01-primary-publication-summary"
"exact_labelled_figures","PASS","10 endpoints; 10 unique labels"
"all_figures_semantically_complete","PASS","10 of 10 complete"
"principal_figure_present","PASS","fig-h01-model-support"
"unique_document_ids","FAIL","a::stub; Dynamics; stub_1_1; stub_1_2; Level; stub_1_3; stub_1_4; stub_1_5; Duration; stub_1_6; stub_1_7; stub_1_8; stub_1_9; stub_1_10; Timing; stub_1_11; stub_1_12; stub_1_13; stub_1_14; stub_1_15; Exposure history; stub_1_16; Spectrum; stub_1_17; Photoperiod; Latitude; Photoperiod-FDR-adjusted-p; Latitude-FDR-adjusted-p; Photoperiod-effect-(95%-CI); Photoperiod-raw-p; Latitude-effect-per-10°-(95%-CI); Latitude-raw-p; Overall site; Site versus linear latitude; Site-statistic; Site-raw-p; Site-FDR-adjusted-p; Photoperiod-statistic; Latitude-statistic; Adequacy-statistic; Adequacy-raw-p; Adequacy-FDR-adjusted-p; Exact fitted sample; Participants; Participant-days; Observations; Sites; Site; Difference-or-ratio-(95%-CI); Raw-p; Within-metric-adjusted-p; Supported; Mean melEDI; Brightest 10 h mean; Darkest 10 h mean; Time above 250 lx melEDI during wake; Midpoint of the brightest 10 hours; Midpoint of the darkest 10 hours; Mean timing of exposure above 250 lx melEDI; Last light timing above 250 lx melEDI; Complete model; Variance partition; Non-additive term summaries; Model-R²; Fixed-effects-R²; Participant-associated; Not-represented; Site-part-R²; Photoperiod-part-R²; Latitude-part-R²; Grand average; stub_1_18; Unit; Days; Support-hours; Status; Prediction-bound-check; Question; Near eye — all available; Chest — all available; Conversion; Scenario; Metric; FDR-adjusted-p; Difference; Near eye; Chest; stub_1_19; stub_1_20; stub_1_21; stub_1_22; stub_1_23; stub_1_24; stub_1_25; stub_1_26; stub_1_27; stub_1_28; stub_1_29; stub_1_30; stub_1_31; stub_1_32; stub_1_33; stub_1_34; Term; Successful-refits; Model; Formula; Model-unit; Family"
"expected_sections_present","PASS","15 required sections"
"answer_in_brief_hierarchy","PASS","one Answer in brief note inside the hypothesis section"
"no_cell_errors_or_warnings","PASS","0 errors and 0 warnings"
"no_unresolved_reference_elements","PASS","zero unresolved-reference elements"
"no_unresolved_reference_text","PASS","zero unresolved-reference tokens in main reader text"
"no_raw_console_or_object_leak","PASS","zero raw-console or leaked-object markers in main reader text"
"no_internal_workflow_terms","PASS","zero prohibited internal workflow terms in main reader text"
"fdr_not_bh_in_compact_displays","FAIL","zero standalone BH abbreviations in table and figure compact text"
"all_reader_links_resolve","FAIL","203 reader links checked"
"no_forbidden_reader_targets","FAIL","2 forbidden targets"
"companion_link_resolves","PASS","../../audit/hypotheses/H01/H01_analysis_preparation.html"
"preparation_04_link_resolves","PASS","../../notebooks/preparation/04_metric_derivation.html"
"preparation_06_link_resolves","PASS","../../notebooks/preparation/06_model_ready_datasets.html"
"all_exact_deviation_anchors_resolve","PASS","40 links; 36 unique exact anchors"
"all_source_data_links_resolve","PASS","19 displayed source-data links"
"active_h01_navigation","PASS","../../notebooks/hypotheses/H01.html"
