check,status,evidence
Release pins,PASS,All eight accepted pins reproduced before rendering
Reporting manifest,PASS,49 of 49 rows match current hashes and byte counts
Stage 3 manifest,PASS,95 of 95 rows match current hashes and byte counts
Historical protected set,PASS,1215 paths matched before rendering; only the authorized target HTML changed after rendering
Build symlink audit,PASS,Zero symlinks before and after rendering
Static R boundary,PASS,124 expressions and 96 unique calls parsed without a forbidden scientific or write call
Source endpoint inventory,PASS,36 unique tbl-h01 endpoints and 10 unique fig-h01 endpoints
Focused HTML structure test,PASS,Fresh HTML passed the complete H01 focused test
Reader links,PASS,Current 35-source reader-link contract passed
Country-coded site labels,PASS,Current 35-source country-code contract passed
Navigation,FAIL,Shared profile contains deferred H06_daily sources
Dedicated 36-table DOM audit,NOT_RUN,Stopped at the required navigation failure
Dedicated 10-figure DOM audit,NOT_RUN,Stopped at the required navigation failure
Secure loopback QA,NOT_RUN,Server was not started after the required navigation failure
Principal table and figure review,NOT_RUN,Desktop narrow and 200 percent review remains held
