field,value
controlling_order,audit/report_harmonization/owner_orders/31_h01_result_phase4_render.md
controlling_order_sha256,f7178167bf10bc2f3d628c302e72e299251f27d58eea0e51aa78d3b6d57c0cea
normal_profile_smoke,PASS
restricted_probe,stopped before R output while waiting for the renv sandbox lock
r_version,4.6.1
quarto_version,1.9.37
renv_version,1.2.3
gt_version,1.3.0
knitr_version,1.51
rmarkdown_version,2.31
render_command,quarto render notebooks/hypotheses/H01.qmd --profile nathealth
render_start_utc,2026-08-14T12:20:37Z
render_end_utc,2026-08-14T12:21:45Z
render_process_wall_seconds,48.923
render_timestamp_envelope_seconds,68
render_exit_status,0
knitr_steps,75/75
render_warnings,none
render_errors,none
renv_notes,Dependency discovery took about 15 seconds at startup and shutdown; no file changed
output_path,_build/nathealth/notebooks/hypotheses/H01.html
output_sha256,ceb68cc24bd24cabdbab94aabe770c75a7ce0d3942f5c099064ed80eecf6da72
output_bytes,1371249
