"path","status","pre_type","post_type","pre_sha256","post_sha256","pre_bytes","post_bytes","pre_mtime_utc","post_mtime_utc"
"","metadata_only","directory","directory","","",,,"2026-08-14 11:31:03 UTC","2026-08-14 12:21:51 UTC"
"artifacts","metadata_only","directory","directory","","",,,"2026-08-12 07:26:29 UTC","2026-08-14 12:21:51 UTC"
"artifacts/09_tables","metadata_only","directory","directory","","",,,"2026-08-12 07:26:29 UTC","2026-08-14 12:21:51 UTC"
"artifacts/09_tables/H01","metadata_only","directory","directory","","",,,"2026-08-12 07:26:29 UTC","2026-08-14 12:21:51 UTC"
"artifacts/09_tables/H01/stage3","metadata_only","directory","directory","","",,,"2026-08-12 07:23:31 UTC","2026-08-14 12:21:51 UTC"
"artifacts/09_tables/H01/stage3/H01_stage3_diagnostic_details.csv","metadata_only","file","file","98a24e259e1e7bf827b5c02b73beed75c4f01c9bde1d4981b143f9ee38e02ff9","98a24e259e1e7bf827b5c02b73beed75c4f01c9bde1d4981b143f9ee38e02ff9",12729,12729,"2026-08-12 07:19:51 UTC","2026-08-12 08:21:31 UTC"
"artifacts/09_tables/H01/stage3/H01_stage3_exact_samples.csv","metadata_only","file","file","8c5b5430f7250693693201dd23925c76877a15bcf17c696bfd8f62f499948982","8c5b5430f7250693693201dd23925c76877a15bcf17c696bfd8f62f499948982",75990,75990,"2026-08-12 07:19:50 UTC","2026-08-12 08:21:31 UTC"
"artifacts/09_tables/H01/stage3/H01_stage3_model_results.csv","metadata_only","file","file","979c6b00540724b457a55d0b238a0a8b768ac11eaab8c9ba1bad4b56dbf37dc4","979c6b00540724b457a55d0b238a0a8b768ac11eaab8c9ba1bad4b56dbf37dc4",37522,37522,"2026-08-12 07:19:50 UTC","2026-08-12 08:21:31 UTC"
"artifacts/09_tables/H01/stage3/H01_stage3_primary_publication_summary.csv","metadata_only","file","file","0ab8408d1fabf4be96e793b0aa5d693d98540c3cbc835f55cba17863c3c0bd00","0ab8408d1fabf4be96e793b0aa5d693d98540c3cbc835f55cba17863c3c0bd00",5598,5598,"2026-08-12 07:19:50 UTC","2026-08-12 08:21:31 UTC"
"artifacts/09_tables/H01/stage3/H01_stage3_r2_table.csv","metadata_only","file","file","f3e52bec6640d43717c49b3a7e55f2d0cc646d4f693dd3b1b455a303c1a9ac74","f3e52bec6640d43717c49b3a7e55f2d0cc646d4f693dd3b1b455a303c1a9ac74",53100,53100,"2026-08-12 07:19:51 UTC","2026-08-12 08:21:31 UTC"
"artifacts/09_tables/H01/stage3/H01_stage3_site_contrasts.csv","metadata_only","file","file","4b0bf98cc94562e5f4b935889f0b24a41b22bc61b5c1d5c51e5255ac6284a6b0","4b0bf98cc94562e5f4b935889f0b24a41b22bc61b5c1d5c51e5255ac6284a6b0",163523,163523,"2026-08-12 07:19:50 UTC","2026-08-12 08:21:31 UTC"
"artifacts/10_figures","metadata_only","directory","directory","","",,,"2026-08-12 07:23:31 UTC","2026-08-14 12:21:51 UTC"
"artifacts/10_figures/H01","metadata_only","directory","directory","","",,,"2026-08-12 07:23:31 UTC","2026-08-14 12:21:51 UTC"
"artifacts/10_figures/H01/stage3","metadata_only","directory","directory","","",,,"2026-08-12 07:23:31 UTC","2026-08-14 12:21:51 UTC"
"artifacts/10_figures/H01/stage3/H01_stage3_paired_placement.png","metadata_only","file","file","866670f47457bf304467e787481589298d9b7cf7c2c5de560ac9500f044c4608","866670f47457bf304467e787481589298d9b7cf7c2c5de560ac9500f044c4608",226285,226285,"2026-08-12 07:19:54 UTC","2026-08-12 08:21:34 UTC"
"artifacts/10_figures/H01/stage3/H01_stage3_r2_intervals.png","metadata_only","file","file","47b3e49b4f484c6112b784d1c544eb846b8987e8dbb914a997da943245e8094a","47b3e49b4f484c6112b784d1c544eb846b8987e8dbb914a997da943245e8094a",232327,232327,"2026-08-12 07:19:53 UTC","2026-08-12 08:21:34 UTC"
"artifacts/10_figures/H01/stage3/H01_stage3_site_contrasts_chest.png","metadata_only","file","file","e54eb00b33529e46ccf4d782593917035162c166f0b5a1ccd0787e4bd62fce7a","e54eb00b33529e46ccf4d782593917035162c166f0b5a1ccd0787e4bd62fce7a",890511,890511,"2026-08-12 07:19:53 UTC","2026-08-12 08:21:34 UTC"
"artifacts/10_figures/H01/stage3/H01_stage3_site_contrasts_near_eye.png","metadata_only","file","file","f8503fa9cdddb864afab0d4d623941ba49d180dc83846245b5f686bcbfa37940","f8503fa9cdddb864afab0d4d623941ba49d180dc83846245b5f686bcbfa37940",603885,603885,"2026-08-12 07:19:52 UTC","2026-08-12 08:21:33 UTC"
"artifacts/11_source_data","metadata_only","directory","directory","","",,,"2026-08-12 07:23:24 UTC","2026-08-14 12:21:51 UTC"
"artifacts/11_source_data/H01","metadata_only","directory","directory","","",,,"2026-08-12 07:23:24 UTC","2026-08-14 12:21:51 UTC"
"artifacts/11_source_data/H01/stage3","metadata_only","directory","directory","","",,,"2026-08-12 07:23:24 UTC","2026-08-14 12:21:51 UTC"
"artifacts/11_source_data/H01/stage3/H01_stage3_METRIC011_l10_mean_medi_model_support_figure_source.csv","metadata_only","file","file","cf869aa233aca9230a9d295f7efae69fc51c1258a80daf90258d08122f5effc0","cf869aa233aca9230a9d295f7efae69fc51c1258a80daf90258d08122f5effc0",96013,96013,"2026-08-12 07:19:51 UTC","2026-08-12 08:21:31 UTC"
"artifacts/11_source_data/H01/stage3/H01_stage3_METRIC011_l10_mean_medi_paired_placement_figure_source.csv","metadata_only","file","file","8e1672e499e6bee05cde70647165e780dfa5cb9195ed0c3f1bd203da5d838853","8e1672e499e6bee05cde70647165e780dfa5cb9195ed0c3f1bd203da5d838853",21978,21978,"2026-08-12 07:19:51 UTC","2026-08-12 08:21:32 UTC"
"artifacts/11_source_data/H01/stage3/H01_stage3_METRIC011_l10_mean_medi_r2_figure_source.csv","metadata_only","file","file","596f1c6654e6a00ed25f3feda052ee4fb42bb69991270d48bf6092e59b5ffdb4","596f1c6654e6a00ed25f3feda052ee4fb42bb69991270d48bf6092e59b5ffdb4",76571,76571,"2026-08-12 07:19:51 UTC","2026-08-12 08:21:32 UTC"
"artifacts/11_source_data/H01/stage3/H01_stage3_METRIC011_l10_mean_medi_site_contrast_figure_source.csv","metadata_only","file","file","4b0bf98cc94562e5f4b935889f0b24a41b22bc61b5c1d5c51e5255ac6284a6b0","4b0bf98cc94562e5f4b935889f0b24a41b22bc61b5c1d5c51e5255ac6284a6b0",163523,163523,"2026-08-12 07:19:51 UTC","2026-08-12 08:21:31 UTC"
"artifacts/12_manifests","metadata_only","directory","directory","","",,,"2026-08-12 07:23:28 UTC","2026-08-14 12:21:51 UTC"
"artifacts/12_manifests/H01_stage3_reporting_artifacts.csv","content_changed","file","file","a5b7405dfe3de0d7ee37826df6891eafff99c3ae2b5e03d40c61aad78995dc9b","684046903baae35c8cf624bd3d0b317f0bdd5a31daf548d520a5ca759d7b43d8",22144,22735,"2026-08-12 07:19:54 UTC","2026-08-14 11:59:31 UTC"
"notebooks","metadata_only","directory","directory","","",,,"2026-08-14 11:31:03 UTC","2026-08-14 12:21:51 UTC"
"notebooks/hypotheses","metadata_only","directory","directory","","",,,"2026-08-13 12:01:02 UTC","2026-08-14 12:21:51 UTC"
"notebooks/hypotheses/H01.html","content_changed","file","file","53a216ff0ae82b2e9177671d6330862832c1c5f2a9e79251e0da0acb5671260f","ceb68cc24bd24cabdbab94aabe770c75a7ce0d3942f5c099064ed80eecf6da72",1351940,1371249,"2026-08-12 07:23:17 UTC","2026-08-14 12:21:38 UTC"
"search.json","content_changed","file","file","e88ef9a266bf6f9ec8eb3627b8f82caec69e7c6b9742529d0a23a04931317bb0","27ffac2a5785d6a58285bb16986a56a827fc6af29317ce83a55eee7c6a9b8592",1600276,1614475,"2026-08-14 10:43:31 UTC","2026-08-14 12:21:39 UTC"
"site_libs","metadata_only","directory","directory","","",,,"2026-08-14 10:10:21 UTC","2026-08-14 12:21:51 UTC"
"site_libs/bootstrap","metadata_only","directory","directory","","",,,"2026-08-14 11:30:53 UTC","2026-08-14 12:21:51 UTC"
"site_libs/bootstrap/bootstrap-a2a938b4dd5711f7a799c87bd16ba44c.min.css","metadata_only","file","file","b3d78f1077461003efc2b21acc3f81ee6ba80468fe09df310b4c339e2e19133c","b3d78f1077461003efc2b21acc3f81ee6ba80468fe09df310b4c339e2e19133c",498438,498438,"2026-08-14 11:30:35 UTC","2026-08-14 12:21:15 UTC"
"sitemap.xml","content_changed","file","file","fa053c36d43b41a1a07944aa9c63d756b27986bda5a28b61f5bb9bf953385450","bd0122f46975d3adb844acbf48ceef9fe2876fe5011a442542033687366304dd",5219,5219,"2026-08-14 11:30:53 UTC","2026-08-14 12:21:39 UTC"
