"role","path","sha256","bytes","note"
"controlling_order","audit/report_harmonization/owner_orders/31_h01_result_phase4_render.md","f7178167bf10bc2f3d628c302e72e299251f27d58eea0e51aa78d3b6d57c0cea",9212,"REPORT-017 order 31"
"accepted_result_source","notebooks/hypotheses/H01.qmd","5a3f1a03c5c83fba24f59d85d5fb949dd73162d9df9f33fde1a14a17aadda7a9",90547,"unchanged accepted H01 result source"
"accepted_companion_source","audit/hypotheses/H01/H01_analysis_preparation.qmd","962b28663d115c2da216e313f6eff22afb8ed2198d4441d7b0864d207ec231a8",54405,"unchanged accepted H01 companion source"
"accepted_reporting_manifest","artifacts/12_manifests/H01_reporting_artifacts.csv","54b9b062a949c7aa0c4949a068670cd8b65ef65c8d785aeb71ba4167057aa676",11054,"unchanged 49-row reporting manifest"
"accepted_stage3_manifest","artifacts/12_manifests/H01_stage3_reporting_artifacts.csv","684046903baae35c8cf624bd3d0b317f0bdd5a31daf548d520a5ca759d7b43d8",22735,"unchanged 95-row Stage 3 manifest"
"accepted_focused_test","tests/hypotheses/H01/test_h01_reporting_inputs.R","6e7b4de5a6580d95c81656f953e24a65743c6af5bf940eb1ce3ef628fc041f83",19445,"unchanged focused H01 test"
"accepted_profile","_quarto-nathealth.yml","5ccd16b064bfddd4777dd169720d89d42603bc1e2ddc8d6b0cb83c4cdefe3565",7404,"unchanged Nature Health profile"
"fresh_result_html","_build/nathealth/notebooks/hypotheses/H01.html","ceb68cc24bd24cabdbab94aabe770c75a7ce0d3942f5c099064ed80eecf6da72",1371249,"single fresh target render"
"protected_companion_html","_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html","5857f9e0655e5c1a8530c5794008d20dcb364749a8a7c36bd3e7815c15c36d38",667418,"held companion render remains unchanged"
"reader_link_test","tests/report_harmonization/test_reader_links.R","3b4164069b36493a643886d87065cffd1b5ca644854d4e3be12db0ac9e8aee21",10233,"structural contract passed"
"navigation_test","tests/report_harmonization/test_navigation_contract.R","c7cf87bd012a97bd4dae0f7e0da3255dc8063726c11a0ef885d70f2a5e8529bb",922,"structural contract failed on deferred H06_daily entries"
"country_code_test","tests/report_harmonization/test_country_coded_site_names.R","aab0faa578f2e4a0de093247dec65b395837789a5c6211ee46669b82f6402c2b",3490,"structural contract passed"
"owner_evidence","audit/report_harmonization/report017_h01_order31_result_render/build_delta_postrender.csv","c32b8c302a9c4a15d28625910f4e7947fdd2e0ddaff67387bd6d3b59e28fe184",7715,"REPORT-017 H01 order 31 evidence: build_delta_postrender.csv"
"owner_evidence","audit/report_harmonization/report017_h01_order31_result_render/build_inventory_postfailure.csv","1ce713e46c98b267d90f08dbb629c2db1c37bbd293e2607403d0779ffb3ea762",171516,"REPORT-017 H01 order 31 evidence: build_inventory_postfailure.csv"
"owner_evidence","audit/report_harmonization/report017_h01_order31_result_render/build_inventory_postrender.csv","1ce713e46c98b267d90f08dbb629c2db1c37bbd293e2607403d0779ffb3ea762",171516,"REPORT-017 H01 order 31 evidence: build_inventory_postrender.csv"
"owner_evidence","audit/report_harmonization/report017_h01_order31_result_render/build_inventory_prerender.csv","4b913c5972eafa6fe186d16e846b32918354e0fbb883ee50c19f75d87d1aecab",171516,"REPORT-017 H01 order 31 evidence: build_inventory_prerender.csv"
"owner_evidence","audit/report_harmonization/report017_h01_order31_result_render/environment_render_evidence.csv","f2291e58cd7354982b71878a4f8b63cb718444ddc76803873fd38b1133447517",971,"REPORT-017 H01 order 31 evidence: environment_render_evidence.csv"
"owner_evidence","audit/report_harmonization/report017_h01_order31_result_render/protected_1215_postfailure.csv","63c7e22d44c29d112446a7fd4c483a63f33566a2882bedf695d9e0593fcca68e",254624,"REPORT-017 H01 order 31 evidence: protected_1215_postfailure.csv"
"owner_evidence","audit/report_harmonization/report017_h01_order31_result_render/protected_1215_postrender.csv","63c7e22d44c29d112446a7fd4c483a63f33566a2882bedf695d9e0593fcca68e",254624,"REPORT-017 H01 order 31 evidence: protected_1215_postrender.csv"
"owner_evidence","audit/report_harmonization/report017_h01_order31_result_render/protected_1215_prerender.csv","fd699d4665412dd8c9da7ffd6c4c601806c122c557343708951f05281b949570",254624,"REPORT-017 H01 order 31 evidence: protected_1215_prerender.csv"
"owner_evidence","audit/report_harmonization/report017_h01_order31_result_render/r_chunk_call_inventory.csv","4a6dd1520d85eb7c61c3c391e93886986cc3a32beb600b234dd93a86739871be",936,"REPORT-017 H01 order 31 evidence: r_chunk_call_inventory.csv"
"owner_evidence","audit/report_harmonization/report017_h01_order31_result_render/release_pins_postfailure.csv","8f01b5a0c37d4b54f91c5e26f235d61b7102536279a544ebf86d32b8a9f9d0ce",1344,"REPORT-017 H01 order 31 evidence: release_pins_postfailure.csv"
"owner_evidence","audit/report_harmonization/report017_h01_order31_result_render/release_pins_postrender.csv","8f01b5a0c37d4b54f91c5e26f235d61b7102536279a544ebf86d32b8a9f9d0ce",1344,"REPORT-017 H01 order 31 evidence: release_pins_postrender.csv"
"owner_evidence","audit/report_harmonization/report017_h01_order31_result_render/release_pins_prerender.csv","cec954a7425839bd95c3a462413d6db0ea07d2e3f8326a028d2e5bc73cbc9eff",1344,"REPORT-017 H01 order 31 evidence: release_pins_prerender.csv"
"owner_evidence","audit/report_harmonization/report017_h01_order31_result_render/screenshot_manifest.csv","0b0d8e08c80361bda9c55624f5732ce604e15da5a1b7fc9ac085f30f76144dc0",401,"REPORT-017 H01 order 31 evidence: screenshot_manifest.csv"
"owner_evidence","audit/report_harmonization/report017_h01_order31_result_render/semantic_status.csv","cb1ff683e18fe34ae2d29db77436e335590040e90aef9588c452bde3e880e17c",1263,"REPORT-017 H01 order 31 evidence: semantic_status.csv"
"owner_evidence","audit/report_harmonization/report017_h01_order31_result_render/server_lifecycle.csv","011aa404a7a46b3088c7f6bd3c52243a9ff61d951022369531dda99d7c6a6758",238,"REPORT-017 H01 order 31 evidence: server_lifecycle.csv"
"owner_evidence","audit/report_harmonization/report017_h01_order31_result_render/source_endpoint_inventory.csv","d3574411e4a78d165fb929aa56bc2106691deb0b62c698e38b6d8b6a289c90a1",1778,"REPORT-017 H01 order 31 evidence: source_endpoint_inventory.csv"
"owner_evidence","audit/report_harmonization/report017_h01_order31_result_render/test_results.csv","1aa900af002f1000271e4b13dfda64c1ad5fa1e7509ac4aaa6723c7e602ad24f",462,"REPORT-017 H01 order 31 evidence: test_results.csv"
"owner_evidence","audit/report_harmonization/report017_h01_order31_result_render/verification.md","22f8f724b5d66111f93bf43d39b1c9ddca3b6e30430bb05d7c87e29e16d2642d",4956,"REPORT-017 H01 order 31 evidence: verification.md"
