run_id,data_scenario_id,placement,sample_scenario,analytical_role,metric_order,metric_id,analysis_unit,response_family,response_transform,site,participants,participant_days,observations,derivation_support_hours
main__chest__all_available,main,chest,all_available,complementary_chest,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,BAUA,20,95,95,1390.5
main__chest__all_available,main,chest,all_available,complementary_chest,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,FUSPCEU,21,73,73,1043.8666666666666
main__chest__all_available,main,chest,all_available,complementary_chest,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,IZTECH,17,94,94,1514.5
main__chest__all_available,main,chest,all_available,complementary_chest,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,KNUST,14,47,47,706.4333333333333
main__chest__all_available,main,chest,all_available,complementary_chest,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,RISE,16,89,89,1307.8666666666666
main__chest__all_available,main,chest,all_available,complementary_chest,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,THUAS,15,81,81,1221.1333333333334
main__chest__all_available,main,chest,all_available,complementary_chest,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,TUM,10,48,48,770.8
main__chest__all_available,main,chest,all_available,complementary_chest,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,UCR,39,205,205,3190.2
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,BAUA,16,76,76,1114.75
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,FUSPCEU,21,71,71,1018.9666666666667
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,IZTECH,17,93,93,1500.9
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,KNUST,11,37,37,558.0333333333333
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,RISE,13,72,72,1068.1166666666666
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,THUAS,13,61,61,918.1166666666667
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,TUM,10,48,48,770.8
