Id,file.name,position,serial,source_modality,source_repository,source_commit,source_doi,source_url,source_sha256
KNUST_S001,KNUST_S001_c_actlumus_Log_3333_20241014114326562,chest,3333,light_chest,AkuffoEtAl_Dataset_2025,ea49a38edfb1f6397302f37776a4496ed0ca2dd5,10.5281/zenodo.15576731,https://raw.githubusercontent.com/MeLiDosProject/AkuffoEtAl_Dataset_2025/ea49a38edfb1f6397302f37776a4496ed0ca2dd5/data/imported/light/light_chest.RData,0397df1b2c4d5c2ea98fa7707bcd07048140fa1c239823c814733da81b5d1377
KNUST_S001,KNUST_S001_h_actlumus_Log_2962_20241014112817666,glasses,2962,light_glasses,AkuffoEtAl_Dataset_2025,ea49a38edfb1f6397302f37776a4496ed0ca2dd5,10.5281/zenodo.15576731,https://raw.githubusercontent.com/MeLiDosProject/AkuffoEtAl_Dataset_2025/ea49a38edfb1f6397302f37776a4496ed0ca2dd5/data/imported/light/light_glasses.RData,405d423f4a322fb66d0fc1225456a2456404d4f9ab42a209e31e27c1ebe7e0e9
KNUST_S002,KNUST_S002_c_actlumus_Log_3333_20241021091558966,chest,3333,light_chest,AkuffoEtAl_Dataset_2025,ea49a38edfb1f6397302f37776a4496ed0ca2dd5,10.5281/zenodo.15576731,https://raw.githubusercontent.com/MeLiDosProject/AkuffoEtAl_Dataset_2025/ea49a38edfb1f6397302f37776a4496ed0ca2dd5/data/imported/light/light_chest.RData,0397df1b2c4d5c2ea98fa7707bcd07048140fa1c239823c814733da81b5d1377
KNUST_S002,KNUST_S002_h_actlumus_Log_2962_20241021090741933,glasses,2962,light_glasses,AkuffoEtAl_Dataset_2025,ea49a38edfb1f6397302f37776a4496ed0ca2dd5,10.5281/zenodo.15576731,https://raw.githubusercontent.com/MeLiDosProject/AkuffoEtAl_Dataset_2025/ea49a38edfb1f6397302f37776a4496ed0ca2dd5/data/imported/light/light_glasses.RData,405d423f4a322fb66d0fc1225456a2456404d4f9ab42a209e31e27c1ebe7e0e9
KNUST_S003,KNUST_S003_c_actlumus_Log_3333_20241028094746236,chest,3333,light_chest,AkuffoEtAl_Dataset_2025,ea49a38edfb1f6397302f37776a4496ed0ca2dd5,10.5281/zenodo.15576731,https://raw.githubusercontent.com/MeLiDosProject/AkuffoEtAl_Dataset_2025/ea49a38edfb1f6397302f37776a4496ed0ca2dd5/data/imported/light/light_chest.RData,0397df1b2c4d5c2ea98fa7707bcd07048140fa1c239823c814733da81b5d1377
KNUST_S003,KNUST_S003_h_actlumus_Log_2962_2024102809425943,glasses,2962,light_glasses,AkuffoEtAl_Dataset_2025,ea49a38edfb1f6397302f37776a4496ed0ca2dd5,10.5281/zenodo.15576731,https://raw.githubusercontent.com/MeLiDosProject/AkuffoEtAl_Dataset_2025/ea49a38edfb1f6397302f37776a4496ed0ca2dd5/data/imported/light/light_glasses.RData,405d423f4a322fb66d0fc1225456a2456404d4f9ab42a209e31e27c1ebe7e0e9
KNUST_S004,KNUST_S004_c_actlumus_Log_3333_20241104092813934,chest,3333,light_chest,AkuffoEtAl_Dataset_2025,ea49a38edfb1f6397302f37776a4496ed0ca2dd5,10.5281/zenodo.15576731,https://raw.githubusercontent.com/MeLiDosProject/AkuffoEtAl_Dataset_2025/ea49a38edfb1f6397302f37776a4496ed0ca2dd5/data/imported/light/light_chest.RData,0397df1b2c4d5c2ea98fa7707bcd07048140fa1c239823c814733da81b5d1377
KNUST_S004,KNUST_S004_h_actlumus_Log_2962_20241104092324260,glasses,2962,light_glasses,AkuffoEtAl_Dataset_2025,ea49a38edfb1f6397302f37776a4496ed0ca2dd5,10.5281/zenodo.15576731,https://raw.githubusercontent.com/MeLiDosProject/AkuffoEtAl_Dataset_2025/ea49a38edfb1f6397302f37776a4496ed0ca2dd5/data/imported/light/light_glasses.RData,405d423f4a322fb66d0fc1225456a2456404d4f9ab42a209e31e27c1ebe7e0e9
KNUST_S005,KNUST_S005_c_actlumus_Log_3333_20241111094607658,chest,3333,light_chest,AkuffoEtAl_Dataset_2025,ea49a38edfb1f6397302f37776a4496ed0ca2dd5,10.5281/zenodo.15576731,https://raw.githubusercontent.com/MeLiDosProject/AkuffoEtAl_Dataset_2025/ea49a38edfb1f6397302f37776a4496ed0ca2dd5/data/imported/light/light_chest.RData,0397df1b2c4d5c2ea98fa7707bcd07048140fa1c239823c814733da81b5d1377
KNUST_S005,KNUST_S005_h_actlumus_Log_2962_20241111093941339,glasses,2962,light_glasses,AkuffoEtAl_Dataset_2025,ea49a38edfb1f6397302f37776a4496ed0ca2dd5,10.5281/zenodo.15576731,https://raw.githubusercontent.com/MeLiDosProject/AkuffoEtAl_Dataset_2025/ea49a38edfb1f6397302f37776a4496ed0ca2dd5/data/imported/light/light_glasses.RData,405d423f4a322fb66d0fc1225456a2456404d4f9ab42a209e31e27c1ebe7e0e9
