"id","line","type","dom_count"
"tbl-implementation-contract",54,"table",1
"tbl-implementation-samples",63,"table",1
"tbl-implementation-support",72,"table",1
"tbl-implementation-components",97,"table",1
"tbl-implementation-routes",106,"table",1
"tbl-implementation-levels",120,"table",1
"tbl-implementation-primary",129,"table",1
"tbl-implementation-interactions",138,"table",1
"tbl-implementation-compact",147,"table",1
"tbl-implementation-families",156,"table",1
"tbl-implementation-localizations",165,"table",1
"tbl-implementation-endpoints",179,"table",1
"tbl-implementation-coverage",188,"table",1
"tbl-implementation-diagnostics",197,"table",1
"tbl-implementation-sensitivities",211,"table",1
"tbl-implementation-family-status",220,"table",1
"tbl-implementation-weighting",229,"table",1
"tbl-implementation-grouping",238,"table",1
"tbl-implementation-temporal-routes",252,"table",1
"tbl-implementation-temporal-residuals",261,"table",1
"tbl-implementation-chest",273,"table",1
"tbl-implementation-random",285,"table",1
"tbl-implementation-r2",294,"table",1
"tbl-implementation-shapley-global",303,"table",1
"tbl-implementation-shapley-within",312,"table",1
"tbl-implementation-reuse",326,"table",1
"fig-implementation-levels",337,"figure",1
"fig-implementation-workday",341,"figure",1
"fig-implementation-free-work",345,"figure",1
"fig-implementation-coverage",349,"figure",1
"tbl-implementation-artifacts",358,"table",1
"tbl-implementation-environment",367,"table",1
