"table_index","endpoint","rows","cells","header_cells","header_tokens","header_tokens_valid","header_ids_unique","caption_count","body_nonempty","body_sha256"
1,"tbl-implementation-contract",8,24,3,24,TRUE,TRUE,1,TRUE,"8ef16ff245d58c2efd84b00930441e696e754e948c313b63e5a686f0d2e1ea0f"
2,"tbl-implementation-samples",2,10,5,10,TRUE,TRUE,1,TRUE,"df10d8f39d665d66bb8447eb4ce85ea424b07bd66a36ea06b6d3f6a1cf89a55a"
3,"tbl-implementation-support",108,1296,12,1296,TRUE,TRUE,1,TRUE,"fafa1bcd9712978bc605a1865162b8faae5e93e98cd024d9b223621eab396d45"
4,"tbl-implementation-components",6,24,4,24,TRUE,TRUE,1,TRUE,"0d201ed8b23feb1997c9921d817e0182c5d1baa28a77cd4431e3861bbf799174"
5,"tbl-implementation-routes",35,176,5,175,TRUE,TRUE,1,TRUE,"8ba12a4583190a5b275c3fd93eef7ddc37d55022a257cc036391d2fd0adc2b19"
6,"tbl-implementation-levels",12,48,4,48,TRUE,TRUE,1,TRUE,"2f6f8cb300a944234f1d2711d4d519c9fd5922d9c273a32ac0bedf2a7f4c50d6"
7,"tbl-implementation-primary",6,31,5,30,TRUE,TRUE,1,TRUE,"6a77171bfc638f96ce4b08428a317b5a0157d94951552072999385b69ac492d7"
8,"tbl-implementation-interactions",8,48,6,48,TRUE,TRUE,1,TRUE,"e8acc23c8bb0123336219919e1c7298a0927e7b9c1ae1f3c3425b919ebe52bae"
9,"tbl-implementation-compact",11,78,9,77,TRUE,TRUE,1,TRUE,"cadc63635e7485b83d6a079e24443c549fe40242b19db4e655f8fbed4539b7a5"
10,"tbl-implementation-families",7,29,4,28,TRUE,TRUE,1,TRUE,"25fc6e5223c156b98d93377e4649826c5ea1e9d930d3b288ba88a1c2e4b2f986"
11,"tbl-implementation-localizations",27,190,7,189,TRUE,TRUE,1,TRUE,"fab0642a317d090cd990fad364a1e895bb5c1df733947b87fbd7412dfbfc0070"
12,"tbl-implementation-endpoints",12,97,8,96,TRUE,TRUE,1,TRUE,"800182c3201eeea4c1efc4a71faba3797528791ac4c05cc585cb2a38e81b6cde"
13,"tbl-implementation-coverage",3,21,7,21,TRUE,TRUE,1,TRUE,"7803979aa94886873f2c7752b09b0074881a5bdd659ee65e43438f01bf3067f0"
14,"tbl-implementation-diagnostics",20,80,4,80,TRUE,TRUE,1,TRUE,"36e27d6f83ab9c04397f4370d71098b72349373d05c1aaa1661347564b7e4c7b"
15,"tbl-implementation-sensitivities",86,603,7,602,TRUE,TRUE,1,TRUE,"250089e4d95984a8479e964f69b06a99cc3826bdb33be7f6efff32eea2ad4890"
16,"tbl-implementation-family-status",4,20,5,20,TRUE,TRUE,1,TRUE,"e73b6104c8b26359a997620023a4ba88bc1b22da25cd4386464e969427b76f76"
17,"tbl-implementation-weighting",3,12,4,12,TRUE,TRUE,1,TRUE,"731e375269fb99deed230d4f56ec61ce95f793b473cf2c90c27fa775b2163ba3"
18,"tbl-implementation-grouping",6,43,7,42,TRUE,TRUE,1,TRUE,"0df6dff980d02896708403474406ee77d70e203a500cb6b99e7872d1e260d049"
19,"tbl-implementation-temporal-routes",4,20,5,20,TRUE,TRUE,1,TRUE,"b511e1a65e7195a77c61617a102ef64101d7dd3227aa65bd20d1e856a98fb3c3"
20,"tbl-implementation-temporal-residuals",24,145,6,144,TRUE,TRUE,1,TRUE,"718967d25b408aeb06440da3653d4d6cf7215ba7b1ff559fbe6075738237c452"
21,"tbl-implementation-chest",2,13,6,12,TRUE,TRUE,1,TRUE,"ead13dd8728af14e52628208574440041ffc0459e9da31f4f9140b10c8e60f76"
22,"tbl-implementation-random",2,7,3,6,TRUE,TRUE,1,TRUE,"d5f795c114d3dcf6c0d53c5c9890aae9c0515c8bbe67742c93b018001727223e"
23,"tbl-implementation-r2",8,49,6,48,TRUE,TRUE,1,TRUE,"f78bb1b663618c3de63a6926b688e07b28f51b3983b83a69e0bfff0b2d3b6839"
24,"tbl-implementation-shapley-global",6,31,5,30,TRUE,TRUE,1,TRUE,"31cbc7d846963eca7368ccbeff97cffe25330f7dd409efaeb97252a031730093"
25,"tbl-implementation-shapley-within",12,61,5,60,TRUE,TRUE,1,TRUE,"ed059cee521cfc1ee6d718c281ae29955865d31f9d05a72f7ceecfaba989123f"
26,"tbl-implementation-reuse",4,20,5,20,TRUE,TRUE,1,TRUE,"dfc2a54aa72d0069451088d5974989a17b1dddbfb310d336f89f9e9c192bb5d9"
27,"tbl-implementation-artifacts",4,16,4,16,TRUE,TRUE,1,TRUE,"6d95bc0ff50b4a93900877c2426090458d1df3656bfcc555047d2fd457c462e8"
28,"tbl-implementation-environment",8,16,2,16,TRUE,TRUE,1,TRUE,"ce0e4bcc8de987fe652f581c57d5a4fec920e3504014cb10c816714f72f1ba91"
