"page","text"
"table_s2_part_01.html","01:10 ± 01:28"
"table_s2_part_01.html","02:00 ± 01:54"
"table_s2_part_01.html","01:33 ± 01:28"
"table_s2_part_01.html","01:48 ± 02:14"
"table_s2_part_01.html","01:06 ± 01:22"
"table_s2_part_01.html","01:09 ± 01:18"
"table_s2_part_01.html","00:38 ± 00:47"
"table_s2_part_01.html","00:44 ± 00:51"
"table_s2_part_01.html","00:32 ± 00:33"
"table_s2_part_01.html","00:58 ± 00:57"
"table_s2_part_01.html","03:00 ± 02:29"
"table_s2_part_01.html","04:21 ± 02:24"
"table_s2_part_01.html","03:39 ± 02:25"
"table_s2_part_01.html","04:05 ± 02:51"
"table_s2_part_01.html","02:52 ± 02:39"
"table_s2_part_01.html","02:57 ± 02:19"
"table_s2_part_01.html","03:02 ± 02:19"
"table_s2_part_01.html","02:09 ± 01:57"
"table_s2_part_01.html","01:48 ± 01:21"
"table_s2_part_01.html","01:45 ± 01:46"
"table_s2_part_01.html","01:51 ± 01:02"
"table_s2_part_01.html","02:05 ± 00:53"
"table_s2_part_01.html","01:59 ± 00:57"
"table_s2_part_01.html","01:41 ± 00:58"
"table_s2_part_01.html","01:52 ± 01:06"
"table_s2_part_01.html","01:45 ± 01:10"
"table_s2_part_01.html","01:50 ± 01:05"
"table_s2_part_01.html","01:38 ± 01:00"
"table_s2_part_01.html","01:56 ± 01:00"
"table_s2_part_01.html","02:09 ± 00:57"
"table_s2_part_01.html","07:04 ± 01:57"
"table_s2_part_01.html","07:12 ± 01:46"
"table_s2_part_01.html","07:01 ± 01:50"
"table_s2_part_01.html","07:05 ± 01:50"
"table_s2_part_01.html","06:47 ± 01:30"
"table_s2_part_01.html","05:58 ± 01:58"
"table_s2_part_01.html","08:02 ± 01:57"
"table_s2_part_01.html","06:40 ± 02:07"
"table_s2_part_01.html","06:39 ± 01:43"
"table_s2_part_01.html","07:35 ± 02:15"
"table_s2_part_01.html","00:55 ± 01:00"
"table_s2_part_01.html","01:12 ± 01:02"
"table_s2_part_01.html","01:09 ± 01:15"
"table_s2_part_01.html","01:20 ± 01:31"
"table_s2_part_01.html","00:50 ± 00:54"
"table_s2_part_01.html","01:01 ± 01:02"
"table_s2_part_01.html","00:45 ± 00:36"
"table_s2_part_01.html","00:43 ± 00:41"
"table_s2_part_01.html","00:30 ± 00:20"
"table_s2_part_01.html","00:38 ± 00:45"
"table_s2_part_01.html","0.318 ± 0.095"
"table_s2_part_01.html","0.315 ± 0.078"
"table_s2_part_01.html","0.288 ± 0.094"
"table_s2_part_01.html","0.274 ± 0.074"
"table_s2_part_01.html","0.344 ± 0.107"
"table_s2_part_01.html","0.252 ± 0.058"
"table_s2_part_01.html","0.368 ± 0.092"
"table_s2_part_01.html","0.323 ± 0.104"
"table_s2_part_01.html","0.37 ± 0.118"
"table_s2_part_01.html","0.299 ± 0.062"
"table_s2_part_01.html","1.229 ± 0.389"
"table_s2_part_01.html","1.088 ± 0.343"
"table_s2_part_01.html","1.238 ± 0.345"
"table_s2_part_01.html","1.177 ± 0.407"
"table_s2_part_01.html","1.125 ± 0.354"
"table_s2_part_01.html","1.332 ± 0.477"
"table_s2_part_01.html","1.251 ± 0.413"
"table_s2_part_01.html","1.307 ± 0.415"
"table_s2_part_01.html","1.355 ± 0.256"
"table_s2_part_01.html","1.344 ± 0.413"
"table_s2_part_02.html","10.358 ± 16.216"
"table_s2_part_02.html","19.923 ± 27.784"
"table_s2_part_02.html","15.881 ± 20.395"
"table_s2_part_02.html","13.809 ± 23.711"
"table_s2_part_02.html","7.719 ± 9.847"
"table_s2_part_02.html","10.055 ± 11.237"
