"source","target","exists"
"plan.md","state_site_daytype_support.csv",TRUE
"plan.md","state_missingness_and_sparse_history.csv",TRUE
"plan.md","candidate_design_rank.csv",TRUE
"plan.md","exact_candidate_membership.csv",TRUE
"plan.md","membership_scientific_columns.txt",TRUE
"plan.md","existing_output_coverage.csv",TRUE
"plan.md","formula_registry.csv",TRUE
"plan.md","visible_formula_objects.md",TRUE
"plan.md","planned_sensitivity_support.csv",TRUE
"plan.md","original_chest_coverage_manifest_row.csv",TRUE
"plan.md","prospective_model_jobs.csv",TRUE
"plan.md","prospective_conditional_fit_reserves.csv",TRUE
"plan.md","prospective_stage2_output_contract.csv",TRUE
"plan.md","downstream_dependencies.csv",TRUE
"plan.md","sensor_context_authority_pins.csv",TRUE
"plan.md","authority_identity_verification.csv",TRUE
"plan.md","release_manifest_verification.csv",TRUE
"plan.md","historical_evidence_copy_inventory.csv",TRUE
"plan.md","additional_dependency_pins.csv",TRUE
"plan.md","accepted_model_library_pins.csv",TRUE
"plan.md","planning_dependency_checks.csv",TRUE
"plan.md","historical_runtime_evidence.csv",TRUE
"plan.md","preexisting_protected_files.csv",TRUE
"stage1_handoff.md","plan.md",TRUE
"stage1_handoff.md","reader_presentation_contract.md",TRUE
