"check","passed","detail"
"preexisting_file_membership_exact",TRUE,"No file was added or removed outside the sole Stage 1 root."
"preexisting_file_identities_exact",TRUE,"2066 pre-existing identities; includes current QMD/HTML and dirty renv.lock."
"future_stage_roots_absent",TRUE,"Only Stage 1 exists."
"release_authority_preserved",TRUE,"Administrative ledger appends may preserve an exact dispatch-time prefix; all scientific and other release members must remain exact."
"additional_dependencies_exact",TRUE,"Source, coverage, frame, code and raincloud dependencies remain unchanged."
"completed_audit_copies_exact",TRUE,"22 historical copied files; scripts not executed."
"support_and_reuse_checks_pass",TRUE,"Fourteen support and exact reuse checks."
"two_complete_54_cell_samples",TRUE,"Any-valid and B80 cell support exported."
"exact_two_candidate_memberships",TRUE,"Key and scientific-field hashes define the exact samples."
"all_design_ranks_supported",TRUE,"Design rank is not a fitted Hessian claim."
"all_eight_sensitivity_memberships",TRUE,"Eight registered B filters have exact membership hashes."
"exploratory_subset_explicit",TRUE,"Frozen exploratory support is not expanded to the wider B-main support."
"raincloud_reuse_exact",TRUE,"Anonymous three-state vectors and counts match."
"stored_beta_binomial_B_reuse",TRUE,"Original B beta-binomial is a qualified benchmark only."
"accepted_library_versions",TRUE,"The existing production library is distinct from the base-R Stage 1 audit environment."
"accepted_library_identities",TRUE,"No package or library change."
"six_complete_primary_families",TRUE,"Primary family membership is fixed before results."
"M6_support_not_BH",TRUE,"One 27-test primary BH family only."
"finite_model_budget",TRUE,"30 nominal / 51 maximum proposed fit slots; zero executed in Stage 1."
"nine_LOSO_five_participant_slots",TRUE,"No exhaustive deletion battery."
"bounded_diagnostic_draw_proposal",TRUE,"Diagnostic-only proposal; zero draws executed."
"exact_formula_objects_present",TRUE,"All fixed, endpoint, dispersion and comparator formulas are visible."
"all_output_groups_defined",TRUE,"Every proposed Stage 2 output group has a path contract."
"existing_output_coverage_complete",TRUE,"Presence is distinguished from replacement-primary acceptance."
"downstream_map_complete",TRUE,"Main figures/tables, S5, exploratory subset, reader reports and Writer dependencies are covered."
"consequential_plan_terms_present",TRUE,"Threshold, coverage, computation, chronology, inference and gate terms are explicit."
"standalone_reader_instruction",TRUE,"The author's latest reader-language instruction is incorporated without editing current reports."
"sensor_authority_resolved",TRUE,"Existing placement authority controls; inconsistent historical caption is a later reporting dependency."
"no_scientific_execution_01_transfer_evidence.R",TRUE,"No fitting, inference, prediction or simulation call in 01_transfer_evidence.R"
"no_scientific_execution_02_check_unresolved_support.R",TRUE,"No fitting, inference, prediction or simulation call in 02_check_unresolved_support.R"
"no_scientific_execution_03_build_planning_registries.R",TRUE,"No fitting, inference, prediction or simulation call in 03_build_planning_registries.R"
"no_scientific_execution_04_verify_library_and_benchmarks.R",TRUE,"No fitting, inference, prediction or simulation call in 04_verify_library_and_benchmarks.R"
"no_scientific_execution_06_record_sensor_context.R",TRUE,"No fitting, inference, prediction or simulation call in 06_record_sensor_context.R"
"no_model_or_display_output",TRUE,"No new model, binary, report render or scientific image under Stage 1."
"no_new_prose_em_dash",TRUE,"Historical copies are preserved verbatim and excluded from this writing-style check."
"readable_evidence_links_resolve",TRUE,"Markdown links resolve to local Stage 1 evidence."
