data_scenario,placement,scope,site,observations,participants,mean,standard_deviation,minimum,q01,q05,q25,median,q75,q95,q99,maximum,nonpositive_n,above_1_n,above_1_5_n,site_display_order,site_display_name,distribution_assessment
gap_timing_unaware,chest,overall,,723,152,0.7567377375268886,0.1631854251644182,0.42340423272120054,0.5133216709894823,0.580240257123406,0.6688546499594912,0.7495174856978176,0.8243746143995787,0.9615884107072045,1.0792768927253265,3.6450085362886075,0,18,2,,,Strong upper tail; interpret with participant and site influence checks
gap_timing_unaware,chest,site,RISE,88,16,0.765306740074502,0.13451225224881552,0.48373335769173476,0.500029956544751,0.5492764239227829,0.6705203388136315,0.7747332140035916,0.8329150526834367,0.9819221731508045,1.0607855393054464,1.0645496973891768,0,3,0,1,Borås (SE),No nonpositive value or extreme upper-tail flag
gap_timing_unaware,chest,site,THUAS,79,15,0.7182478878157245,0.07475780781368581,0.5795972884620283,0.582954622861816,0.6099101235768674,0.6651573738539365,0.7044413094899029,0.7706285703192606,0.8603115773330824,0.8641064645710959,0.8648692273255594,0,0,0,2,Delft (NL),No nonpositive value or extreme upper-tail flag
gap_timing_unaware,chest,site,BAUA,93,20,0.7665307333047398,0.1190697480116476,0.4982195890773871,0.526423423241863,0.5807695590793668,0.6702918585924855,0.766255659110097,0.8628838680157735,0.9483464931438734,1.006890297841389,1.012614695644973,0,2,0,3,Dortmund (DE),No nonpositive value or extreme upper-tail flag
gap_timing_unaware,chest,site,TUM,48,10,0.7311062232558357,0.1168883365681427,0.5376639991026068,0.5379738380371979,0.5519116593937909,0.6448314166490228,0.7277471486768483,0.8118310161868749,0.9323192829511577,0.9900425856800193,0.9995426217598402,0,0,0,5,Munich (DE),No nonpositive value or extreme upper-tail flag
gap_timing_unaware,chest,site,FUSPCEU,72,21,0.6908971153144576,0.09160303013955096,0.42340423272120054,0.43019477356736413,0.5975463272680146,0.639670869729539,0.6863953927699504,0.7327636401525763,0.8408684029728761,0.9556109708124556,1.0284569946847268,0,1,0,6,Madrid (ES),No nonpositive value or extreme upper-tail flag
gap_timing_unaware,chest,site,IZTECH,93,17,0.7228703596376527,0.1397480921548184,0.4680522585318871,0.5045424952466564,0.5393959980966682,0.6267773923624685,0.6909211644956219,0.8049625533909461,0.9666510601516417,1.104121063944949,1.1562328737640244,0,4,0,7,Izmir (TR),No nonpositive value or extreme upper-tail flag
gap_timing_unaware,chest,site,UCR,203,39,0.789324235906465,0.1299170010863161,0.5218216354573465,0.5826623790819829,0.6295073761541499,0.7095682725435841,0.7728630333034529,0.8440571227170794,0.9740188455577548,1.2785565633955391,1.717271047644382,0,7,1,8,San José (CR),Moderate upper tail; interpret with participant and site influence checks
gap_timing_unaware,chest,site,KNUST,47,14,0.8393190514120435,0.426032665474824,0.5294193557151511,0.560174926907022,0.6344889478096356,0.7379836466159467,0.7911290451963383,0.834962904937487,0.8917192449885052,2.422363562672212,3.6450085362886075,0,1,1,9,Kumasi (GH),Strong upper tail; interpret with participant and site influence checks
gap_timing_unaware,glasses,overall,,687,137,0.7242573273064842,0.11555245561038213,0.38463674523635627,0.5018403486326898,0.5629154035755128,0.6427507098156997,0.7238676304180038,0.7948891160531768,0.903827228310909,0.9747524362931521,1.8572919415446438,0,5,1,,,Moderate upper tail; interpret with participant and site influence checks
