"path","sha256","bytes","observed_sha256","observed_bytes","pass"
"audit/manuscript_nature_health/consolidated_display_repair_2026_09_11/integration_candidate_order72k/project/_quarto.yml","ca85c4e5a51102f9b6ad4513b15fa0b59908e579c64e929a45f33d2eb47caa5a",112,"ca85c4e5a51102f9b6ad4513b15fa0b59908e579c64e929a45f33d2eb47caa5a",112,TRUE
"audit/manuscript_nature_health/consolidated_display_repair_2026_09_11/integration_candidate_order72k/project/.gitignore","a2c42d7579873fcc1885712af8e33d47a2d84452ca1214383e92b03ed98321c4",28,"a2c42d7579873fcc1885712af8e33d47a2d84452ca1214383e92b03ed98321c4",28,TRUE
"audit/manuscript_nature_health/consolidated_display_repair_2026_09_11/integration_candidate_order72k/project/.quarto/project-cache/8e18d2883d6c67c467bb9551452cc47b","d41c53d63b5278e3ed8c347b782e2f6ed37d28ea1a3621adc91b4c313b8dfa61",28027,"d41c53d63b5278e3ed8c347b782e2f6ed37d28ea1a3621adc91b4c313b8dfa61",28027,TRUE
"audit/manuscript_nature_health/consolidated_display_repair_2026_09_11/integration_candidate_order72k/project/.quarto/project-cache/deno-kv-file","b977345a23b989e6fe712741260f418c10a023ebe01df9f8fc3101170a9667fe",36864,"b977345a23b989e6fe712741260f418c10a023ebe01df9f8fc3101170a9667fe",36864,TRUE
"audit/manuscript_nature_health/consolidated_display_repair_2026_09_11/integration_candidate_order72k/project/.quarto/xref/8b928d78","87122ab5359b6a21a330e5b8e86ac1692db3212ee34b9d702854457340777126",2459,"87122ab5359b6a21a330e5b8e86ac1692db3212ee34b9d702854457340777126",2459,TRUE
"audit/manuscript_nature_health/consolidated_display_repair_2026_09_11/integration_candidate_order72k/project/.quarto/xref/INDEX","3b5872a8adce3bcb0a34fa0dcffba7461257e4e52d85ea3847618917d3e29ccf",61,"3b5872a8adce3bcb0a34fa0dcffba7461257e4e52d85ea3847618917d3e29ccf",61,TRUE
"audit/manuscript_nature_health/consolidated_display_repair_2026_09_11/integration_candidate_order72k/project/linked_metadata/0e0618520fed_combined_accepted_svg_manifest.json","0e0618520fedb387ef030b685e11597e7332ae46fa7ad9ad76d865c24b1c91b2",5539,"0e0618520fedb387ef030b685e11597e7332ae46fa7ad9ad76d865c24b1c91b2",5539,TRUE
"audit/manuscript_nature_health/consolidated_display_repair_2026_09_11/integration_candidate_order72k/project/linked_metadata/30ff83aac8a9_selection_asset_manifest.csv","30ff83aac8a932d9702e7b7ec9c8c561729703da1a390c022099508067960640",7553,"30ff83aac8a932d9702e7b7ec9c8c561729703da1a390c022099508067960640",7553,TRUE
"audit/manuscript_nature_health/consolidated_display_repair_2026_09_11/integration_candidate_order72k/project/linked_metadata/3d1f52ae56b7_report018_final_corpus_independent_acceptance.md","3d1f52ae56b7961a3249bf3a764992ba1da3084aaa68d80845a4b35364dbf8fb",3959,"3d1f52ae56b7961a3249bf3a764992ba1da3084aaa68d80845a4b35364dbf8fb",3959,TRUE
"audit/manuscript_nature_health/consolidated_display_repair_2026_09_11/integration_candidate_order72k/project/linked_metadata/6321a3e31aca_planning_source_inventory.csv","6321a3e31acaba62f82330ebc48d8551d7482e77cbdb7532ac13e9b7aefdb270",4310,"6321a3e31acaba62f82330ebc48d8551d7482e77cbdb7532ac13e9b7aefdb270",4310,TRUE
"audit/manuscript_nature_health/consolidated_display_repair_2026_09_11/integration_candidate_order72k/project/linked_metadata/e35cf371377c_additional_figure_inventory.csv","e35cf371377c12646de817bd8f47dc0d47b9d90be703242d28f80a7ef1e9af15",3121,"e35cf371377c12646de817bd8f47dc0d47b9d90be703242d28f80a7ef1e9af15",3121,TRUE
"audit/manuscript_nature_health/consolidated_display_repair_2026_09_11/integration_candidate_order72k/project/linked_metadata/e52f8a9b5382_additional_descriptive_table_inventory.csv","e52f8a9b53827cd0e796d37179baa90e21983ae186b0bfb20b43f37e10e7c530",946,"e52f8a9b53827cd0e796d37179baa90e21983ae186b0bfb20b43f37e10e7c530",946,TRUE
"audit/manuscript_nature_health/consolidated_display_repair_2026_09_11/integration_candidate_order72k/project/linked_metadata/fcbf7cfdf649_accepted_output_inventory.csv","fcbf7cfdf6498612e97816dc14f99ea52bac28aba2576b7cf13ff609ce7bd8e2",21159,"fcbf7cfdf6498612e97816dc14f99ea52bac28aba2576b7cf13ff609ce7bd8e2",21159,TRUE
"audit/manuscript_nature_health/consolidated_display_repair_2026_09_11/integration_candidate_order72k/project/order72k_layout.css","44b5a324d14ede154901a28005f042a7b1edc544a80e589a30ccaebe82a087c5",2492,"44b5a324d14ede154901a28005f042a7b1edc544a80e589a30ccaebe82a087c5",2492,TRUE
"audit/manuscript_nature_health/consolidated_display_repair_2026_09_11/integration_candidate_order72k/project/render_attempt1/linked_metadata/0e0618520fed_combined_accepted_svg_manifest.json","0e0618520fedb387ef030b685e11597e7332ae46fa7ad9ad76d865c24b1c91b2",5539,"0e0618520fedb387ef030b685e11597e7332ae46fa7ad9ad76d865c24b1c91b2",5539,TRUE
"audit/manuscript_nature_health/consolidated_display_repair_2026_09_11/integration_candidate_order72k/project/render_attempt1/linked_metadata/30ff83aac8a9_selection_asset_manifest.csv","30ff83aac8a932d9702e7b7ec9c8c561729703da1a390c022099508067960640",7553,"30ff83aac8a932d9702e7b7ec9c8c561729703da1a390c022099508067960640",7553,TRUE
"audit/manuscript_nature_health/consolidated_display_repair_2026_09_11/integration_candidate_order72k/project/render_attempt1/linked_metadata/3d1f52ae56b7_report018_final_corpus_independent_acceptance.md","3d1f52ae56b7961a3249bf3a764992ba1da3084aaa68d80845a4b35364dbf8fb",3959,"3d1f52ae56b7961a3249bf3a764992ba1da3084aaa68d80845a4b35364dbf8fb",3959,TRUE
"audit/manuscript_nature_health/consolidated_display_repair_2026_09_11/integration_candidate_order72k/project/render_attempt1/linked_metadata/6321a3e31aca_planning_source_inventory.csv","6321a3e31acaba62f82330ebc48d8551d7482e77cbdb7532ac13e9b7aefdb270",4310,"6321a3e31acaba62f82330ebc48d8551d7482e77cbdb7532ac13e9b7aefdb270",4310,TRUE
"audit/manuscript_nature_health/consolidated_display_repair_2026_09_11/integration_candidate_order72k/project/render_attempt1/linked_metadata/e35cf371377c_additional_figure_inventory.csv","e35cf371377c12646de817bd8f47dc0d47b9d90be703242d28f80a7ef1e9af15",3121,"e35cf371377c12646de817bd8f47dc0d47b9d90be703242d28f80a7ef1e9af15",3121,TRUE
"audit/manuscript_nature_health/consolidated_display_repair_2026_09_11/integration_candidate_order72k/project/render_attempt1/linked_metadata/e52f8a9b5382_additional_descriptive_table_inventory.csv","e52f8a9b53827cd0e796d37179baa90e21983ae186b0bfb20b43f37e10e7c530",946,"e52f8a9b53827cd0e796d37179baa90e21983ae186b0bfb20b43f37e10e7c530",946,TRUE
