"check","pass","detail"
"original_inventory_shape",TRUE,"Stored 429-row preservation check"
"owner_manifest_sha",TRUE,"Exact sealed 263-row owner manifest"
"owner_manifest_shape",TRUE,"Unique non-circular owner manifest"
"owner_manifest_members",TRUE,"263/263 owner stopped-state members exact"
"owner_stop_record",TRUE,"Final stopped return and visual lease release reproduced"
"original_inventory_rehash",TRUE,"All 429 original authority/input rows remain exact"
"failed_same_runtime",TRUE,"Exact only-s2 invocation failed under use_default"
"launch_stop",TRUE,"Launch failure and process-exit record, not a reported URL-policy rejection"
"no_attempt2_output",TRUE,"Failed capture destination does not exist"
"no_attempt3_output",TRUE,"Final adjustment destination is unused"
"unchanged_correction_helper",TRUE,"Current helper equals exact retained S2 correction postimage"
"same_browser_and_subset",TRUE,"Same installed Chrome, only-s2 subset, unique output, figure capture disabled"
"old_server_closed",TRUE,"Old lifecycle closed at 2026-09-11T19:32:18Z"
"served_source_copy_exact",TRUE,"12 rendered source/copy pairs exact"
"served_no_symlinks",TRUE,"No symlink under existing minimal preview"
"served_exact_set",TRUE,"No unlisted served file"
"frozen_table_source",TRUE,"Accepted S2 table fragment exact"
"unique_s2_endpoint",TRUE,"One served S2 endpoint"
"s2_structural_content",TRUE,"23 body rows including 17 fourteen-column data rows, 17 distribution images"
"reusable_capture_files",TRUE,"All completed S5/S6/S10 PNG parts exist"
