"check","pass"
"complete_prospective_driver21_synthetic",TRUE
"complete_prospective_driver44_actual",TRUE
"exact_likelihood3",TRUE
"ANY_original_exact_failure_set",TRUE
"ANY_unchanged_data_and_design",TRUE
"ANY_primary_group_levels_and_values",TRUE
"ANY_no_author_acceptance",TRUE
"80_original_exact_failure_set",TRUE
"80_unchanged_data_and_design",TRUE
"80_primary_group_levels_and_values",TRUE
"80_no_author_acceptance",TRUE
"only32_unused_cycle_levels_removed",TRUE
"changed_observed_group_values_rejected",TRUE
"unapproved_constructor_level_rejected",TRUE
"source_files_and_partial_input_unchanged",TRUE
"no_production_recovery_or_fit_output",TRUE
