"check","pass"
"stopped return seal",TRUE
"owner manifest seal",TRUE
"owner companion seal",TRUE
"444 sealed members, canonical unique, no symlinks",TRUE
"four version-specific source aliases",TRUE
"eight cache preimages and exact postimages",TRUE
"one explicitly classified xref transition",TRUE
"4339 preserved historical versions",TRUE
"raw DOCX exact",TRUE
"ZIP member names unique and relative",TRUE
"all three native SVG drawings are exact accepted main figures",TRUE
"three absent base embeds with resolving internal SVG relationships",TRUE
"exact standard DPI and SVG extensions, no crops",TRUE
"all other raw drawings are the 17 exact S2 miniplots",TRUE
"all20 image relationships classified, no external image",TRUE
"no new assembled or office output exists",TRUE
"approved Table3 exact",TRUE
