"cell","before","after","exact"
1,"Site1","Site1",TRUE
2,"Minutes in the recommended range:2","Minutes in the recommended range:2",TRUE
3,"Share of all eligible real minutes:3","Share of all eligible real minutes:3",TRUE
4,"Daytime","Daytime",TRUE
5,"Pre-sleep","Pre-sleep",TRUE
6,"Sleep4","Sleep4",TRUE
7,"Total5","Total5",TRUE
8,"Daytime","Daytime",TRUE
9,"Pre-sleep","Pre-sleep",TRUE
10,"Sleep","Sleep",TRUE
11,"Unclassified6","Unclassified6",TRUE
12,"Overall","Overall",TRUE
13,"24.0% 137,792 / 573,712","24.0% 137,792 / 573,712",TRUE
14,"63.3% 81,894 / 129,390","63.3% 81,894 / 129,390",TRUE
15,"87.7% 336,052 / 383,366","87.7% 336,052 / 383,366",TRUE
16,"51.2% 555,738 / 1,086,468","51.2% 555,738 / 1,086,468",TRUE
17,"51.6% 606,215 / 1,175,160","51.6% 606,215 / 1,175,160",TRUE
18,"11.9% 140,152 / 1,175,160","11.9% 140,152 / 1,175,160",TRUE
19,"32.6% 383,607 / 1,175,160","32.6% 383,607 / 1,175,160",TRUE
20,"3.8% 45,186 / 1,175,160","3.8% 45,186 / 1,175,160",TRUE
21,"","",TRUE
22,"","",TRUE
23,"","",TRUE
24,"","",TRUE
25,"","",TRUE
26,"","",TRUE
27,"","",TRUE
28,"","",TRUE
29,"","",TRUE
30,"Borås (SE)","Borås (SE)",TRUE
31,"33.2% 19,225 / 57,952","33.2% 19,225 / 57,952",TRUE
32,"69.9% 8,914 / 12,759","69.9% 8,914 / 12,759",TRUE
33,"93.4% 33,152 / 35,489","93.4% 33,152 / 35,489",TRUE
34,"57.7% 61,291 / 106,200","57.7% 61,291 / 106,200",TRUE
35,"54.0% 60,642 / 112,260","54.0% 60,642 / 112,260",TRUE
36,"12.2% 13,704 / 112,260","12.2% 13,704 / 112,260",TRUE
37,"31.7% 35,549 / 112,260","31.7% 35,549 / 112,260",TRUE
38,"2.1% 2,365 / 112,260","2.1% 2,365 / 112,260",TRUE
39,"Delft (NL)","Delft (NL)",TRUE
40,"29.6% 14,760 / 49,852","29.6% 14,760 / 49,852",TRUE
41,"66.7% 7,181 / 10,774","66.7% 7,181 / 10,774",TRUE
42,"86.4% 29,915 / 34,621","86.4% 29,915 / 34,621",TRUE
43,"54.4% 51,856 / 95,247","54.4% 51,856 / 95,247",TRUE
44,"47.0% 52,755 / 112,260","47.0% 52,755 / 112,260",TRUE
45,"10.9% 12,283 / 112,260","10.9% 12,283 / 112,260",TRUE
46,"30.9% 34,682 / 112,260","30.9% 34,682 / 112,260",TRUE
47,"11.2% 12,540 / 112,260","11.2% 12,540 / 112,260",TRUE
48,"Dortmund (DE)","Dortmund (DE)",TRUE
49,"32.4% 22,631 / 69,900","32.4% 22,631 / 69,900",TRUE
50,"59.6% 9,749 / 16,361","59.6% 9,749 / 16,361",TRUE
51,"87.5% 42,829 / 48,928","87.5% 42,829 / 48,928",TRUE
52,"55.6% 75,209 / 135,189","55.6% 75,209 / 135,189",TRUE
53,"48.1% 74,094 / 154,080","48.1% 74,094 / 154,080",TRUE
54,"11.3% 17,409 / 154,080","11.3% 17,409 / 154,080",TRUE
55,"31.8% 48,928 / 154,080","31.8% 48,928 / 154,080",TRUE
56,"8.9% 13,649 / 154,080","8.9% 13,649 / 154,080",TRUE
57,"Tübingen (DE)","Tübingen (DE)",TRUE
58,"22.5% 25,082 / 111,396","22.5% 25,082 / 111,396",TRUE
59,"61.8% 15,623 / 25,283","61.8% 15,623 / 25,283",TRUE
60,"87.1% 61,030 / 70,029","87.1% 61,030 / 70,029",TRUE
61,"49.2% 101,735 / 206,708","49.2% 101,735 / 206,708",TRUE
62,"55.1% 119,150 / 216,120","55.1% 119,150 / 216,120",TRUE
63,"12.4% 26,881 / 216,120","12.4% 26,881 / 216,120",TRUE
64,"32.4% 70,089 / 216,120","32.4% 70,089 / 216,120",TRUE
65,"0.0% 0 / 216,120","0.0% 0 / 216,120",TRUE
66,"Munich (DE)","Munich (DE)",TRUE
67,"25.0% 10,681 / 42,685","25.0% 10,681 / 42,685",TRUE
68,"60.6% 5,963 / 9,833","60.6% 5,963 / 9,833",TRUE
69,"71.7% 21,485 / 29,951","71.7% 21,485 / 29,951",TRUE
70,"46.2% 38,129 / 82,469","46.2% 38,129 / 82,469",TRUE
71,"53.0% 45,831 / 86,400","53.0% 45,831 / 86,400",TRUE
