source,copy,sha256,bytes
/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_production_2026_09_14/project/manuscript/R0_NatHealth/render_docx_round1/ZaunerEtAl2026_NatHealth_phase3_brown.docx,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_format_completion_2026_09_14/inputs/raw_static.docx,4790ebb3613c5f1a0ef5c86f84add9487134cd0c0f5fde9d4542cce5930df37d,3765960
/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_production_2026_09_14/deliverables/Nature_Health_manuscript_round2.docx,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_format_completion_2026_09_14/inputs/prior_main.docx,3f33431ed4e85b042f8a98e232b25b9617d8dae16bc8eff8df9595c05a80d611,14167130
/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_production_2026_09_14/project/manuscript/R0_NatHealth/render_html_round2/ZaunerEtAl2026_NatHealth_phase3_brown.html,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_format_completion_2026_09_14/inputs/prior_integrated.html,0488130aba3ef7b043c743ee879d6e88f9c2ece8ae3c0c2eba89d90e116ea510,27221655
/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/manuscript/R0_NatHealth/display_assets/table_s3_recommendation_windows.html,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_format_completion_2026_09_14/inputs/table_s3_original.html,33ebc99f976acffb54082eb7afd4a6b44549b3f9de330dea998ce2f69c4ba6e6,51816
/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_production_2026_09_14/helpers/prepare_word_manuscript.py,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_format_completion_2026_09_14/helpers/prepare_word_manuscript.py,87efae9b2bdd9691f56e48ff7330b33c10f69b880644bc5e372fa3aa5f06ecca,60494
/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_production_2026_09_14/helpers/embed_accepted_svg_figures.py,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_format_completion_2026_09_14/helpers/embed_accepted_svg_figures.py,64bcecf9473a97037d6efee4a934493cc81e47f3ad410473caa7cd804525dfb0,16934
/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_production_2026_09_14/maps/part_count_contract.json,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_format_completion_2026_09_14/maps/part_count_contract.json,07e6f1ff9fbd2d7746317159cfe96a41161326366698ebfb6c01aba1335406e5,427
/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_production_2026_09_14/production_images/main_table_1_part_01.png,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_format_completion_2026_09_14/production_images/main_table_1_part_01.png,f2df0ce73bc31f889d457397596257e2e3f7f9c7610ccc0ec9659efc33a2f9b7,412834
/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_production_2026_09_14/production_images/main_table_1_part_02.png,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_format_completion_2026_09_14/production_images/main_table_1_part_02.png,a8e5892c59138ec0b4a13f272d3d05e3f67c21bc641d1194e877399564b02a70,378520
/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_production_2026_09_14/production_images/main_table_2_part_01.png,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_format_completion_2026_09_14/production_images/main_table_2_part_01.png,a09f9f4529c226121d23a7c2a85d966e06bee6ae67ddfebe68a781f394f27870,370048
