"page","visually_reviewed","status","observation","image","image_sha256","main_docx_sha256","review_basis"
1,TRUE,"PASS","Title, complete 28-author block, 14 affiliations and correspondence fit together.","qa/main_round2/page-1.png","3cb9b0495a43fca8dda4aa0333357816049ba48e658ae30b2fa303cf28e6e5e3","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
2,TRUE,"PASS","Abstract has its requested section start and fits on the page.","qa/main_round2/page-2.png","74b74e08c2a41ba8a151628fdb8f5b1a027ecd74e15a6abb69de593fe717ae9b","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
3,TRUE,"PASS","Introduction heading and body are readable and unclipped.","qa/main_round2/page-3.png","e963bcb9b8ac79ef77bae0627fb9ab6139da3fc95a72ad3ece317afa45a91654","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
4,TRUE,"PASS_WITH_EXISTING_WHITESPACE","Short Introduction continuation before the author-required Results page start.","qa/main_round2/page-4.png","b851455dc91ddff01ee033b5734b27939649a0b49d1307426527f14e25819a15","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
5,TRUE,"PASS","Results baseline text is complete and readable.","qa/main_round2/page-5.png","50779a0a3d9e5fcb65d1e77c7272629a8b73fac682d4de185292fbc4f30ee62e","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
6,TRUE,"PASS","Figure 1, labels and caption fit completely.","qa/main_round2/page-6.png","fb26c7847e73bb34a3e80c0e39195ca717f88ed47e7c77746dcac5145a54a5d1","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
7,TRUE,"PASS","Table 1 remains two complete ordered parts; heading and caption precede part 1 and final notes remain with part 2.","qa/main_round2/page-7.png","e68e34aa737dd05dfdf6a4a0762b372071ab87f1cafe2057a1208fc953a8c55b","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
8,TRUE,"PASS","Table 1 remains two complete ordered parts; heading and caption precede part 1 and final notes remain with part 2.","qa/main_round2/page-8.png","db5ce8665439b1a7132bb4d7c38a383d31a472476255d21fbe6b49312c9a5a9e","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
9,TRUE,"PASS","Adherence text is complete and readable.","qa/main_round2/page-9.png","b6c1476bac57fc369fe4adf1eb2b9e03ccbf72640e9343f2a0bcbb772373bc7d","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
10,TRUE,"PASS","Table 2 has all columns, final notes and full caption on its landscape page; protected PNG softness is unchanged.","qa/main_round2/page-10.png","389091007fbc674a6a5b9b7919ee7db64599ce07d4f981b25978265f30831682","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
