"endpoint","contract","rendered","body_rows","status"
"tbl-h08-prep-score-audit","score audit",TRUE,1,"PASS"
"tbl-h08-prep-primary-samples","sample support",TRUE,20,"PASS"
"tbl-h08-prep-model-settings","model settings",TRUE,9,"PASS"
"tbl-h08-prep-family-audit","eight FDR families",TRUE,8,"PASS"
"tbl-h08-prep-response-gate","response gates",TRUE,9,"PASS"
"tbl-h08-prep-site-influence","influence summary",TRUE,18,"PASS"
"tbl-h08-prep-sensitivity-map","sensitivity summary",TRUE,8,"PASS"
"tbl-h08-prep-metric011","METRIC-011 provenance",TRUE,5,"PASS"
"tbl-h08-prep-module-map","module map",TRUE,6,"PASS"
"tbl-h08-prep-script-map","script map",TRUE,8,"PASS"
"tbl-h08-prep-output-identities","output identity map",TRUE,13,"PASS"
"tbl-h08-prep-environment","environment records",TRUE,8,"PASS"
