"domain","details","status"
"sole render and helper execution","One successful companion render, one helper execution, zero retries, historical tests unexecuted","PASS"
"semantic disposition and exact reversal","REPAIRED with 1071 exactly reversible substitutions","PASS"
"visible and structural semantic invariance","Visible text, values, order, captions, notes, links, and DOM structure are invariant","PASS"
"native gt endpoints and cells","19 native gt tables in accepted order with audited captions, rows, cells, labels, and notes","PASS"
"exact formulas and model settings","Nine formulas and nine model-setting rows retain accepted content","PASS"
"document IDs and table headers","2462 unique document IDs; 1581 header tokens resolve locally and globally","PASS"
"figures and paired source data","Three figure endpoints retain alt text, captions, frozen paired source rows, and exact geometry","PASS"
"top-down Mermaid","One top-down preparation flow is present","PASS"
"25 links and exact fragments","All 25 reader targets appear in source order and resolve, including fragments","PASS"
"reciprocal navigation and deviations","Reciprocal H08 navigation, DEV-035, DEV-036, and result deviation anchor pass","PASS"
"score and sample-support contract","184 VLSQ-8 participants, 24 score rows, nine sites, and 18 metric-placement cells pass","PASS"
"eight complete FDR families","Eight complete nine-test families, 72 tests, and zero adjusted-positive tests pass","PASS"
"response influence and sensitivity summaries","Response gate, influence, and sensitivity tables are present with stored artifacts live exact","PASS"
"METRIC-011 code output and environment provenance","METRIC-011, module, script, output identity, and environment tables are present","PASS"
"country-coded sites and reporting terminology","All submitted site displays are country-coded and required dataset qualifications remain","PASS"
"embedded defects and internal paths","Zero embedded errors, warnings, unresolved references, raw traces, or reader-visible build paths","PASS"
"258-row preparation manifest","258 of 258 unique non-circular rows are live exact and exclude order-55 evidence","PASS"
"protected and build transitions","Five classified build deltas and four classified protected transitions across 276 protected paths","PASS"
"historical manifests and accepted result","Accepted result and shared phase-4 and Stage 3 manifests remain exact with historical rows classified","PASS"
"170 mm baseline and target PNG transition","All three A4 proofs remain exact; only sample-support target bytes transitioned, with geometry exact and visual equivalence pending","PASS"
