check,status,evidence,details
desktop_1440x1000,PASS,browser_qa_measurements.json,"Document client and scroll widths were both 1440 px. All 19 tables, three figures, 26 headings, the callout, Mermaid diagram, captions, notes, disclosures, links, navigation, and final provenance were inspected without clipping, overlap, missing content, or page-level overflow."
narrow_708x1000,PASS,browser_qa_measurements.json,"Document client and scroll widths were both 708 px. All 19 tables, three figures, captions, headings, callout content, Mermaid diagram, links, and disclosures remained readable and contained."
zoom_equivalent_720x500,PASS,browser_qa_measurements.json,"Document client and scroll widths were both 720 px. All 19 tables and three figures were reachable by ordinary page scrolling, remained horizontally contained, and had no fixed-header obstruction or page-level overflow."
narrow_sidebar_navigation,PASS,visual_zoom_equivalent_720x500_sidebar_h08_entries.png,"The sidebar opened at 720 by 500, exposed both the H08 results and active H08 preparation and provenance entries, and closed cleanly without changing the 720 px document width."
required_table_scrollers,PASS,browser_scroller_audit.json,"Only the input-identity and output-identity tables required contained horizontal scrolling. Both were moved to their right edge by real browser interaction at 708 by 1000 and 720 by 500, remained contained, and reset to scrollLeft 0."
mermaid_diagram,PASS,visual_narrow_708x1000_mermaid.png,"The top-down Mermaid diagram rendered as an SVG, remained within the content region, and preserved every node and connector at all three viewports."
figure_resource_loading,PASS,browser_qa_measurements.json,"All three images loaded completely at their expected intrinsic dimensions: 1285 by 883, 1285 by 940, and 1285 by 1132 pixels."
browser_console,PASS,browser_console_warn_error.json,"Zero warning or error console entries were recorded. The browser-originated favicon request returned 404 in the loopback access log and had no reader-facing or console effect."
figure_vlsq_distribution_170mm,PASS,current_170mm_fig-h08-prep-vlsq-distribution_A4.png,"The current target was inspected at 170 mm on A4 portrait with 20-mm side margins. Native and intended widths were 170 mm, scale factor 1, and nominal and effective essential text 8 pt. No clipping, overlap, wrapping defect, distortion, or data-region imbalance was present."
figure_sample_support_170mm,PASS,current_170mm_fig-h08-prep-sample-support_A4.png,"The current target was inspected at 170 mm on A4 portrait with 20-mm side margins. Native and intended widths were 170 mm, scale factor 1, and nominal and effective essential text 8 pt. Both panels, axes, legend, dashed chest lines and triangles, solid near-eye lines and circles, and all marks were distinct and unclipped."
figure_site_range_170mm,PASS,current_170mm_fig-h08-prep-site-range_A4.png,"The current target was inspected at 170 mm on A4 portrait with 20-mm side margins. Native and intended widths were 170 mm, scale factor 1, and nominal and effective essential text 8 pt. All country-coded sites, panels, coloured ranges, endpoints, and axes were legible and balanced."
sample_support_transition,PASS,figure_visual_transition_audit.csv,"The only target PNG byte transition retained the frozen source rows, 1285 by 940 geometry, panels, labels, values, and colours. The fresh source-declared dashed-line and triangle redundancy for chest changed no scientific visible content and passed current-target 170-mm inspection."
screenshot_evidence,PASS,visual_screenshot_manifest.csv,"Eighty-two route screenshots cover all three viewports, all 19 table and three figure endpoints, the Mermaid diagram, top and full-page states, the opened sidebar, and both required scroller interactions."
