"path","role","expected_sha256","current_sha256","expected_bytes","current_bytes","live_exact","status"
"artifacts/12_manifests/H08/physical_size_qa/fig-h08-chest-effects_A4_170mm.png","A4_physical_size_proof","4c6da233bd87ed28256bde29f657eb93e490af455589875acf03b8ccf70090d4","4c6da233bd87ed28256bde29f657eb93e490af455589875acf03b8ccf70090d4",105826,105826,TRUE,"PASS"
"artifacts/12_manifests/H08/physical_size_qa/fig-h08-gap-common-sample_A4_170mm.png","A4_physical_size_proof","d4b71e0d1b9c1e9499e7f437718746c5e84637cc5e48e1f3b564e50ce9dbf34c","d4b71e0d1b9c1e9499e7f437718746c5e84637cc5e48e1f3b564e50ce9dbf34c",95197,95197,TRUE,"PASS"
"artifacts/12_manifests/H08/physical_size_qa/fig-h08-model-adequacy_A4_170mm.png","A4_physical_size_proof","cd5911738e542c3b7b9de5449f815a1d99f391db332b4a30596d6c590558be0d","cd5911738e542c3b7b9de5449f815a1d99f391db332b4a30596d6c590558be0d",272493,272493,TRUE,"PASS"
"artifacts/12_manifests/H08/physical_size_qa/fig-h08-near-eye-effects_A4_170mm.png","A4_physical_size_proof","e589902cb496ac115498fd91c40355f8016aab47c3579acc67f18db23185e564","e589902cb496ac115498fd91c40355f8016aab47c3579acc67f18db23185e564",104669,104669,TRUE,"PASS"
"artifacts/12_manifests/H08/physical_size_qa/fig-h08-paired-placement_A4_170mm.png","A4_physical_size_proof","a4bee81cbbab6f5fdece269c5aceb2e1ae66777c6a0afe41ea7b9d1b7e5a79c5","a4bee81cbbab6f5fdece269c5aceb2e1ae66777c6a0afe41ea7b9d1b7e5a79c5",105969,105969,TRUE,"PASS"
"artifacts/12_manifests/H08/physical_size_qa/fig-h08-prep-sample-support_A4_170mm.png","A4_physical_size_proof","6dc33f3eb6e07164e55bd7741d110018922ef77d53a6a622670c7279d0b69914","6dc33f3eb6e07164e55bd7741d110018922ef77d53a6a622670c7279d0b69914",88024,88024,TRUE,"PASS"
"artifacts/12_manifests/H08/physical_size_qa/fig-h08-prep-site-range_A4_170mm.png","A4_physical_size_proof","8149ff42e67770023a69f204e358a9c0894b6e897923332386386aae5fdd5d30","8149ff42e67770023a69f204e358a9c0894b6e897923332386386aae5fdd5d30",77430,77430,TRUE,"PASS"
"artifacts/12_manifests/H08/physical_size_qa/fig-h08-prep-vlsq-distribution_A4_170mm.png","A4_physical_size_proof","52e33938786a9f3c926d2d2cf95fe76f482147dbc9f083fd0fbe4cdff6ed263e","52e33938786a9f3c926d2d2cf95fe76f482147dbc9f083fd0fbe4cdff6ed263e",40521,40521,TRUE,"PASS"
"audit/hypotheses/H08/01_audit_and_plan.html","H08_audit_record","8e20bf5bfb22ff6d83ffaf1907dd358e7d37595ed2733951e509dd45b2496362","8e20bf5bfb22ff6d83ffaf1907dd358e7d37595ed2733951e509dd45b2496362",1584735,1584735,TRUE,"PASS"
"audit/hypotheses/H08/01_audit_and_plan.qmd","H08_audit_record","294f847cb4cfbf67458048b5d3a308328e3056ae1e144f968f2ed8ec4203b109","294f847cb4cfbf67458048b5d3a308328e3056ae1e144f968f2ed8ec4203b109",66859,66859,TRUE,"PASS"
"audit/hypotheses/H08/02_implementation_and_v0_comparison.html","H08_audit_record","2fd29721b39169a6541958c94609f4eceac10d9fde0cddf998bcd47868560155","2fd29721b39169a6541958c94609f4eceac10d9fde0cddf998bcd47868560155",3308640,3308640,TRUE,"PASS"
"audit/hypotheses/H08/02_implementation_and_v0_comparison.qmd","H08_audit_record","73a24cba127d42e568e20f79b76631185a95b10b5c8e5accce2865eef052cfb4","73a24cba127d42e568e20f79b76631185a95b10b5c8e5accce2865eef052cfb4",50472,50472,TRUE,"PASS"
"audit/hypotheses/H08/02_implementation_and_v0_comparison_files/libs/pagedtable-1.1/css/pagedtable.css","H08_audit_record","5c621614fdc6dba1a742c9daf0b9d7c4e145afcde1eac4ac669766d18e53062e","5c621614fdc6dba1a742c9daf0b9d7c4e145afcde1eac4ac669766d18e53062e",2140,2140,TRUE,"PASS"
"audit/hypotheses/H08/02_implementation_and_v0_comparison_files/libs/pagedtable-1.1/js/pagedtable.js","H08_audit_record","b80fc1d3d2cef5e07a67f4243de596383bb333891320acddae34e487c5368314","b80fc1d3d2cef5e07a67f4243de596383bb333891320acddae34e487c5368314",33690,33690,TRUE,"PASS"
