"target","resolved_path","file_exists","fragment","fragment_resolves","status"
"../../../notebooks/hypotheses/H08.qmd","notebooks/hypotheses/H08.qmd",TRUE,"",TRUE,"PASS"
"../../../artifacts/11_source_data/H08/H08_preparation_vlsq_score_distribution.csv","artifacts/11_source_data/H08/H08_preparation_vlsq_score_distribution.csv",TRUE,"",TRUE,"PASS"
"../../../artifacts/11_source_data/H08/H08_preparation_vlsq_site_support.csv","artifacts/11_source_data/H08/H08_preparation_vlsq_site_support.csv",TRUE,"",TRUE,"PASS"
"../../../notebooks/preparation/04_metric_derivation.qmd","notebooks/preparation/04_metric_derivation.qmd",TRUE,"",TRUE,"PASS"
"../../../notebooks/preparation/06_model_ready_datasets.qmd","notebooks/preparation/06_model_ready_datasets.qmd",TRUE,"",TRUE,"PASS"
"../../../artifacts/11_source_data/H08/H08_preparation_metric_availability.csv","artifacts/11_source_data/H08/H08_preparation_metric_availability.csv",TRUE,"",TRUE,"PASS"
"../../../artifacts/11_source_data/H08/H08_preparation_sample_support.csv","artifacts/11_source_data/H08/H08_preparation_sample_support.csv",TRUE,"",TRUE,"PASS"
"../../../artifacts/11_source_data/H08/H08_preparation_sample_support.csv","artifacts/11_source_data/H08/H08_preparation_sample_support.csv",TRUE,"",TRUE,"PASS"
"../../../artifacts/11_source_data/H08/H08_preparation_site_support_summary.csv","artifacts/11_source_data/H08/H08_preparation_site_support_summary.csv",TRUE,"",TRUE,"PASS"
"../../../artifacts/11_source_data/H08/H08_preparation_site_support.csv","artifacts/11_source_data/H08/H08_preparation_site_support.csv",TRUE,"",TRUE,"PASS"
"../../../notebooks/preregistration_deviations.qmd#dev-035","notebooks/preregistration_deviations.qmd",TRUE,"dev-035",TRUE,"PASS"
"../../../notebooks/preregistration_deviations.qmd#dev-036","notebooks/preregistration_deviations.qmd",TRUE,"dev-036",TRUE,"PASS"
"../../../notebooks/hypotheses/H08.qmd#h08-preregistration-deviations","notebooks/hypotheses/H08.qmd",TRUE,"h08-preregistration-deviations",TRUE,"PASS"
"../../../artifacts/08_diagnostics/H08/H08_model_diagnostics.csv","artifacts/08_diagnostics/H08/H08_model_diagnostics.csv",TRUE,"",TRUE,"PASS"
"../../../artifacts/08_diagnostics/H08/H08_participant_influence_screen.csv","artifacts/08_diagnostics/H08/H08_participant_influence_screen.csv",TRUE,"",TRUE,"PASS"
"../../../artifacts/09_tables/H08/H08_gap_timing_unaware_sensitivity.csv","artifacts/09_tables/H08/H08_gap_timing_unaware_sensitivity.csv",TRUE,"",TRUE,"PASS"
"../../../artifacts/09_tables/H08/H08_photoperiod_sensitivity.csv","artifacts/09_tables/H08/H08_photoperiod_sensitivity.csv",TRUE,"",TRUE,"PASS"
"../../../artifacts/09_tables/H08/H08_participant_summary_sensitivity.csv","artifacts/09_tables/H08/H08_participant_summary_sensitivity.csv",TRUE,"",TRUE,"PASS"
"../../../artifacts/09_tables/H08/H08_exactly_identified_longest_period_sensitivity.csv","artifacts/09_tables/H08/H08_exactly_identified_longest_period_sensitivity.csv",TRUE,"",TRUE,"PASS"
"../../../artifacts/09_tables/H08/H08_observed_dose_sensitivity.csv","artifacts/09_tables/H08/H08_observed_dose_sensitivity.csv",TRUE,"",TRUE,"PASS"
"../../decisions/l10_numerical_zero_normalization.md","audit/decisions/l10_numerical_zero_normalization.md",TRUE,"",TRUE,"PASS"
"../../../artifacts/09_tables/H08/H08_metric011_result_comparison.csv","artifacts/09_tables/H08/H08_metric011_result_comparison.csv",TRUE,"",TRUE,"PASS"
"../../../artifacts/09_tables/H08/H08_metric011_bh_recalculation.csv","artifacts/09_tables/H08/H08_metric011_bh_recalculation.csv",TRUE,"",TRUE,"PASS"
"../../../artifacts/12_manifests/H08/H08_metric011_reconciliation.csv","artifacts/12_manifests/H08/H08_metric011_reconciliation.csv",TRUE,"",TRUE,"PASS"
"../../../notebooks/hypotheses/H08.qmd","notebooks/hypotheses/H08.qmd",TRUE,"",TRUE,"PASS"
