"path","current_sha256","manifest_sha256","current_bytes","manifest_bytes","live_exact","classification","status"
"artifacts/12_manifests/H08/physical_size_qa/fig-h08-chest-effects_A4_170mm.png","4c6da233bd87ed28256bde29f657eb93e490af455589875acf03b8ccf70090d4","4c6da233bd87ed28256bde29f657eb93e490af455589875acf03b8ccf70090d4",105826,105826,TRUE,"live exact","PASS"
"artifacts/12_manifests/H08/physical_size_qa/fig-h08-gap-common-sample_A4_170mm.png","d4b71e0d1b9c1e9499e7f437718746c5e84637cc5e48e1f3b564e50ce9dbf34c","d4b71e0d1b9c1e9499e7f437718746c5e84637cc5e48e1f3b564e50ce9dbf34c",95197,95197,TRUE,"live exact","PASS"
"artifacts/12_manifests/H08/physical_size_qa/fig-h08-model-adequacy_A4_170mm.png","cd5911738e542c3b7b9de5449f815a1d99f391db332b4a30596d6c590558be0d","cd5911738e542c3b7b9de5449f815a1d99f391db332b4a30596d6c590558be0d",272493,272493,TRUE,"live exact","PASS"
"artifacts/12_manifests/H08/physical_size_qa/fig-h08-near-eye-effects_A4_170mm.png","e589902cb496ac115498fd91c40355f8016aab47c3579acc67f18db23185e564","e589902cb496ac115498fd91c40355f8016aab47c3579acc67f18db23185e564",104669,104669,TRUE,"live exact","PASS"
"artifacts/12_manifests/H08/physical_size_qa/fig-h08-paired-placement_A4_170mm.png","a4bee81cbbab6f5fdece269c5aceb2e1ae66777c6a0afe41ea7b9d1b7e5a79c5","a4bee81cbbab6f5fdece269c5aceb2e1ae66777c6a0afe41ea7b9d1b7e5a79c5",105969,105969,TRUE,"live exact","PASS"
"artifacts/12_manifests/H08/physical_size_qa/fig-h08-prep-sample-support_A4_170mm.png","6dc33f3eb6e07164e55bd7741d110018922ef77d53a6a622670c7279d0b69914","6dc33f3eb6e07164e55bd7741d110018922ef77d53a6a622670c7279d0b69914",88024,88024,TRUE,"live exact","PASS"
"artifacts/12_manifests/H08/physical_size_qa/fig-h08-prep-site-range_A4_170mm.png","8149ff42e67770023a69f204e358a9c0894b6e897923332386386aae5fdd5d30","8149ff42e67770023a69f204e358a9c0894b6e897923332386386aae5fdd5d30",77430,77430,TRUE,"live exact","PASS"
"artifacts/12_manifests/H08/physical_size_qa/fig-h08-prep-vlsq-distribution_A4_170mm.png","52e33938786a9f3c926d2d2cf95fe76f482147dbc9f083fd0fbe4cdff6ed263e","52e33938786a9f3c926d2d2cf95fe76f482147dbc9f083fd0fbe4cdff6ed263e",40521,40521,TRUE,"live exact","PASS"
"audit/hypotheses/H08/01_audit_and_plan.html","8e20bf5bfb22ff6d83ffaf1907dd358e7d37595ed2733951e509dd45b2496362","8e20bf5bfb22ff6d83ffaf1907dd358e7d37595ed2733951e509dd45b2496362",1584735,1584735,TRUE,"live exact","PASS"
"audit/hypotheses/H08/01_audit_and_plan.qmd","294f847cb4cfbf67458048b5d3a308328e3056ae1e144f968f2ed8ec4203b109","294f847cb4cfbf67458048b5d3a308328e3056ae1e144f968f2ed8ec4203b109",66859,66859,TRUE,"live exact","PASS"
"audit/hypotheses/H08/02_implementation_and_v0_comparison.html","2fd29721b39169a6541958c94609f4eceac10d9fde0cddf998bcd47868560155","2fd29721b39169a6541958c94609f4eceac10d9fde0cddf998bcd47868560155",3308640,3308640,TRUE,"live exact","PASS"
"audit/hypotheses/H08/02_implementation_and_v0_comparison.qmd","73a24cba127d42e568e20f79b76631185a95b10b5c8e5accce2865eef052cfb4","73a24cba127d42e568e20f79b76631185a95b10b5c8e5accce2865eef052cfb4",50472,50472,TRUE,"live exact","PASS"
"audit/hypotheses/H08/02_implementation_and_v0_comparison_files/libs/pagedtable-1.1/css/pagedtable.css","5c621614fdc6dba1a742c9daf0b9d7c4e145afcde1eac4ac669766d18e53062e","5c621614fdc6dba1a742c9daf0b9d7c4e145afcde1eac4ac669766d18e53062e",2140,2140,TRUE,"live exact","PASS"
"audit/hypotheses/H08/02_implementation_and_v0_comparison_files/libs/pagedtable-1.1/js/pagedtable.js","b80fc1d3d2cef5e07a67f4243de596383bb333891320acddae34e487c5368314","b80fc1d3d2cef5e07a67f4243de596383bb333891320acddae34e487c5368314",33690,33690,TRUE,"live exact","PASS"
"scripts/hypotheses/H08/build_h08_figure_physical_size_qa.R","2f17f26025c4a5eab63334e3f5d1b08e6f7d45b88a0bd5c2fa1f84884c0b2985","2f17f26025c4a5eab63334e3f5d1b08e6f7d45b88a0bd5c2fa1f84884c0b2985",10503,10503,TRUE,"live exact","PASS"
"scripts/hypotheses/H08/build_h08_preparation_artifacts.R","766ae731c44166fc69fec9cf876864aa0208db3be14c240c35cdda58f57fc8ee","766ae731c44166fc69fec9cf876864aa0208db3be14c240c35cdda58f57fc8ee",8491,8491,TRUE,"live exact","PASS"
"scripts/hypotheses/H08/build_h08_preparation_report_manifest.R","55fb72225d86ae694778339f395c0bd23f1870ea587bff1a29741af729727014","55fb72225d86ae694778339f395c0bd23f1870ea587bff1a29741af729727014",9383,9383,TRUE,"live exact","PASS"
"scripts/hypotheses/H08/build_h08_stage3_manifest.R","1ae2e73a17098b8d42218101c36f6f9d8285f133dbdea20292b94c5e83839c30","1ae2e73a17098b8d42218101c36f6f9d8285f133dbdea20292b94c5e83839c30",7816,7816,TRUE,"live exact","PASS"
"scripts/hypotheses/H08/h08_contract.R","93ec86fad7decfea5af214627f5a465c6f1e4f4f7f29102ab45255dfd113068e","93ec86fad7decfea5af214627f5a465c6f1e4f4f7f29102ab45255dfd113068e",20062,20062,TRUE,"live exact","PASS"
