"role","path","expected_sha256","current_sha256","expected_bytes","current_bytes","status"
"result_acceptance","audit/report_harmonization/report018_h08_result_independent_acceptance.md","6b9e66643ab8c94aca11e5bf9804e0e314beb3c8b2eefa668532372e14d32fd7","6b9e66643ab8c94aca11e5bf9804e0e314beb3c8b2eefa668532372e14d32fd7",4581,4581,"PASS"
"result_acceptance_manifest","audit/report_harmonization/report018_h08_result_independent_acceptance_manifest.csv","8f7c3351b1fa085f4f23f00ccff9bd21d13be7ef67cabd1767e690991087c0eb","8f7c3351b1fa085f4f23f00ccff9bd21d13be7ef67cabd1767e690991087c0eb",5254,5254,"PASS"
"result_acceptance_checker","scripts/report_harmonization/check_h08_order54_result_acceptance.R","f948f190f5c3cd09640892f18ef5c92ad3a8cd565490d5107b97419624fcf99d","f948f190f5c3cd09640892f18ef5c92ad3a8cd565490d5107b97419624fcf99d",14014,14014,"PASS"
"result_acceptance_verification","audit/report_harmonization/report018_h08_result_independent_verification.csv","823a80ac2ab50bd404f736de9603aa3d1cd326d4b5811aae2072e397ecc1e840","823a80ac2ab50bd404f736de9603aa3d1cd326d4b5811aae2072e397ecc1e840",6122,6122,"PASS"
"result_source","notebooks/hypotheses/H08.qmd","1b6b50b21e22d60909a65b125ce74be54829e5efc10de33f888fcd294c7374b1","1b6b50b21e22d60909a65b125ce74be54829e5efc10de33f888fcd294c7374b1",44031,44031,"PASS"
"result_html","_build/nathealth/notebooks/hypotheses/H08.html","472848d0da3e3996fa1727151048e3cab4a7e363dba3dc8eda8b024eb5a4ca9a","472848d0da3e3996fa1727151048e3cab4a7e363dba3dc8eda8b024eb5a4ca9a",340040,340040,"PASS"
"companion_source","audit/hypotheses/H08/H08_analysis_preparation.qmd","3eeeda47c909be2ca32bf234af18f2d690f1c3e7b26e854f7311c0d8300f6f2d","3eeeda47c909be2ca32bf234af18f2d690f1c3e7b26e854f7311c0d8300f6f2d",57777,57777,"PASS"
"stale_build_companion_source","_build/nathealth/audit/hypotheses/H08/H08_analysis_preparation.qmd","1a3c9ee012f58647556a5f397d8945e03633b7966522dc6996a23c231e30596d","1a3c9ee012f58647556a5f397d8945e03633b7966522dc6996a23c231e30596d",54705,54705,"PASS"
"stale_companion_html","_build/nathealth/audit/hypotheses/H08/H08_analysis_preparation.html","95f5ba0aede0ee6cf0d1b65fcdc53623d52810f8316c846cb214b4fb34a5f135","95f5ba0aede0ee6cf0d1b65fcdc53623d52810f8316c846cb214b4fb34a5f135",675700,675700,"PASS"
"companion_manifest_helper","scripts/hypotheses/H08/build_h08_preparation_report_manifest.R","55fb72225d86ae694778339f395c0bd23f1870ea587bff1a29741af729727014","55fb72225d86ae694778339f395c0bd23f1870ea587bff1a29741af729727014",9383,9383,"PASS"
"historical_companion_test","tests/hypotheses/H08/test_h08_preparation_report.R","2e83542b120021e0c337a3769127e6eba2fe61ebc4d56014693b34066a3fc2a4","2e83542b120021e0c337a3769127e6eba2fe61ebc4d56014693b34066a3fc2a4",13024,13024,"PASS"
"historical_result_test","tests/hypotheses/H08/test_h08_stage3_reader_report.R","3049ecd80bc7f6c83dce7370b2877a92c6693dd9585f1f45ed7ac19fdf64be8f","3049ecd80bc7f6c83dce7370b2877a92c6693dd9585f1f45ed7ac19fdf64be8f",18954,18954,"PASS"
"current_preparation_manifest","artifacts/12_manifests/H08/H08_preparation_report_manifest.csv","1cf574e0333cab6f62d51c21f8017526cb80132a7b810b928e94ade862947d7b","1cf574e0333cab6f62d51c21f8017526cb80132a7b810b928e94ade862947d7b",30322,30322,"PASS"
"historical_stage3_manifest","artifacts/12_manifests/H08/H08_stage3_artifacts.csv","e8dcec4bfdaf129002c875681f22b0f9d226ebbc95f706309c98ae4e21244af2","e8dcec4bfdaf129002c875681f22b0f9d226ebbc95f706309c98ae4e21244af2",23368,23368,"PASS"
"figure_physical_size_qa","artifacts/12_manifests/H08/H08_figure_physical_size_qa.csv","f4680525e3252153bf3020caf436fd6eb701dd9fa21d2c34011ce5799636670b","f4680525e3252153bf3020caf436fd6eb701dd9fa21d2c34011ce5799636670b",7582,7582,"PASS"
"stale_sample_support_png","_build/nathealth/audit/hypotheses/H08/H08_analysis_preparation_files/figure-html/fig-h08-prep-sample-support-1.png","a07550980585fc1d0e87edf1edff539be1ffc6ada6bf0ce2a4af18d3b8239fd4","a07550980585fc1d0e87edf1edff539be1ffc6ada6bf0ce2a4af18d3b8239fd4",106003,106003,"PASS"
"stale_site_range_png","_build/nathealth/audit/hypotheses/H08/H08_analysis_preparation_files/figure-html/fig-h08-prep-site-range-1.png","fdbc12328301366532f9ae5ac38e0e2e6e6aca5f06ff454a4210bcf229a6b02e","fdbc12328301366532f9ae5ac38e0e2e6e6aca5f06ff454a4210bcf229a6b02e",89133,89133,"PASS"
"stale_vlsq_distribution_png","_build/nathealth/audit/hypotheses/H08/H08_analysis_preparation_files/figure-html/fig-h08-prep-vlsq-distribution-1.png","6782b1b24f7e54a00c6e8631a4f9251d67821368097d0add26fc0d7999ff2f1d","6782b1b24f7e54a00c6e8631a4f9251d67821368097d0add26fc0d7999ff2f1d",44589,44589,"PASS"
"sample_support_source","artifacts/11_source_data/H08/H08_preparation_sample_support.csv","89f57863882aa8c178f3f55f86f08c3f9e7c3b2a893abb7ee3fdd33359e27a16","89f57863882aa8c178f3f55f86f08c3f9e7c3b2a893abb7ee3fdd33359e27a16",4313,4313,"PASS"
