"order","source_target","rendered_href","resolved_path","file_exists","fragment","fragment_resolution_count","status"
1,"../../../notebooks/hypotheses/H08.qmd","../../../notebooks/hypotheses/H08.html","_build/nathealth/notebooks/hypotheses/H08.html",TRUE,"",,"PASS"
2,"../../../artifacts/11_source_data/H08/H08_preparation_vlsq_score_distribution.csv","../../../artifacts/11_source_data/H08/H08_preparation_vlsq_score_distribution.csv","_build/nathealth/artifacts/11_source_data/H08/H08_preparation_vlsq_score_distribution.csv",TRUE,"",,"PASS"
3,"../../../artifacts/11_source_data/H08/H08_preparation_vlsq_site_support.csv","../../../artifacts/11_source_data/H08/H08_preparation_vlsq_site_support.csv","_build/nathealth/artifacts/11_source_data/H08/H08_preparation_vlsq_site_support.csv",TRUE,"",,"PASS"
4,"../../../notebooks/preparation/04_metric_derivation.qmd","../../../notebooks/preparation/04_metric_derivation.html","_build/nathealth/notebooks/preparation/04_metric_derivation.html",TRUE,"",,"PASS"
5,"../../../notebooks/preparation/06_model_ready_datasets.qmd","../../../notebooks/preparation/06_model_ready_datasets.html","_build/nathealth/notebooks/preparation/06_model_ready_datasets.html",TRUE,"",,"PASS"
6,"../../../artifacts/11_source_data/H08/H08_preparation_metric_availability.csv","../../../artifacts/11_source_data/H08/H08_preparation_metric_availability.csv","_build/nathealth/artifacts/11_source_data/H08/H08_preparation_metric_availability.csv",TRUE,"",,"PASS"
7,"../../../artifacts/11_source_data/H08/H08_preparation_sample_support.csv","../../../artifacts/11_source_data/H08/H08_preparation_sample_support.csv","_build/nathealth/artifacts/11_source_data/H08/H08_preparation_sample_support.csv",TRUE,"",,"PASS"
8,"../../../artifacts/11_source_data/H08/H08_preparation_sample_support.csv","../../../artifacts/11_source_data/H08/H08_preparation_sample_support.csv","_build/nathealth/artifacts/11_source_data/H08/H08_preparation_sample_support.csv",TRUE,"",,"PASS"
9,"../../../artifacts/11_source_data/H08/H08_preparation_site_support_summary.csv","../../../artifacts/11_source_data/H08/H08_preparation_site_support_summary.csv","_build/nathealth/artifacts/11_source_data/H08/H08_preparation_site_support_summary.csv",TRUE,"",,"PASS"
10,"../../../artifacts/11_source_data/H08/H08_preparation_site_support.csv","../../../artifacts/11_source_data/H08/H08_preparation_site_support.csv","_build/nathealth/artifacts/11_source_data/H08/H08_preparation_site_support.csv",TRUE,"",,"PASS"
