"role","path","expected_sha256","current_sha256","expected_bytes","current_bytes","classification","status"
"result_acceptance","audit/report_harmonization/report018_h08_result_independent_acceptance.md","6b9e66643ab8c94aca11e5bf9804e0e314beb3c8b2eefa668532372e14d32fd7","6b9e66643ab8c94aca11e5bf9804e0e314beb3c8b2eefa668532372e14d32fd7",4581,4581,"hard pin preserved","PASS"
"result_acceptance_manifest","audit/report_harmonization/report018_h08_result_independent_acceptance_manifest.csv","8f7c3351b1fa085f4f23f00ccff9bd21d13be7ef67cabd1767e690991087c0eb","8f7c3351b1fa085f4f23f00ccff9bd21d13be7ef67cabd1767e690991087c0eb",5254,5254,"hard pin preserved","PASS"
"result_acceptance_checker","scripts/report_harmonization/check_h08_order54_result_acceptance.R","f948f190f5c3cd09640892f18ef5c92ad3a8cd565490d5107b97419624fcf99d","f948f190f5c3cd09640892f18ef5c92ad3a8cd565490d5107b97419624fcf99d",14014,14014,"hard pin preserved","PASS"
"result_acceptance_verification","audit/report_harmonization/report018_h08_result_independent_verification.csv","823a80ac2ab50bd404f736de9603aa3d1cd326d4b5811aae2072e397ecc1e840","823a80ac2ab50bd404f736de9603aa3d1cd326d4b5811aae2072e397ecc1e840",6122,6122,"hard pin preserved","PASS"
"result_source","notebooks/hypotheses/H08.qmd","1b6b50b21e22d60909a65b125ce74be54829e5efc10de33f888fcd294c7374b1","1b6b50b21e22d60909a65b125ce74be54829e5efc10de33f888fcd294c7374b1",44031,44031,"hard pin preserved","PASS"
"result_html","_build/nathealth/notebooks/hypotheses/H08.html","472848d0da3e3996fa1727151048e3cab4a7e363dba3dc8eda8b024eb5a4ca9a","472848d0da3e3996fa1727151048e3cab4a7e363dba3dc8eda8b024eb5a4ca9a",340040,340040,"hard pin preserved","PASS"
"companion_source","audit/hypotheses/H08/H08_analysis_preparation.qmd","3eeeda47c909be2ca32bf234af18f2d690f1c3e7b26e854f7311c0d8300f6f2d","3eeeda47c909be2ca32bf234af18f2d690f1c3e7b26e854f7311c0d8300f6f2d",57777,57777,"hard pin preserved","PASS"
"stale_build_companion_source","_build/nathealth/audit/hypotheses/H08/H08_analysis_preparation.qmd","1a3c9ee012f58647556a5f397d8945e03633b7966522dc6996a23c231e30596d","3eeeda47c909be2ca32bf234af18f2d690f1c3e7b26e854f7311c0d8300f6f2d",54705,57777,"authorized historical-to-fresh transition","PASS"
"stale_companion_html","_build/nathealth/audit/hypotheses/H08/H08_analysis_preparation.html","95f5ba0aede0ee6cf0d1b65fcdc53623d52810f8316c846cb214b4fb34a5f135","cd0ce2210949559408d07bcbccac502d3b0a372b4229da70bdfc6dbe0c52f66b",675700,732155,"authorized historical-to-fresh transition","PASS"
"companion_manifest_helper","scripts/hypotheses/H08/build_h08_preparation_report_manifest.R","55fb72225d86ae694778339f395c0bd23f1870ea587bff1a29741af729727014","55fb72225d86ae694778339f395c0bd23f1870ea587bff1a29741af729727014",9383,9383,"hard pin preserved","PASS"
"historical_companion_test","tests/hypotheses/H08/test_h08_preparation_report.R","2e83542b120021e0c337a3769127e6eba2fe61ebc4d56014693b34066a3fc2a4","2e83542b120021e0c337a3769127e6eba2fe61ebc4d56014693b34066a3fc2a4",13024,13024,"hard pin preserved","PASS"
"historical_result_test","tests/hypotheses/H08/test_h08_stage3_reader_report.R","3049ecd80bc7f6c83dce7370b2877a92c6693dd9585f1f45ed7ac19fdf64be8f","3049ecd80bc7f6c83dce7370b2877a92c6693dd9585f1f45ed7ac19fdf64be8f",18954,18954,"hard pin preserved","PASS"
"current_preparation_manifest","artifacts/12_manifests/H08/H08_preparation_report_manifest.csv","1cf574e0333cab6f62d51c21f8017526cb80132a7b810b928e94ade862947d7b","53264f81daed1b69ff8e78e7afcdab0e7d34b473ddb2f20b9f6820ffca5c1720",30322,64474,"authorized historical-to-fresh transition","PASS"
