"path","live_exact","classification","status"
"audit/hypotheses/H08/01_audit_and_plan.html",TRUE,"live exact","PASS"
"audit/hypotheses/H08/01_audit_and_plan.qmd",TRUE,"live exact","PASS"
"audit/hypotheses/H08/02_implementation_and_v0_comparison.html",TRUE,"live exact","PASS"
"audit/hypotheses/H08/02_implementation_and_v0_comparison.qmd",TRUE,"live exact","PASS"
"audit/hypotheses/H08/02_implementation_and_v0_comparison_files/libs/pagedtable-1.1/css/pagedtable.css",TRUE,"live exact","PASS"
"audit/hypotheses/H08/02_implementation_and_v0_comparison_files/libs/pagedtable-1.1/js/pagedtable.js",TRUE,"live exact","PASS"
"scripts/hypotheses/H08/build_h08_figure_physical_size_qa.R",TRUE,"live exact","PASS"
"scripts/hypotheses/H08/build_h08_preparation_artifacts.R",TRUE,"live exact","PASS"
"scripts/hypotheses/H08/build_h08_preparation_report_manifest.R",TRUE,"live exact","PASS"
"scripts/hypotheses/H08/build_h08_stage3_manifest.R",TRUE,"live exact","PASS"
"scripts/hypotheses/H08/h08_contract.R",TRUE,"live exact","PASS"
"scripts/hypotheses/H08/h08_modeling.R",TRUE,"live exact","PASS"
"scripts/hypotheses/H08/rebuild_h08_reader_figures.R",TRUE,"live exact","PASS"
"scripts/hypotheses/H08/reseal_h08_l10_metric011.R",TRUE,"live exact","PASS"
"scripts/hypotheses/H08/run_h08_stage2.R",TRUE,"live exact","PASS"
"audit/handoffs/H08_worker_handoff.md",TRUE,"live exact","PASS"
"artifacts/10_figures/H08/H08_chest_effects.pdf",TRUE,"live exact","PASS"
"artifacts/10_figures/H08/H08_chest_effects.png",TRUE,"live exact","PASS"
"artifacts/10_figures/H08/H08_gap_common_sample_effects.png",TRUE,"live exact","PASS"
"artifacts/10_figures/H08/H08_near_eye_effects.pdf",TRUE,"live exact","PASS"
"artifacts/10_figures/H08/H08_near_eye_effects.png",TRUE,"live exact","PASS"
"artifacts/10_figures/H08/H08_near_eye_model_adequacy.png",TRUE,"live exact","PASS"
"artifacts/10_figures/H08/H08_paired_placement_effects.pdf",TRUE,"live exact","PASS"
"artifacts/10_figures/H08/H08_paired_placement_effects.png",TRUE,"live exact","PASS"
"artifacts/11_source_data/H08/H08_chest_effects_data.csv",TRUE,"live exact","PASS"
"artifacts/11_source_data/H08/H08_gap_common_sample_effects_data.csv",TRUE,"live exact","PASS"
"artifacts/11_source_data/H08/H08_near_eye_effects_data.csv",TRUE,"live exact","PASS"
"artifacts/11_source_data/H08/H08_near_eye_model_adequacy_data.csv",TRUE,"live exact","PASS"
"artifacts/11_source_data/H08/H08_paired_placement_effects_data.csv",TRUE,"live exact","PASS"
"artifacts/11_source_data/H08/H08_primary_diagnostic_plot_data.csv",TRUE,"live exact","PASS"
"tests/hypotheses/H08/test_h08_metric011_reseal.R",TRUE,"live exact","PASS"
"tests/hypotheses/H08/test_h08_preparation_report.R",TRUE,"live exact","PASS"
"tests/hypotheses/H08/test_h08_stage2.R",TRUE,"live exact","PASS"
"tests/hypotheses/H08/test_h08_stage3_reader_report.R",TRUE,"live exact","PASS"
"renv.lock",TRUE,"live exact","PASS"
"artifacts/08_diagnostics/H08/H08_leave_one_site_out.csv",TRUE,"live exact","PASS"
"artifacts/08_diagnostics/H08/H08_leave_one_site_out_summary.csv",TRUE,"live exact","PASS"
"artifacts/08_diagnostics/H08/H08_model_diagnostics.csv",TRUE,"live exact","PASS"
"artifacts/08_diagnostics/H08/H08_participant_influence_screen.csv",TRUE,"live exact","PASS"
"artifacts/08_diagnostics/H08/H08_response_family_gate.csv",TRUE,"live exact","PASS"
"artifacts/08_diagnostics/H08/H08_vlsq_score_audit.csv",TRUE,"live exact","PASS"
"artifacts/08_diagnostics/H08/H08_vlsq_score_rows.csv",TRUE,"live exact","PASS"
"artifacts/07_models/H08/H08_model_bundles.rds",TRUE,"live exact","PASS"
"artifacts/07_models/H08/H08_model_fit_index.csv",TRUE,"live exact","PASS"
"artifacts/07_models/H08/H08_sensitivity_models.rds",TRUE,"live exact","PASS"
"artifacts/07_models/H08/H08_v0_models.rds",TRUE,"live exact","PASS"
"artifacts/06_model_data/H08/H08_author_approvals.csv",TRUE,"live exact","PASS"
"artifacts/06_model_data/H08/H08_family_registry.csv",TRUE,"live exact","PASS"
"artifacts/06_model_data/H08/H08_formula_registry.csv",TRUE,"live exact","PASS"
"artifacts/06_model_data/H08/H08_input_audit.csv",TRUE,"live exact","PASS"
"artifacts/06_model_data/H08/H08_main_gap_common_sample_audit.csv",TRUE,"live exact","PASS"
"artifacts/06_model_data/H08/H08_metric_missingness.csv",TRUE,"live exact","PASS"
"artifacts/06_model_data/H08/H08_metric_registry.csv",TRUE,"live exact","PASS"
"artifacts/06_model_data/H08/H08_model_frame_by_site.csv",TRUE,"live exact","PASS"
"artifacts/06_model_data/H08/H08_model_frame_index.csv",TRUE,"live exact","PASS"
"artifacts/06_model_data/H08/H08_model_frame_rows.csv",TRUE,"live exact","PASS"
"artifacts/06_model_data/H08/H08_model_frames.rds",TRUE,"live exact","PASS"
"artifacts/06_model_data/H08/H08_paired_sample_audit.csv",TRUE,"live exact","PASS"
"artifacts/06_model_data/H08/H08_response_contract_audit.csv",TRUE,"live exact","PASS"
"artifacts/06_model_data/H08/H08_run_registry.csv",TRUE,"live exact","PASS"
"artifacts/06_model_data/H08/H08_sensitivity_registry.csv",TRUE,"live exact","PASS"
"artifacts/06_model_data/H08/H08_v0_model_rows.csv",TRUE,"live exact","PASS"
"artifacts/09_tables/H08/H08_centered_predictions.csv",TRUE,"live exact","PASS"
"artifacts/09_tables/H08/H08_exactly_identified_longest_period_sensitivity.csv",TRUE,"live exact","PASS"
"artifacts/09_tables/H08/H08_family_audit.csv",TRUE,"live exact","PASS"
"artifacts/09_tables/H08/H08_gap_timing_unaware_sensitivity.csv",TRUE,"live exact","PASS"
"artifacts/09_tables/H08/H08_metric011_bh_recalculation.csv",TRUE,"live exact","PASS"
"artifacts/09_tables/H08/H08_metric011_display_invariance.csv",TRUE,"live exact","PASS"
"artifacts/09_tables/H08/H08_metric011_result_comparison.csv",TRUE,"live exact","PASS"
"artifacts/09_tables/H08/H08_model_effects.csv",TRUE,"live exact","PASS"
"artifacts/09_tables/H08/H08_model_results_master.csv",TRUE,"live exact","PASS"
"artifacts/09_tables/H08/H08_model_tests.csv",TRUE,"live exact","PASS"
"artifacts/09_tables/H08/H08_observed_dose_sensitivity.csv",TRUE,"live exact","PASS"
"artifacts/09_tables/H08/H08_participant_summary_sensitivity.csv",TRUE,"live exact","PASS"
"artifacts/09_tables/H08/H08_photoperiod_sensitivity.csv",TRUE,"live exact","PASS"
