"order","endpoint","native_gt_count","caption_count","caption","body_rows","expected_body_rows","cell_count","label_count","note_count","notes_nonempty","status"
1,"tbl-h08-prep-input-identities",1,1,"Table 1: Verified inputs used by the current H08 result-producing analysis.",14,14,60,4,1,TRUE,"PASS"
2,"tbl-h08-prep-integrity-checks",1,1,"Table 2: Bounded integrity checks performed from stored H08 inputs and model frames.",11,11,48,4,0,TRUE,"PASS"
3,"tbl-h08-prep-score-audit",1,1,"Table 3: VLSQ-8 score reconstruction and observed support.",1,1,18,9,0,TRUE,"PASS"
4,"tbl-h08-prep-metric-contract",1,1,"Table 4: Metric-specific analysis level, response model, transformation, and reported effect scale.",9,9,80,17,0,TRUE,"PASS"
5,"tbl-h08-prep-availability",1,1,"Table 5: Stored metric availability by dataset and placement.",10,10,29,5,1,TRUE,"PASS"
6,"tbl-h08-prep-primary-samples",1,1,"Table 6: Exact all-available primary near-eye and complementary chest samples for each metric.",20,20,135,27,0,TRUE,"PASS"
7,"tbl-h08-prep-site-support",1,1,"Table 7: Per-site sample ranges across the nine all-available metric frames.",19,19,92,24,1,TRUE,"PASS"
8,"tbl-h08-prep-exact-formulas",1,1,"Table 8: Exact evaluated Wilkinson formulae supplied to current H08 models and structured sensitivities.",12,12,23,5,0,TRUE,"PASS"
9,"tbl-h08-prep-model-settings",1,1,"Table 9: Model engines, comparisons, and reporting settings used for H08.",9,9,30,3,0,TRUE,"PASS"
10,"tbl-h08-prep-family-audit",1,1,"Table 10: Complete-family multiplicity audit for the eight declared H08 inferential families.",8,8,72,8,1,TRUE,"PASS"
11,"tbl-h08-prep-response-gate",1,1,"Table 11: Stored response-model disposition for the nine H08 metrics.",9,9,90,18,0,TRUE,"PASS"
12,"tbl-h08-prep-site-influence",1,1,"Table 12: Leave-one-site-out stability of primary-dataset average associations.",18,18,152,26,1,TRUE,"PASS"
13,"tbl-h08-prep-sensitivity-map",1,1,"Table 13: H08 sensitivity branches, exact stored scope, and interpretive role.",8,8,36,4,0,TRUE,"PASS"
14,"tbl-h08-prep-boundary",1,1,"Table 14: Calculations performed when this page is rendered.",5,5,18,3,0,TRUE,"PASS"
15,"tbl-h08-prep-metric011",1,1,"Table 15: Bounded exact-zero maintenance and invariance checks.",5,5,18,3,0,TRUE,"PASS"
16,"tbl-h08-prep-module-map",1,1,"Table 16: Function modules used by the H08 executable analysis.",6,6,28,4,0,TRUE,"PASS"
17,"tbl-h08-prep-script-map",1,1,"Table 17: H08 scripts and documents in analytical and reporting order.",8,8,45,13,0,TRUE,"PASS"
18,"tbl-h08-prep-output-identities",1,1,"Table 18: Principal stored H08 outputs and their current identities.",13,13,70,5,0,TRUE,"PASS"
19,"tbl-h08-prep-environment",1,1,"Table 19: Consequential R environment recorded for H08 analysis and reporting.",8,8,27,11,1,TRUE,"PASS"
