file,bytes,mode,scope
"visual_desktop_1440x1000_top.png","224991","desktop_1440x1000","top"
"visual_desktop_1440x1000_full.png","1575496","desktop_1440x1000","full_page"
"visual_desktop_1440x1000_table_01.png","192873","desktop_1440x1000","table_01"
"visual_desktop_1440x1000_table_02.png","189819","desktop_1440x1000","table_02"
"visual_desktop_1440x1000_table_03.png","141102","desktop_1440x1000","table_03"
"visual_desktop_1440x1000_table_04.png","198060","desktop_1440x1000","table_04"
"visual_desktop_1440x1000_table_05.png","173549","desktop_1440x1000","table_05"
"visual_desktop_1440x1000_table_06.png","148047","desktop_1440x1000","table_06"
"visual_desktop_1440x1000_table_07.png","141376","desktop_1440x1000","table_07"
"visual_desktop_1440x1000_table_08.png","197053","desktop_1440x1000","table_08"
"visual_desktop_1440x1000_table_09.png","198200","desktop_1440x1000","table_09"
"visual_desktop_1440x1000_table_10.png","212912","desktop_1440x1000","table_10"
"visual_desktop_1440x1000_table_11.png","193034","desktop_1440x1000","table_11"
"visual_desktop_1440x1000_table_12.png","211606","desktop_1440x1000","table_12"
"visual_desktop_1440x1000_table_13.png","221509","desktop_1440x1000","table_13"
"visual_desktop_1440x1000_table_14.png","200541","desktop_1440x1000","table_14"
"visual_desktop_1440x1000_table_15.png","196019","desktop_1440x1000","table_15"
"visual_desktop_1440x1000_table_16.png","196533","desktop_1440x1000","table_16"
"visual_desktop_1440x1000_table_17.png","227969","desktop_1440x1000","table_17"
"visual_desktop_1440x1000_table_18.png","242450","desktop_1440x1000","table_18"
"visual_desktop_1440x1000_table_19.png","172216","desktop_1440x1000","table_19"
"visual_desktop_1440x1000_figure_01.png","113381","desktop_1440x1000","figure_01"
"visual_desktop_1440x1000_figure_02.png","100865","desktop_1440x1000","figure_02"
"visual_desktop_1440x1000_figure_03.png","80242","desktop_1440x1000","figure_03"
"visual_desktop_1440x1000_mermaid.png","95881","desktop_1440x1000","mermaid"
"visual_narrow_708x1000_top.png","137575","narrow_708x1000","top"
"visual_narrow_708x1000_full.png","1253082","narrow_708x1000","full_page"
"visual_narrow_708x1000_table_01.png","108734","narrow_708x1000","table_01"
"visual_narrow_708x1000_table_02.png","112827","narrow_708x1000","table_02"
"visual_narrow_708x1000_table_03.png","83179","narrow_708x1000","table_03"
"visual_narrow_708x1000_table_04.png","115016","narrow_708x1000","table_04"
"visual_narrow_708x1000_table_05.png","102644","narrow_708x1000","table_05"
"visual_narrow_708x1000_table_06.png","93302","narrow_708x1000","table_06"
"visual_narrow_708x1000_table_07.png","84480","narrow_708x1000","table_07"
"visual_narrow_708x1000_table_08.png","116276","narrow_708x1000","table_08"
"visual_narrow_708x1000_table_09.png","126197","narrow_708x1000","table_09"
"visual_narrow_708x1000_table_10.png","127117","narrow_708x1000","table_10"
"visual_narrow_708x1000_table_11.png","110386","narrow_708x1000","table_11"
"visual_narrow_708x1000_table_12.png","112185","narrow_708x1000","table_12"
"visual_narrow_708x1000_table_13.png","136567","narrow_708x1000","table_13"
"visual_narrow_708x1000_table_14.png","114895","narrow_708x1000","table_14"
"visual_narrow_708x1000_table_15.png","116470","narrow_708x1000","table_15"
"visual_narrow_708x1000_table_16.png","106317","narrow_708x1000","table_16"
"visual_narrow_708x1000_table_17.png","128962","narrow_708x1000","table_17"
"visual_narrow_708x1000_table_18.png","128012","narrow_708x1000","table_18"
"visual_narrow_708x1000_table_19.png","96199","narrow_708x1000","table_19"
"visual_narrow_708x1000_figure_01.png","83708","narrow_708x1000","figure_01"
"visual_narrow_708x1000_figure_02.png","84250","narrow_708x1000","figure_02"
"visual_narrow_708x1000_figure_03.png","63201","narrow_708x1000","figure_03"
"visual_narrow_708x1000_mermaid.png","52207","narrow_708x1000","mermaid"
"visual_narrow_708x1000_tbl-h08-prep-input-identities_scrolled.png","103576","narrow_708x1000","tbl-h08-prep-input-identities_scrolled"
"visual_narrow_708x1000_tbl-h08-prep-output-identities_scrolled.png","123555","narrow_708x1000","tbl-h08-prep-output-identities_scrolled"
"visual_zoom_equivalent_720x500_top.png","54002","zoom_equivalent_720x500","top"
"visual_zoom_equivalent_720x500_full.png","1248194","zoom_equivalent_720x500","full_page"
"visual_zoom_equivalent_720x500_table_01.png","57210","zoom_equivalent_720x500","table_01"
"visual_zoom_equivalent_720x500_table_02.png","52191","zoom_equivalent_720x500","table_02"
"visual_zoom_equivalent_720x500_table_03.png","47202","zoom_equivalent_720x500","table_03"
"visual_zoom_equivalent_720x500_table_04.png","60910","zoom_equivalent_720x500","table_04"
"visual_zoom_equivalent_720x500_table_05.png","43255","zoom_equivalent_720x500","table_05"
"visual_zoom_equivalent_720x500_table_06.png","51699","zoom_equivalent_720x500","table_06"
"visual_zoom_equivalent_720x500_table_07.png","44058","zoom_equivalent_720x500","table_07"
"visual_zoom_equivalent_720x500_table_08.png","48463","zoom_equivalent_720x500","table_08"
"visual_zoom_equivalent_720x500_table_09.png","61055","zoom_equivalent_720x500","table_09"
"visual_zoom_equivalent_720x500_table_10.png","54938","zoom_equivalent_720x500","table_10"
"visual_zoom_equivalent_720x500_table_11.png","48461","zoom_equivalent_720x500","table_11"
"visual_zoom_equivalent_720x500_table_12.png","62154","zoom_equivalent_720x500","table_12"
"visual_zoom_equivalent_720x500_table_13.png","70113","zoom_equivalent_720x500","table_13"
"visual_zoom_equivalent_720x500_table_14.png","62761","zoom_equivalent_720x500","table_14"
"visual_zoom_equivalent_720x500_table_15.png","55367","zoom_equivalent_720x500","table_15"
"visual_zoom_equivalent_720x500_table_16.png","58447","zoom_equivalent_720x500","table_16"
"visual_zoom_equivalent_720x500_table_17.png","60460","zoom_equivalent_720x500","table_17"
"visual_zoom_equivalent_720x500_table_18.png","62672","zoom_equivalent_720x500","table_18"
"visual_zoom_equivalent_720x500_table_19.png","36570","zoom_equivalent_720x500","table_19"
"visual_zoom_equivalent_720x500_figure_01.png","36767","zoom_equivalent_720x500","figure_01"
"visual_zoom_equivalent_720x500_figure_02.png","30725","zoom_equivalent_720x500","figure_02"
"visual_zoom_equivalent_720x500_figure_03.png","17274","zoom_equivalent_720x500","figure_03"
"visual_zoom_equivalent_720x500_mermaid.png","25666","zoom_equivalent_720x500","mermaid"
"visual_zoom_equivalent_720x500_tbl-h08-prep-input-identities_scrolled.png","48906","zoom_equivalent_720x500","tbl-h08-prep-input-identities_scrolled"
"visual_zoom_equivalent_720x500_tbl-h08-prep-output-identities_scrolled.png","58384","zoom_equivalent_720x500","tbl-h08-prep-output-identities_scrolled"
"visual_zoom_equivalent_720x500_sidebar_open.png","62672","zoom_equivalent_720x500","sidebar_open"
"visual_zoom_equivalent_720x500_sidebar_open_top.png","36740","zoom_equivalent_720x500","sidebar_open_top"
"visual_zoom_equivalent_720x500_sidebar_h08_entries.png","42233","zoom_equivalent_720x500","sidebar_h08_entries"
