run_order,run_id,data_scenario_id,reader_scenario,placement,placement_label,sample_scenario,inferential_run,metric_order,metric_id,manuscript_name,participants,participant_days,sites,metric_support_valid_hours,metric_support_expected_hours,metric_support_missing_rows,site_levels,site_contrasts,score_center,score_participant_sd,row_key_hash
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,TRUE,1,daily_geometric_mean_medi,Mean melEDI,141,816,9,18851,19586,0,RISE|THUAS|BAUA|MPI|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(9),21.597826086956523,5.53984036898639,25702bb348901735e44c17f7342b6653ed1f1e450a2700c269690472425bb0f1
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,TRUE,2,m10_mean_medi,Brightest 10 h mean,141,816,9,,,816,RISE|THUAS|BAUA|MPI|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(9),21.597826086956523,5.53984036898639,25702bb348901735e44c17f7342b6653ed1f1e450a2700c269690472425bb0f1
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,TRUE,3,l10_mean_medi,Darkest 10 h mean,141,816,9,,,816,RISE|THUAS|BAUA|MPI|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(9),21.597826086956523,5.53984036898639,25702bb348901735e44c17f7342b6653ed1f1e450a2700c269690472425bb0f1
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,TRUE,4,duration_above_1000,"Time above 1,000 lx melEDI",141,816,9,18851,19586,0,RISE|THUAS|BAUA|MPI|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(9),21.597826086956523,5.53984036898639,25702bb348901735e44c17f7342b6653ed1f1e450a2700c269690472425bb0f1
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,TRUE,5,duration_above_250_wake,Time above 250 lx melEDI during wake,141,737,9,9174.283333333333,9586.383333333333,0,RISE|THUAS|BAUA|MPI|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(9),21.597826086956523,5.53984036898639,3097ca37533a81a8009274f251ec65fb2fbc09044f8f796d9f0f42e1443c7c80
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,TRUE,6,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,139,655,9,1925.5333333333333,1954.25,0,RISE|THUAS|BAUA|MPI|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(9),21.597826086956523,5.53984036898639,6d2f283781ab3130ba2caacbcbde035f8a0d2b1c8818f4b45ad57fb46943af14
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,TRUE,7,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,141,778,9,6282.516666666666,6286.533333333334,0,RISE|THUAS|BAUA|MPI|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(9),21.597826086956523,5.53984036898639,d596e734fdd69bd06887b1be05ef2592538649b4853eaac2d68646c80660f820
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,TRUE,8,longest_bout_above_250,Longest continuous period above 250 lx melEDI,141,816,9,18851,19586,0,RISE|THUAS|BAUA|MPI|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(9),21.597826086956523,5.53984036898639,25702bb348901735e44c17f7342b6653ed1f1e450a2700c269690472425bb0f1
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,TRUE,9,dose_time_sensitive_corrected_medi,melEDI dose,141,761,9,17678.816666666666,18265,0,RISE|THUAS|BAUA|MPI|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(9),21.597826086956523,5.53984036898639,b1ce4b966797511254650262b1a4d5dad4a0c83dca0f90c108e8de32f19e1a8b
2,main__chest__all_available,main,Primary dataset,chest,Chest,all_available,TRUE,1,daily_geometric_mean_medi,Mean melEDI,154,902,8,20891.75,21648,0,RISE|THUAS|BAUA|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(8),21.597826086956523,5.53984036898639,a53255e778373e68d08ff71302616cadee864974760dd069ccfe88d52361e099
