role,path,sha256,bytes
stopped_record,audit/hypotheses/H05/report018_order45_companion_render/order45_stopped_state.md,fd3b6e7ba094d5f1db162670b7de2ad752adab04a5f421a73727a0e549d5fe12,3958
input_mismatch,audit/hypotheses/H05/report018_order45_companion_render/input_identity_mismatch.csv,c8f569df950d49a54c62948ed020f7f72d77d208cbde86071b11b2bf8b58f469,332
build_prerender,audit/hypotheses/H05/report018_order45_companion_render/build_inventory_prerender.csv,9fbb5e75e5f0d6d361e6aa402d92721457dd2bfb83d9b0fa13556081e2931cb9,144773
build_postfailure,audit/hypotheses/H05/report018_order45_companion_render/build_inventory_postfailure.csv,9fbb5e75e5f0d6d361e6aa402d92721457dd2bfb83d9b0fa13556081e2931cb9,144773
protected_prerender,audit/hypotheses/H05/report018_order45_companion_render/protected_inventory_prerender.csv,31fe584aeefd13698453a4ecb2e4eb420b2ef184844b8ad634c8787dcd37e8d0,24093
protected_postfailure,audit/hypotheses/H05/report018_order45_companion_render/protected_inventory_postfailure.csv,31fe584aeefd13698453a4ecb2e4eb420b2ef184844b8ad634c8787dcd37e8d0,24093
owner_order,audit/report_harmonization/owner_orders/45_h05_companion_report018_render.md,cea62287b1b6d6ce8375bae9aa6ed7cfda7a77c0e14c399e53bd12d43d007175,8837
dispatch_manifest,audit/report_harmonization/report018_h05_companion_order45_dispatch_manifest.csv,2cee7fb4956382e81c466dad0f71853119b93967e6f807db2eeff278061bbdbf,3788
coordination_evidence,audit/report_harmonization/coordination_matrix.csv,18e3fd38c60f3b8b289b8420c68e840a506fe68a43a828d0d7b1eee0af7f6528,26206
companion_qmd,audit/hypotheses/H05/H05_analysis_preparation.qmd,0a5296442b46c8b9e43773d97eb979ffbbf3512faabe6f4399da2214d38cb81c,75630
stale_companion_html,_build/nathealth/audit/hypotheses/H05/H05_analysis_preparation.html,c44f4f77f4e2295f6b265ed9505c3c560361a7280562dd9ce1afce73149d5866,839152
stale_build_qmd,_build/nathealth/audit/hypotheses/H05/H05_analysis_preparation.qmd,f8087740def5e4e75e5bf5eff82d9f58acf1865954a16919719a7280f3447bfc,72797
accepted_result_html,_build/nathealth/notebooks/hypotheses/H05.html,a088e105be1987508280e91b938142773c8fb9275f1e924ac1ec9958a9b199f1,640855
h05_input_audit,artifacts/06_model_data/H05/H05_input_audit.csv,cc0ec125ca692c277e2e2b8820afa79a9023ab5177d16ac5bccb492b6386c14e,4445
accepted_current_h01_contract,scripts/hypotheses/H01/h01_contract.R,dfa35f7c8a1ca8a1f2132c6930a8ac219c461ffac769a7423bf85522430da81a,10553
