placement,locally_sparse,support_status,model_sites,light_source_code,local_hour,hours,participants,participant_days,sites,category_order,short_label,light_source
Near-eye,FALSE,Supported,168,electric_indoor,0,137,57,137,9,1,Indoor electric,Electric light source indoors
Near-eye,FALSE,Supported,168,electric_indoor,1,63,40,63,9,1,Indoor electric,Electric light source indoors
Near-eye,FALSE,Supported,168,electric_indoor,2,30,21,30,7,1,Indoor electric,Electric light source indoors
Near-eye,TRUE,Locally sparse,168,electric_indoor,3,18,13,18,5,1,Indoor electric,Electric light source indoors
Near-eye,FALSE,Supported,168,electric_indoor,4,21,14,21,6,1,Indoor electric,Electric light source indoors
Near-eye,FALSE,Supported,168,electric_indoor,5,28,16,28,7,1,Indoor electric,Electric light source indoors
Near-eye,FALSE,Supported,168,electric_indoor,6,63,33,63,8,1,Indoor electric,Electric light source indoors
Near-eye,FALSE,Supported,168,electric_indoor,7,139,56,139,9,1,Indoor electric,Electric light source indoors
Near-eye,FALSE,Supported,168,electric_indoor,8,143,63,143,9,1,Indoor electric,Electric light source indoors
Near-eye,FALSE,Supported,168,electric_indoor,9,162,69,162,9,1,Indoor electric,Electric light source indoors
Near-eye,FALSE,Supported,168,electric_indoor,10,181,76,181,9,1,Indoor electric,Electric light source indoors
Near-eye,FALSE,Supported,168,electric_indoor,11,193,78,193,9,1,Indoor electric,Electric light source indoors
Near-eye,FALSE,Supported,168,electric_indoor,12,182,80,182,9,1,Indoor electric,Electric light source indoors
Near-eye,FALSE,Supported,168,electric_indoor,13,179,77,179,9,1,Indoor electric,Electric light source indoors
Near-eye,FALSE,Supported,168,electric_indoor,14,182,79,182,9,1,Indoor electric,Electric light source indoors
Near-eye,FALSE,Supported,168,electric_indoor,15,184,82,184,9,1,Indoor electric,Electric light source indoors
Near-eye,FALSE,Supported,168,electric_indoor,16,194,85,194,9,1,Indoor electric,Electric light source indoors
Near-eye,FALSE,Supported,168,electric_indoor,17,217,88,217,9,1,Indoor electric,Electric light source indoors
Near-eye,FALSE,Supported,168,electric_indoor,18,281,97,281,9,1,Indoor electric,Electric light source indoors
Near-eye,FALSE,Supported,168,electric_indoor,19,365,111,365,9,1,Indoor electric,Electric light source indoors
Near-eye,FALSE,Supported,168,electric_indoor,20,461,122,461,9,1,Indoor electric,Electric light source indoors
Near-eye,FALSE,Supported,168,electric_indoor,21,483,119,483,9,1,Indoor electric,Electric light source indoors
Near-eye,FALSE,Supported,168,electric_indoor,22,439,116,439,9,1,Indoor electric,Electric light source indoors
Near-eye,FALSE,Supported,168,electric_indoor,23,284,93,284,9,1,Indoor electric,Electric light source indoors
Near-eye,TRUE,Locally sparse,168,electric_outdoor,0,7,5,7,3,2,Outdoor electric,Electric light source outdoors
Near-eye,TRUE,Locally sparse,168,electric_outdoor,1,5,2,5,1,2,Outdoor electric,Electric light source outdoors
Near-eye,TRUE,Locally sparse,168,electric_outdoor,2,3,2,3,1,2,Outdoor electric,Electric light source outdoors
Near-eye,TRUE,Locally sparse,168,electric_outdoor,3,1,1,1,1,2,Outdoor electric,Electric light source outdoors
Near-eye,TRUE,Locally sparse,168,electric_outdoor,4,1,1,1,1,2,Outdoor electric,Electric light source outdoors
Near-eye,TRUE,Locally sparse,168,electric_outdoor,5,1,1,1,1,2,Outdoor electric,Electric light source outdoors
Near-eye,TRUE,Locally sparse,168,electric_outdoor,6,1,1,1,1,2,Outdoor electric,Electric light source outdoors
Near-eye,TRUE,Locally sparse,168,electric_outdoor,7,4,3,4,2,2,Outdoor electric,Electric light source outdoors
Near-eye,TRUE,Locally sparse,168,electric_outdoor,8,5,3,5,3,2,Outdoor electric,Electric light source outdoors
Near-eye,TRUE,Locally sparse,168,electric_outdoor,9,4,3,4,3,2,Outdoor electric,Electric light source outdoors
Near-eye,TRUE,Locally sparse,168,electric_outdoor,10,4,3,4,3,2,Outdoor electric,Electric light source outdoors
Near-eye,TRUE,Locally sparse,168,electric_outdoor,11,4,3,4,3,2,Outdoor electric,Electric light source outdoors
Near-eye,TRUE,Locally sparse,168,electric_outdoor,12,2,2,2,2,2,Outdoor electric,Electric light source outdoors
Near-eye,TRUE,Locally sparse,168,electric_outdoor,13,1,1,1,1,2,Outdoor electric,Electric light source outdoors
Near-eye,TRUE,Locally sparse,168,electric_outdoor,14,3,2,3,2,2,Outdoor electric,Electric light source outdoors
Near-eye,TRUE,Locally sparse,168,electric_outdoor,15,1,1,1,1,2,Outdoor electric,Electric light source outdoors
Near-eye,TRUE,Locally sparse,168,electric_outdoor,16,2,2,2,2,2,Outdoor electric,Electric light source outdoors
Near-eye,TRUE,Locally sparse,168,electric_outdoor,17,6,6,6,4,2,Outdoor electric,Electric light source outdoors
Near-eye,FALSE,Supported,168,electric_outdoor,18,31,20,31,6,2,Outdoor electric,Electric light source outdoors
Near-eye,FALSE,Supported,168,electric_outdoor,19,40,26,40,7,2,Outdoor electric,Electric light source outdoors
