placement,site,participant,participant_day,hours,exact_zero_hours,categories,ar_sequences,boundary_hours
Near-eye,BAUA,BAUA.BAUA_S001,BAUA.BAUA_S001.2025-06-11,24,6,4,1,4
Near-eye,BAUA,BAUA.BAUA_S001,BAUA.BAUA_S001.2025-06-12,22,5,4,2,3
Near-eye,BAUA,BAUA.BAUA_S001,BAUA.BAUA_S001.2025-06-13,22,5,4,2,3
Near-eye,BAUA,BAUA.BAUA_S001,BAUA.BAUA_S001.2025-06-14,22,5,5,2,3
Near-eye,BAUA,BAUA.BAUA_S001,BAUA.BAUA_S001.2025-06-16,24,4,4,1,2
Near-eye,BAUA,BAUA.BAUA_S002,BAUA.BAUA_S002.2025-06-11,24,6,4,1,3
Near-eye,BAUA,BAUA.BAUA_S002,BAUA.BAUA_S002.2025-06-12,24,6,4,1,5
Near-eye,BAUA,BAUA.BAUA_S002,BAUA.BAUA_S002.2025-06-13,22,6,4,2,4
Near-eye,BAUA,BAUA.BAUA_S002,BAUA.BAUA_S002.2025-06-14,23,7,5,2,4
Near-eye,BAUA,BAUA.BAUA_S002,BAUA.BAUA_S002.2025-06-15,24,7,5,1,3
Near-eye,BAUA,BAUA.BAUA_S002,BAUA.BAUA_S002.2025-06-16,24,6,5,1,5
Near-eye,BAUA,BAUA.BAUA_S003,BAUA.BAUA_S003.2025-06-11,24,7,3,1,3
Near-eye,BAUA,BAUA.BAUA_S003,BAUA.BAUA_S003.2025-06-12,24,8,3,1,3
Near-eye,BAUA,BAUA.BAUA_S003,BAUA.BAUA_S003.2025-06-13,24,8,3,1,3
Near-eye,BAUA,BAUA.BAUA_S003,BAUA.BAUA_S003.2025-06-14,24,8,4,1,4
Near-eye,BAUA,BAUA.BAUA_S003,BAUA.BAUA_S003.2025-06-15,24,9,4,1,2
Near-eye,BAUA,BAUA.BAUA_S003,BAUA.BAUA_S003.2025-06-16,14,6,2,1,2
Near-eye,BAUA,BAUA.BAUA_S004,BAUA.BAUA_S004.2025-06-11,23,8,4,2,4
Near-eye,BAUA,BAUA.BAUA_S004,BAUA.BAUA_S004.2025-06-12,22,6,4,2,4
Near-eye,BAUA,BAUA.BAUA_S004,BAUA.BAUA_S004.2025-06-13,23,5,5,2,4
Near-eye,BAUA,BAUA.BAUA_S004,BAUA.BAUA_S004.2025-06-14,23,6,5,1,1
Near-eye,BAUA,BAUA.BAUA_S004,BAUA.BAUA_S004.2025-06-15,22,7,5,2,5
Near-eye,BAUA,BAUA.BAUA_S004,BAUA.BAUA_S004.2025-06-16,22,7,3,2,4
Near-eye,BAUA,BAUA.BAUA_S005,BAUA.BAUA_S005.2025-06-11,22,3,4,3,5
Near-eye,BAUA,BAUA.BAUA_S005,BAUA.BAUA_S005.2025-06-12,22,5,4,3,4
Near-eye,BAUA,BAUA.BAUA_S005,BAUA.BAUA_S005.2025-06-13,22,3,4,3,7
Near-eye,BAUA,BAUA.BAUA_S005,BAUA.BAUA_S005.2025-06-14,24,4,4,1,2
Near-eye,BAUA,BAUA.BAUA_S005,BAUA.BAUA_S005.2025-06-15,24,3,4,1,3
Near-eye,BAUA,BAUA.BAUA_S006,BAUA.BAUA_S006.2025-06-11,24,7,5,1,7
Near-eye,BAUA,BAUA.BAUA_S006,BAUA.BAUA_S006.2025-06-12,24,6,3,1,2
Near-eye,BAUA,BAUA.BAUA_S006,BAUA.BAUA_S006.2025-06-13,23,5,4,2,6
Near-eye,BAUA,BAUA.BAUA_S006,BAUA.BAUA_S006.2025-06-15,24,13,2,1,2
Near-eye,BAUA,BAUA.BAUA_S006,BAUA.BAUA_S006.2025-06-16,24,9,5,1,0
Near-eye,BAUA,BAUA.BAUA_S006,BAUA.BAUA_S006.2025-06-17,20,6,4,1,2
Near-eye,BAUA,BAUA.BAUA_S007,BAUA.BAUA_S007.2025-06-25,18,0,3,1,3
Near-eye,BAUA,BAUA.BAUA_S007,BAUA.BAUA_S007.2025-06-26,17,1,2,1,3
Near-eye,BAUA,BAUA.BAUA_S007,BAUA.BAUA_S007.2025-06-27,18,0,4,2,4
Near-eye,BAUA,BAUA.BAUA_S007,BAUA.BAUA_S007.2025-06-28,16,0,3,1,6
Near-eye,BAUA,BAUA.BAUA_S007,BAUA.BAUA_S007.2025-06-29,14,0,3,3,1
