run_id,dataset_label,placement_label,reader_role,stage,lag_30_minute_bins,lag_minutes,correlation,eligible_pairs
main__glasses__all_available,Primary dataset,Near eye,Primary,preliminary_rho0_response,1,30,0.6227014676337104,36398
main__glasses__all_available,Primary dataset,Near eye,Primary,preliminary_rho0_response,2,60,0.3408816490100001,35084
main__glasses__all_available,Primary dataset,Near eye,Primary,preliminary_rho0_response,3,90,0.18898992457880695,33793
main__glasses__all_available,Primary dataset,Near eye,Primary,preliminary_rho0_response,4,120,0.10659325227838425,32528
main__glasses__all_available,Primary dataset,Near eye,Primary,preliminary_rho0_response,5,150,0.05948714992946193,31293
main__glasses__all_available,Primary dataset,Near eye,Primary,preliminary_rho0_response,6,180,0.02374587433305782,30084
main__glasses__all_available,Primary dataset,Near eye,Primary,preliminary_rho0_response,7,210,0.00371781967845127,28908
main__glasses__all_available,Primary dataset,Near eye,Primary,preliminary_rho0_response,8,240,-0.01171721052957759,27761
main__glasses__all_available,Primary dataset,Near eye,Primary,preliminary_rho0_response,9,270,-0.03211472308555635,26642
main__glasses__all_available,Primary dataset,Near eye,Primary,preliminary_rho0_response,10,300,-0.04882439861210863,25555
main__glasses__all_available,Primary dataset,Near eye,Primary,preliminary_rho0_response,11,330,-0.06779655604202439,24493
main__glasses__all_available,Primary dataset,Near eye,Primary,preliminary_rho0_response,12,360,-0.09079819411655568,23456
main__glasses__all_available,Primary dataset,Near eye,Primary,final_AR1_standardized,1,30,0.08253838126814109,36398
main__glasses__all_available,Primary dataset,Near eye,Primary,final_AR1_standardized,2,60,-0.01865915412275923,35084
main__glasses__all_available,Primary dataset,Near eye,Primary,final_AR1_standardized,3,90,-0.00505591560442951,33793
main__glasses__all_available,Primary dataset,Near eye,Primary,final_AR1_standardized,4,120,-0.0012240503147895,32528
main__glasses__all_available,Primary dataset,Near eye,Primary,final_AR1_standardized,5,150,0.00475088718563135,31293
main__glasses__all_available,Primary dataset,Near eye,Primary,final_AR1_standardized,6,180,-0.01348005529011308,30084
main__glasses__all_available,Primary dataset,Near eye,Primary,final_AR1_standardized,7,210,-0.00820479181231608,28908
main__glasses__all_available,Primary dataset,Near eye,Primary,final_AR1_standardized,8,240,-2.7890053450163176e-4,27761
main__glasses__all_available,Primary dataset,Near eye,Primary,final_AR1_standardized,9,270,-0.00793803807544279,26642
main__glasses__all_available,Primary dataset,Near eye,Primary,final_AR1_standardized,10,300,0.00133953643710359,25555
main__glasses__all_available,Primary dataset,Near eye,Primary,final_AR1_standardized,11,330,0.00464228611046836,24493
main__glasses__all_available,Primary dataset,Near eye,Primary,final_AR1_standardized,12,360,-0.00105137737900132,23456
main__chest__all_available,Primary dataset,Chest,Complementary,preliminary_rho0_response,1,30,0.6065255316441134,40335
main__chest__all_available,Primary dataset,Chest,Complementary,preliminary_rho0_response,2,60,0.33251923626180163,38871
main__chest__all_available,Primary dataset,Chest,Complementary,preliminary_rho0_response,3,90,0.1903447605108275,37442
main__chest__all_available,Primary dataset,Chest,Complementary,preliminary_rho0_response,4,120,0.10450599332063672,36035
main__chest__all_available,Primary dataset,Chest,Complementary,preliminary_rho0_response,5,150,0.06030563952990375,34653
main__chest__all_available,Primary dataset,Chest,Complementary,preliminary_rho0_response,6,180,0.03106051587354699,33298
main__chest__all_available,Primary dataset,Chest,Complementary,preliminary_rho0_response,7,210,0.00637200080827814,31975
main__chest__all_available,Primary dataset,Chest,Complementary,preliminary_rho0_response,8,240,-0.01808644761102771,30681
main__chest__all_available,Primary dataset,Chest,Complementary,preliminary_rho0_response,9,270,-0.04227637271667116,29418
main__chest__all_available,Primary dataset,Chest,Complementary,preliminary_rho0_response,10,300,-0.06405406277207878,28188
main__chest__all_available,Primary dataset,Chest,Complementary,preliminary_rho0_response,11,330,-0.0813135742696007,26986
main__chest__all_available,Primary dataset,Chest,Complementary,preliminary_rho0_response,12,360,-0.09992951521585912,25818
main__chest__all_available,Primary dataset,Chest,Complementary,final_AR1_standardized,1,30,0.06986847325475244,40335
main__chest__all_available,Primary dataset,Chest,Complementary,final_AR1_standardized,2,60,-0.00883261274597497,38871
main__chest__all_available,Primary dataset,Chest,Complementary,final_AR1_standardized,3,90,0.01692847239083354,37442
main__chest__all_available,Primary dataset,Chest,Complementary,final_AR1_standardized,4,120,-0.00223486824908485,36035
main__chest__all_available,Primary dataset,Chest,Complementary,final_AR1_standardized,5,150,0.00175229562807251,34653
main__chest__all_available,Primary dataset,Chest,Complementary,final_AR1_standardized,6,180,-0.00279849847415683,33298
main__chest__all_available,Primary dataset,Chest,Complementary,final_AR1_standardized,7,210,-0.00547150189759843,31975
main__chest__all_available,Primary dataset,Chest,Complementary,final_AR1_standardized,8,240,-0.0113431309586639,30681
main__chest__all_available,Primary dataset,Chest,Complementary,final_AR1_standardized,9,270,-0.01495675767260317,29418
main__chest__all_available,Primary dataset,Chest,Complementary,final_AR1_standardized,10,300,-0.01333971280179023,28188
main__chest__all_available,Primary dataset,Chest,Complementary,final_AR1_standardized,11,330,-0.00678461222140945,26986
main__chest__all_available,Primary dataset,Chest,Complementary,final_AR1_standardized,12,360,-0.01035628468626103,25818
alternative_preprocessing__glasses__all_available,Gap-timing-unaware dataset,Near eye,Sensitivity,preliminary_rho0_response,1,30,0.6206682533484421,36424
alternative_preprocessing__glasses__all_available,Gap-timing-unaware dataset,Near eye,Sensitivity,preliminary_rho0_response,2,60,0.339037539868219,35255
alternative_preprocessing__glasses__all_available,Gap-timing-unaware dataset,Near eye,Sensitivity,preliminary_rho0_response,3,90,0.18646410140552583,34114
alternative_preprocessing__glasses__all_available,Gap-timing-unaware dataset,Near eye,Sensitivity,preliminary_rho0_response,4,120,0.10386037394557264,32978
alternative_preprocessing__glasses__all_available,Gap-timing-unaware dataset,Near eye,Sensitivity,preliminary_rho0_response,5,150,0.05498643446733888,31877
alternative_preprocessing__glasses__all_available,Gap-timing-unaware dataset,Near eye,Sensitivity,preliminary_rho0_response,6,180,0.02100451831067185,30777
alternative_preprocessing__glasses__all_available,Gap-timing-unaware dataset,Near eye,Sensitivity,preliminary_rho0_response,7,210,0.00172226859794257,29716
alternative_preprocessing__glasses__all_available,Gap-timing-unaware dataset,Near eye,Sensitivity,preliminary_rho0_response,8,240,-0.01180978178241597,28658
alternative_preprocessing__glasses__all_available,Gap-timing-unaware dataset,Near eye,Sensitivity,preliminary_rho0_response,9,270,-0.0312033981212439,27629
alternative_preprocessing__glasses__all_available,Gap-timing-unaware dataset,Near eye,Sensitivity,preliminary_rho0_response,10,300,-0.04835490748948978,26603
