"check","pass","observed"
"source_postimage",TRUE,"9acec033d0c24cbb0ee7649c38f55d5cea90052e11b6be7fc5f9e7310890d8f3;49865"
"canonical_html_unmodified",TRUE,"82100e0d3990dec39f61e94970e7a434b02cf94a6d25819ede1be4d24f4130a6;30925051"
"candidate_locations_absent",TRUE,"audit/manuscript_nature_health/manuscript_figure_table_selection_order72f_candidate.html;audit/manuscript_nature_health/figure_table_selection_svg_revision_2026_09_11/rendered/manuscript_figure_table_selection.html"
"rendered_root_empty",TRUE,"0"
"historical_release_shape",TRUE,"63"
"exact_one_authorized_source_transition",TRUE,"audit/manuscript_nature_health/manuscript_figure_table_selection.qmd"
"stored_source_checks",TRUE,"20"
"durable_preimages",TRUE,"both exact"
"source_candidate_equals_promoted_source",TRUE,"9acec033d0c24cbb0ee7649c38f55d5cea90052e11b6be7fc5f9e7310890d8f3"
"fixture_source_unchanged",TRUE,"fca58a01c011f44b8c07f86eb717d42248c325aca5b9c6eb7df6f1626ac2603f"
"fixture_correct_output_only",TRUE,"manuscript_figure_table_selection_order72f_candidate.html"
"fixture_embedded_svg",TRUE,"1"
"fixture_svg_bytes_exact",TRUE,"837e3e53ee712b63c67ffe0b74be8f086a2eae6cd9af39cf00a0eceb11a139d6"
"fixture_relative_include",TRUE,"one included table"
"fixture_no_support_sidecar",TRUE,"4"
"fixture_symlink_free",TRUE,"4"
"installed_cli_path_restriction",TRUE,"20053"
"installed_quarto_version",TRUE,"1.9.37"
"source_nonexecuting",TRUE,"Markdown-only; embedded resources"
"owner_stop_files_readable",TRUE,"14"
