domain,check_id,pass,detail
identity,accepted_and_held_inputs,TRUE,exact=14/14
source,planned_page_is_nonexecuting_and_explicit,TRUE,headings=3 chunks=1 eval_false=1 inline_R=0 endpoints=0
links,source_decision_link_resolves,TRUE,one relative decision link resolves inside the project
profile,narrow_target_and_semantic_hook_registered,TRUE,render=35/37 sidebar=1 output=_build/nathealth hook=accepted
held HTML,historical_page_structure,TRUE,main=1 tables=0 figures=0 expected_hook=NO_GT
corpus,historical_manifest_and_target_row_classified,TRUE,rows=37 target_exact; current source=31/37 HTML=23/37
build,mandatory_symlink_preflight,TRUE,members=1180 symlinks=0
tests,complete_read_only_structural_suite,TRUE,pass=4/4
runtime,accepted_R_Quarto_hook_and_cache,TRUE,R=4.6.1 Quarto=1.9.37 gt=1.3.0 Sass schema file exact
render contract,single_target_no_scientific_execution,TRUE,one target; one attempt; eval_false; NO_GT; serial loopback QA
