placement,metric_order,metric_id,participants_main,participants_gap_timing_unaware,participant_days_main,participant_days_gap_timing_unaware,sites_main,sites_gap_timing_unaware,row_key_hash_main,row_key_hash_gap_timing_unaware,exact_counts_match,exact_row_keys_match
glasses,1,daily_geometric_mean_medi,141,141,809,809,9,9,61039a9159cf67f3ff487eb424ac12bc6635491c324a2ba837ea7cbc2f2c4f60,61039a9159cf67f3ff487eb424ac12bc6635491c324a2ba837ea7cbc2f2c4f60,TRUE,TRUE
glasses,2,m10_mean_medi,141,141,809,809,9,9,61039a9159cf67f3ff487eb424ac12bc6635491c324a2ba837ea7cbc2f2c4f60,61039a9159cf67f3ff487eb424ac12bc6635491c324a2ba837ea7cbc2f2c4f60,TRUE,TRUE
glasses,3,l10_mean_medi,141,141,809,809,9,9,61039a9159cf67f3ff487eb424ac12bc6635491c324a2ba837ea7cbc2f2c4f60,61039a9159cf67f3ff487eb424ac12bc6635491c324a2ba837ea7cbc2f2c4f60,TRUE,TRUE
glasses,4,duration_above_1000,141,141,809,809,9,9,61039a9159cf67f3ff487eb424ac12bc6635491c324a2ba837ea7cbc2f2c4f60,61039a9159cf67f3ff487eb424ac12bc6635491c324a2ba837ea7cbc2f2c4f60,TRUE,TRUE
glasses,5,duration_above_250_wake,140,140,719,719,9,9,487838b79c56de5ec9d4018148d95f87ba7403db3c27dc53d7e093cb49ee6be5,487838b79c56de5ec9d4018148d95f87ba7403db3c27dc53d7e093cb49ee6be5,TRUE,TRUE
glasses,6,duration_below_10_pre_sleep,139,139,653,653,9,9,30860cb14cfa1a0380cd9f6e85ca6fb419e6e7047876156324d53ece69f8bbad,30860cb14cfa1a0380cd9f6e85ca6fb419e6e7047876156324d53ece69f8bbad,TRUE,TRUE
glasses,7,duration_below_1_sleep_environment,141,141,771,771,9,9,96bfe1b74f38a7947cfed2ff2764099d6039ddc4e5c0b7c317c18db5f0c4b230,96bfe1b74f38a7947cfed2ff2764099d6039ddc4e5c0b7c317c18db5f0c4b230,TRUE,TRUE
glasses,8,longest_bout_above_250,141,141,809,809,9,9,61039a9159cf67f3ff487eb424ac12bc6635491c324a2ba837ea7cbc2f2c4f60,61039a9159cf67f3ff487eb424ac12bc6635491c324a2ba837ea7cbc2f2c4f60,TRUE,TRUE
glasses,9,dose_time_sensitive_corrected_medi,141,141,757,757,9,9,6fd158f13e1ee47e142818f79c89ce27de5622ff4623af8484644e27825f9a2d,6fd158f13e1ee47e142818f79c89ce27de5622ff4623af8484644e27825f9a2d,TRUE,TRUE
chest,1,daily_geometric_mean_medi,154,154,894,894,8,8,2cee4640c326c8cfbfdef4a671ab7297af3d83c19f9ef732773f6f7fbe9b6e8d,2cee4640c326c8cfbfdef4a671ab7297af3d83c19f9ef732773f6f7fbe9b6e8d,TRUE,TRUE
chest,2,m10_mean_medi,154,154,894,894,8,8,2cee4640c326c8cfbfdef4a671ab7297af3d83c19f9ef732773f6f7fbe9b6e8d,2cee4640c326c8cfbfdef4a671ab7297af3d83c19f9ef732773f6f7fbe9b6e8d,TRUE,TRUE
chest,3,l10_mean_medi,154,154,894,894,8,8,2cee4640c326c8cfbfdef4a671ab7297af3d83c19f9ef732773f6f7fbe9b6e8d,2cee4640c326c8cfbfdef4a671ab7297af3d83c19f9ef732773f6f7fbe9b6e8d,TRUE,TRUE
chest,4,duration_above_1000,154,154,894,894,8,8,2cee4640c326c8cfbfdef4a671ab7297af3d83c19f9ef732773f6f7fbe9b6e8d,2cee4640c326c8cfbfdef4a671ab7297af3d83c19f9ef732773f6f7fbe9b6e8d,TRUE,TRUE
chest,5,duration_above_250_wake,153,153,800,800,8,8,41fc6dc744f173fe8847f1de44c27e0a60cebd1a4a697932da5be93f0160494d,41fc6dc744f173fe8847f1de44c27e0a60cebd1a4a697932da5be93f0160494d,TRUE,TRUE
chest,6,duration_below_10_pre_sleep,153,153,740,740,8,8,ba2d480b26573b4d58d04f198d396f2257e85c118ec7a67c9d93938c48d30da6,ba2d480b26573b4d58d04f198d396f2257e85c118ec7a67c9d93938c48d30da6,TRUE,TRUE
chest,7,duration_below_1_sleep_environment,154,154,853,853,8,8,75e4aafe14768c22016def3e25ff8de8b92aa0dc3a64376ad608d7d442ae9e31,75e4aafe14768c22016def3e25ff8de8b92aa0dc3a64376ad608d7d442ae9e31,TRUE,TRUE
chest,8,longest_bout_above_250,154,154,894,894,8,8,2cee4640c326c8cfbfdef4a671ab7297af3d83c19f9ef732773f6f7fbe9b6e8d,2cee4640c326c8cfbfdef4a671ab7297af3d83c19f9ef732773f6f7fbe9b6e8d,TRUE,TRUE
chest,9,dose_time_sensitive_corrected_medi,154,154,847,847,8,8,4191db606baf26b4b445175f54d82b81dd6e1e140e4772dbe2673930533be54b,4191db606baf26b4b445175f54d82b81dd6e1e140e4772dbe2673930533be54b,TRUE,TRUE
