data_scenario_id,placement,metric_order,metric_id,availability_reason,participant_days
gap_timing_unaware,chest,1,daily_geometric_mean_medi,available,897
gap_timing_unaware,chest,2,m10_mean_medi,available,897
gap_timing_unaware,chest,3,l10_mean_medi,available,897
gap_timing_unaware,chest,4,duration_above_1000,available,897
gap_timing_unaware,chest,5,duration_above_250_wake,alternative_preprocessing_nonestimable_reason_not_recorded,58
gap_timing_unaware,chest,5,duration_above_250_wake,available,839
gap_timing_unaware,chest,6,duration_below_10_pre_sleep,alternative_preprocessing_nonestimable_reason_not_recorded,30
gap_timing_unaware,chest,6,duration_below_10_pre_sleep,available,867
gap_timing_unaware,chest,7,duration_below_1_sleep_environment,alternative_preprocessing_nonestimable_reason_not_recorded,19
gap_timing_unaware,chest,7,duration_below_1_sleep_environment,available,878
gap_timing_unaware,chest,8,longest_bout_above_250,available,897
gap_timing_unaware,chest,9,dose_time_sensitive_corrected_medi,available,897
gap_timing_unaware,glasses,1,daily_geometric_mean_medi,available,811
gap_timing_unaware,glasses,2,m10_mean_medi,available,811
gap_timing_unaware,glasses,3,l10_mean_medi,available,811
gap_timing_unaware,glasses,4,duration_above_1000,available,811
gap_timing_unaware,glasses,5,duration_above_250_wake,alternative_preprocessing_nonestimable_reason_not_recorded,56
gap_timing_unaware,glasses,5,duration_above_250_wake,available,755
gap_timing_unaware,glasses,6,duration_below_10_pre_sleep,alternative_preprocessing_nonestimable_reason_not_recorded,31
gap_timing_unaware,glasses,6,duration_below_10_pre_sleep,available,780
gap_timing_unaware,glasses,7,duration_below_1_sleep_environment,alternative_preprocessing_nonestimable_reason_not_recorded,21
gap_timing_unaware,glasses,7,duration_below_1_sleep_environment,available,790
gap_timing_unaware,glasses,8,longest_bout_above_250,available,811
gap_timing_unaware,glasses,9,dose_time_sensitive_corrected_medi,available,811
main,chest,1,daily_geometric_mean_medi,available,902
main,chest,2,m10_mean_medi,available,902
main,chest,3,l10_mean_medi,available,902
main,chest,4,duration_above_1000,available,902
main,chest,5,duration_above_250_wake,available,818
main,chest,5,duration_above_250_wake,incomplete_state_domain,41
main,chest,5,duration_above_250_wake,insufficient_state_support,43
main,chest,6,duration_below_10_pre_sleep,available,743
main,chest,6,duration_below_10_pre_sleep,incomplete_state_domain,41
main,chest,6,duration_below_10_pre_sleep,insufficient_state_support,105
main,chest,6,duration_below_10_pre_sleep,no_state_window,13
main,chest,7,duration_below_1_sleep_environment,available,861
main,chest,7,duration_below_1_sleep_environment,incomplete_state_domain,41
main,chest,8,longest_bout_above_250,available,902
main,chest,9,dose_time_sensitive_corrected_medi,available,851
main,chest,9,dose_time_sensitive_corrected_medi,low_relevance_coverage,51
main,glasses,1,daily_geometric_mean_medi,available,816
main,glasses,2,m10_mean_medi,available,816
main,glasses,3,l10_mean_medi,available,816
main,glasses,4,duration_above_1000,available,816
main,glasses,5,duration_above_250_wake,available,737
main,glasses,5,duration_above_250_wake,incomplete_state_domain,38
main,glasses,5,duration_above_250_wake,insufficient_state_support,41
main,glasses,6,duration_below_10_pre_sleep,available,655
main,glasses,6,duration_below_10_pre_sleep,incomplete_state_domain,38
main,glasses,6,duration_below_10_pre_sleep,insufficient_state_support,109
main,glasses,6,duration_below_10_pre_sleep,no_state_window,14
main,glasses,7,duration_below_1_sleep_environment,available,778
main,glasses,7,duration_below_1_sleep_environment,incomplete_state_domain,38
main,glasses,8,longest_bout_above_250,available,816
main,glasses,9,dose_time_sensitive_corrected_medi,available,761
main,glasses,9,dose_time_sensitive_corrected_medi,low_relevance_coverage,55
