data_scenario_id,metric_order,metric_id,participants_glasses,participants_chest,participant_days_glasses,participant_days_chest,sites_glasses,sites_chest,row_key_hash_glasses,row_key_hash_chest,exact_counts_match,exact_row_keys_match
main,1,daily_geometric_mean_medi,112,112,643,643,8,8,64013f092d80cfe82958b5fe2d6613591d6bf6b2562fe189da44e701cfb02516,64013f092d80cfe82958b5fe2d6613591d6bf6b2562fe189da44e701cfb02516,TRUE,TRUE
main,2,m10_mean_medi,112,112,643,643,8,8,64013f092d80cfe82958b5fe2d6613591d6bf6b2562fe189da44e701cfb02516,64013f092d80cfe82958b5fe2d6613591d6bf6b2562fe189da44e701cfb02516,TRUE,TRUE
main,3,l10_mean_medi,112,112,643,643,8,8,64013f092d80cfe82958b5fe2d6613591d6bf6b2562fe189da44e701cfb02516,64013f092d80cfe82958b5fe2d6613591d6bf6b2562fe189da44e701cfb02516,TRUE,TRUE
main,4,duration_above_1000,112,112,643,643,8,8,64013f092d80cfe82958b5fe2d6613591d6bf6b2562fe189da44e701cfb02516,64013f092d80cfe82958b5fe2d6613591d6bf6b2562fe189da44e701cfb02516,TRUE,TRUE
main,5,duration_above_250_wake,112,112,578,578,8,8,991170bd4b51bd6ebbb91285341801b70446bf7309787e98156e380c7e5c225a,991170bd4b51bd6ebbb91285341801b70446bf7309787e98156e380c7e5c225a,TRUE,TRUE
main,6,duration_below_10_pre_sleep,110,110,505,505,8,8,64057daefd07dcf172d314765593821d787d7bc721af3e893eed25bddfd60ffd,64057daefd07dcf172d314765593821d787d7bc721af3e893eed25bddfd60ffd,TRUE,TRUE
main,7,duration_below_1_sleep_environment,112,112,608,608,8,8,c4ea0239b2e5ccafdc9787b87be967d8d1350c2483f8fc3ecb28506c1357b9aa,c4ea0239b2e5ccafdc9787b87be967d8d1350c2483f8fc3ecb28506c1357b9aa,TRUE,TRUE
main,8,longest_bout_above_250,112,112,643,643,8,8,64013f092d80cfe82958b5fe2d6613591d6bf6b2562fe189da44e701cfb02516,64013f092d80cfe82958b5fe2d6613591d6bf6b2562fe189da44e701cfb02516,TRUE,TRUE
main,9,dose_time_sensitive_corrected_medi,112,112,598,598,8,8,8ba25bbb390c4b9f930209d44f6863deb26cf04faa9199de9d0e417884f8856d,8ba25bbb390c4b9f930209d44f6863deb26cf04faa9199de9d0e417884f8856d,TRUE,TRUE
gap_timing_unaware,1,daily_geometric_mean_medi,112,112,640,640,8,8,764d389aea9d27a926994dbf1d9b46e443272175be3f7276ac73e23251e74af7,764d389aea9d27a926994dbf1d9b46e443272175be3f7276ac73e23251e74af7,TRUE,TRUE
gap_timing_unaware,2,m10_mean_medi,112,112,640,640,8,8,764d389aea9d27a926994dbf1d9b46e443272175be3f7276ac73e23251e74af7,764d389aea9d27a926994dbf1d9b46e443272175be3f7276ac73e23251e74af7,TRUE,TRUE
gap_timing_unaware,3,l10_mean_medi,112,112,640,640,8,8,764d389aea9d27a926994dbf1d9b46e443272175be3f7276ac73e23251e74af7,764d389aea9d27a926994dbf1d9b46e443272175be3f7276ac73e23251e74af7,TRUE,TRUE
gap_timing_unaware,4,duration_above_1000,112,112,640,640,8,8,764d389aea9d27a926994dbf1d9b46e443272175be3f7276ac73e23251e74af7,764d389aea9d27a926994dbf1d9b46e443272175be3f7276ac73e23251e74af7,TRUE,TRUE
gap_timing_unaware,5,duration_above_250_wake,111,111,592,592,8,8,7855326bf2e3319cf76e73c6f3e6b6dde34094dc309be0cc210e4e3e46fcbae2,7855326bf2e3319cf76e73c6f3e6b6dde34094dc309be0cc210e4e3e46fcbae2,TRUE,TRUE
gap_timing_unaware,6,duration_below_10_pre_sleep,112,112,615,615,8,8,f2e3fb2b13a2a9174a54bd39f8d3b6d460b424b792ee6be2d59c70964e650ba3,f2e3fb2b13a2a9174a54bd39f8d3b6d460b424b792ee6be2d59c70964e650ba3,TRUE,TRUE
gap_timing_unaware,7,duration_below_1_sleep_environment,112,112,621,621,8,8,1f1a4719b2b6f85697aa3a55bd075a00aa90b91501f864e4df6a1d5a1bb4e0c5,1f1a4719b2b6f85697aa3a55bd075a00aa90b91501f864e4df6a1d5a1bb4e0c5,TRUE,TRUE
gap_timing_unaware,8,longest_bout_above_250,112,112,640,640,8,8,764d389aea9d27a926994dbf1d9b46e443272175be3f7276ac73e23251e74af7,764d389aea9d27a926994dbf1d9b46e443272175be3f7276ac73e23251e74af7,TRUE,TRUE
gap_timing_unaware,9,dose_time_sensitive_corrected_medi,112,112,640,640,8,8,764d389aea9d27a926994dbf1d9b46e443272175be3f7276ac73e23251e74af7,764d389aea9d27a926994dbf1d9b46e443272175be3f7276ac73e23251e74af7,TRUE,TRUE
