path,title,ids,duplicate_ids,table_count,gt_tables,image_count,script_count,header_sha256,footer_sha256,main_dom_sha256,main_sections,colgroups,main_h1_ids
_build/nathealth/index.html,The multiscale architecture of personal light exposure,593,,19,19,74,20,170446ea2c7e724e0844ab0c9843bfd6afc8d8f37004d335ab9988d33a7e3174,0f031bbc3538732b3f2443c9d03fff1e53379b125c40b2fbbca64697effe5c43,bb6885e4880e6cc48fd7cbca9e2dea2ea14110814c9199af6975bd126a3019a8,results | discussion | methods | data-availability | code-availability | references | acknowledgements | funding | author-contributions | competing-interests | supplementary-information,11, |  |  |  |  |  |  |  |  |  |  | 
_build/nathealth/supplementary_information.html,Supplementary Information – Nature Health analysis and manuscript,123,,0,0,0,15,46b0e186c82216405f4af25ce7f38b5bb921ef5675cf796000a91f3ba016ba7a,d2b6a5c387c55f85ff2ee21bff3d0c31f9b4d9f754f301381497b120a0630c5e,ec9d50fa1e7cc82e2732aeb7c47ba1f18dcf987989e113f5ee7e66be0730a0dc,supplementary-methods | preregistration-and-deviations | hypothesis-level-results | sensor-placement-analysis | sensitivity-analyses | supplementary-figures | supplementary-tables | references,0, |  |  |  |  |  |  |  | 
_build/nathealth/notebooks/preparation/01_import_state_alignment.html,"Preparation 01: Import and align light, sleep, and wear data – Nature Health analysis and manuscript",1184,Site | Stored-outcome | Chest | Near-eye | Check,14,14,0,17,c91f021dbe5f58b418af37cef5498cd579f5a51d4f529d59b283ec09372b35a6,3d2c721f5ca9e3c6b634576600e7db4903f72be39714a377d4d3227f66c3dec8,330fecd0bf80924fe23ec27e8e61ad2f0f3918553f12a7d82dc8f1ebdb5b5b64,purpose-and-position-in-the-analysis-chain | establish-the-exact-source-files | preserve-actual-time-and-local-clock-time | prepare-sleep-and-wear-periods | align-measurement-context-without-losing-rows | apply-the-meledi-operating-limit | stored-sample-after-import-and-alignment | checks-that-had-to-pass | production-scripts-and-why-the-operations-are-separate | exact-artifacts-passed-to-preparation-02 | render-environment,14,
_build/nathealth/notebooks/preparation/02_coverage_sample_flow.html,Preparation 02: Assess coverage and document sample flow – Nature Health analysis and manuscript,919,Stored-outcome | Chest | Near-eye | Placement | Participant-days | Check,11,11,0,17,c91f021dbe5f58b418af37cef5498cd579f5a51d4f529d59b283ec09372b35a6,f07282dc092d5a6e62328a412ce0e25eb2652d6f0f0d0bb2448b459c9462b872,ae3ec556fe69c70006f44a3ad7d81be89114c9531b6a1a9e547d403b16e0f625,purpose-and-position-in-the-analysis-chain | the-decisions-applied | overall-input-and-retained-coverage | coverage-by-site | why-measurements-were-unavailable | sample-flow-through-each-branch | checks-that-passed | production-scripts-and-execution-order | exact-artifacts-passed-forward | render-environment,11,
_build/nathealth/notebooks/preregistration_deviations.html,Preregistration deviations and current analysis decisions – Nature Health analysis and manuscript,136,,0,0,0,15,1f425903a9698c005f0c2a62d44adc68a03ca9856c341c493c366827c22a9434,4a8c2413922de8ffb750272c2fa1ba6e05314ab123cc70c9cd856d349d4f37fd,f47ed73308f9d7a7c16a1932cb8840dad4bdf201840050d34f9883fddae2d27e,how-to-read | scientific-deviation | current-qualification | resolved-implementation-history | technical-provenance | source-and-update-note,0, |  |  |  |  |  | 
_build/nathealth/notebooks/preparation/03_reference_profiles.html,Preparation 03: Learn fixed time-of-day reference profiles – Nature Health analysis and manuscript,1383,Placement | Supported-half-hour-periods,11,11,1,17,c91f021dbe5f58b418af37cef5498cd579f5a51d4f529d59b283ec09372b35a6,4105f1b7e23602460be9dcf1ce4f8cc98c96ac1612943f905ba06ca6ec9e278b,83834bbacfdc9453abba4c318e2b312d62e747301a82a43b0b50940437ba933f,purpose-and-position-in-the-preparation-chain | how-the-reference-profiles-are-defined | what-the-pooled-profiles-look-like | exact-inputs-and-clock-handling | support-for-the-intensity-profiles | probability-of-exceeding-250-lx-by-time-of-day | how-preparation-04-may-use-each-map | limitation-of-current-independent-verification | technical-provenance-and-file-checks,11,
_build/nathealth/notebooks/preparation/04_metric_derivation.html,Preparation 04: Derive light-exposure metrics – Nature Health analysis and manuscript,2402,Placement | Eligible-days | Participant-days,14,14,1,17,c91f021dbe5f58b418af37cef5498cd579f5a51d4f529d59b283ec09372b35a6,b36561af86cf500d3d1a5a8e07465054e58f5afab21742113ee95cf4f2496765,c8fd1f07a86855f6ce98f566f377aaababbbd116d98e5c26765a792869410d77,purpose-and-position-in-the-preparation-chain | exact-inputs | scientific-rules-applied-during-production | cohort-and-time-grid-outputs | which-metric-values-are-available | gaps-and-daylight-saving-changes | limitation-of-current-independent-verification | technical-provenance-and-version-specific-verification,14,
_build/nathealth/notebooks/preparation/05_model_input_acquisition.html,Preparation 05: Acquire fixed questionnaire and diary inputs – Nature Health analysis and manuscript,1083,,9,9,0,17,c91f021dbe5f58b418af37cef5498cd579f5a51d4f529d59b283ec09372b35a6,758a54361f4b65ba314fa04e1ef7764137c9827b1ae7c3775c90e4fbfd12aae6,9f9be98966820b9079e6a1dbb7cff1d613970a5588b5b3789541e052f4ea9950,purpose-and-position-in-the-preparation-chain | files-acquired-and-why | access-privacy-and-acquired-contents | technical-provenance,9,
_build/nathealth/notebooks/preparation/06_model_ready_datasets.html,Preparation 06: Build model-ready datasets – Nature Health analysis and manuscript,2630,Rows | Columns | Stored-file | Site | Placement | Check | Value | Metric | Participants | Rows-in-prepared-frame | Contributing-participant-days | Valid-measurement-hours | Sites | Stored-record,19,19,1,17,c91f021dbe5f58b418af37cef5498cd579f5a51d4f529d59b283ec09372b35a6,38bfdfbbfb02b2d857f8f105c783014b1026b53e2e0fa13701de8bce7f345fb6,1888de8bf6d2c8ef1161d84505ebb0ac453551a36d569224950e0723e46b0b9a,purpose-and-position-in-the-analysis-chain | standardize-participant-questionnaire-and-diary-structures | keep-the-prepared-data-comparison-separate | add-site-and-daylight-context | preserve-time-of-day-and-actual-elapsed-time | combine-checked-data-without-choosing-a-hypothesis-sample | store-the-first-hypothesis-specific-inputs | describe-composition-before-hypothesis-fitting | limitations-carried-into-the-model-ready-inputs | technical-provenance-and-stored-artifact-handoff,18,
_build/nathealth/notebooks/preparation/07_example_days.html,Preparation 07: Inspect example days from each study site – Nature Health analysis and manuscript,1239,Site | Path,7,7,3,17,c91f021dbe5f58b418af37cef5498cd579f5a51d4f529d59b283ec09372b35a6,ca4ae5d704e78e400af723fa3d6c5bc921dbef5dfa453d1cef29bf37ad4e1338,6fd62eda68a8e153a53ed051c9d70c578eddf3916d28d3e932e035e3bf8ea371,purpose-and-position-in-the-preparation-chain | inputs-and-selection-requirements | selected-participant-days | how-to-read-the-one-minute-profiles | one-minute-profiles | technical-provenance-and-checks-on-the-current-stored-bundle,7,
