key,target,current_exists,preimage_sha256,source,source_sha256,proposed_action,scope,acceptance_check,owner,release_status
main_entry,_build/nathealth/index.html,True,9c1beea41a0b203b8a8b032eade2ba7e4ab5067857d39e296a8503231af46eec,audit/manuscript_nature_health/final_format_completion_2026_09_14/project/html_round2/ZaunerEtAl2026_NatHealth_phase3_brown.html,752ee27291e7970d28fc369c1ad3c396dc8894f483aa9864e65b9edea638df17,STATIC_TRANSPLANT_AND_SITE_UTILITY_PANEL,"Exact accepted main content, title/author metadata and custom display CSS; retain historical site shell/scripts; refresh TOC; append distinct download links",Raw reversal; accepted main and all display payloads preserved; shell exact outside approved slots; all links/IDREFs resolve,Coordinator-designated site integration owner,PROPOSED_ONLY_NOT_AUTHORIZED_OR_EXECUTED
supplement_entry,_build/nathealth/supplementary_information.html,True,4f80761abfa29148d50c4d9c60754c19625de6d0e8505b29530901ed3204e7cd,audit/manuscript_nature_health/final_format_completion_2026_09_14/project/html_round2/ZaunerEtAl2026_NatHealth_phase3_brown.html,752ee27291e7970d28fc369c1ad3c396dc8894f483aa9864e65b9edea638df17,STATIC_SUPPLEMENT_EXTRACTION_AND_RESOURCE_PANEL,Exact section#supplementary-information including 16 semantic tables; retain existing supplementary site shell; add 19 table links and exact position/old/new table,Exact SI content and display payloads; complete fragment closure; preserve utility/source distinction; desktop/narrow full-page QA,Coordinator-designated site integration owner,PROPOSED_ONLY_NOT_AUTHORIZED_OR_EXECUTED
word_download,_build/nathealth/ZaunerEtAl2026_NatHealth_phase3_brown.docx,True,74193a7a787ea18d70933b1742e588304a6bf6050c8b43e8a0a0cc352b44a2b8,PENDING_ORDER010C_FINAL_ACCEPTED_WORD,PENDING_ORDER010C,BYTE_EXACT_REPLACEMENT,"Only final independently accepted 010c Word, never current C/d6dd4180 or the historical 74193a7a download",Record final source path/full SHA/size and acceptance seal before staging; source and published download byte-identical,Coordinator-designated site integration owner,PROPOSED_ONLY_NOT_AUTHORIZED_OR_EXECUTED
search_index,_build/nathealth/search.json,True,befae8e98a491d85d89a06360f2c9ee850fa961a5576de179717da380bbdbbfc,,DERIVED_AFTER_RELEASE,STATIC_REINDEX_EXACT_37_READER_HTML_ROUTES,Preserve objectID/href/title/section/text/crumbs schema; regenerate records from the 37 exact staged reader HTML pages only because the old index contains stale anchors across many routes and non-reader entries; do not render or alter report pages,Unique objectIDs; all 37 readers represented; every href/fragment resolves; text derived only from accepted staged DOM; no non-reader/internal-workflow results or analytical execution,Coordinator-designated site integration owner,PROPOSED_ONLY_NOT_AUTHORIZED_OR_EXECUTED
editable_Table_1,_build/nathealth/editable_tables/Table_1.docx,False,,audit/manuscript_nature_health/final_format_completion_2026_09_14/editable_tables/Table_1.docx,5d09fe9d798c78295d5e8f783e0d73aaee81e1331f0527aa8e860f3bc2d70049,BYTE_EXACT_ADDITION,Accepted native one-table file only; do not export/render or copy absolute-path provenance metadata,19/19 hashes and download anchors; one link per requested native table,Coordinator-designated site integration owner,PROPOSED_ONLY_NOT_AUTHORIZED_OR_EXECUTED
editable_Table_2,_build/nathealth/editable_tables/Table_2.docx,False,,audit/manuscript_nature_health/final_format_completion_2026_09_14/editable_tables/Table_2.docx,75704e889145ad648f2532b3b539562c8ae840ee62f0ce864206120531b6e44f,BYTE_EXACT_ADDITION,Accepted native one-table file only; do not export/render or copy absolute-path provenance metadata,19/19 hashes and download anchors; one link per requested native table,Coordinator-designated site integration owner,PROPOSED_ONLY_NOT_AUTHORIZED_OR_EXECUTED
editable_Table_3,_build/nathealth/editable_tables/Table_3.docx,False,,audit/manuscript_nature_health/final_format_completion_2026_09_14/editable_tables/Table_3.docx,54a31ca2ebfc7c6030971312bd3aafb43f53f792e0de84aa514bdd53cab82bd3,BYTE_EXACT_ADDITION,Accepted native one-table file only; do not export/render or copy absolute-path provenance metadata,19/19 hashes and download anchors; one link per requested native table,Coordinator-designated site integration owner,PROPOSED_ONLY_NOT_AUTHORIZED_OR_EXECUTED
editable_Table_S1,_build/nathealth/editable_tables/Table_S1.docx,False,,audit/manuscript_nature_health/final_format_completion_2026_09_14/editable_tables/Table_S1.docx,9ece9a78981962ffb5a2e067e3937582484babe27d7afb050e953413de5ed24f,BYTE_EXACT_ADDITION,Accepted native one-table file only; do not export/render or copy absolute-path provenance metadata,19/19 hashes and download anchors; one link per requested native table,Coordinator-designated site integration owner,PROPOSED_ONLY_NOT_AUTHORIZED_OR_EXECUTED
editable_Table_S2,_build/nathealth/editable_tables/Table_S2.docx,False,,audit/manuscript_nature_health/final_format_completion_2026_09_14/editable_tables/Table_S2.docx,0c834387ff6462b737381d028f0482636c5e55ad0443234f1cb8c165dda75334,BYTE_EXACT_ADDITION,Accepted native one-table file only; do not export/render or copy absolute-path provenance metadata,19/19 hashes and download anchors; one link per requested native table,Coordinator-designated site integration owner,PROPOSED_ONLY_NOT_AUTHORIZED_OR_EXECUTED
editable_Table_S3,_build/nathealth/editable_tables/Table_S3.docx,False,,audit/manuscript_nature_health/final_format_completion_2026_09_14/editable_tables/Table_S3.docx,29d32faf828a660ff8179f95de219aef2d69a23c1a33870a20f19dfa6cb99e5d,BYTE_EXACT_ADDITION,Accepted native one-table file only; do not export/render or copy absolute-path provenance metadata,19/19 hashes and download anchors; one link per requested native table,Coordinator-designated site integration owner,PROPOSED_ONLY_NOT_AUTHORIZED_OR_EXECUTED
