path,sha256,bytes,executable_cell_openings,inline_r_tokens,include_directives
audit/manuscript_nature_health/final_review_production_2026_09_14/project/_extensions/kapsner/authors-block/_extension.yml,d9b2e74c18e5c6ef9c299e659d5340b6cdaedea89fcce3b8d78823489dbbc603,263,0,0,
audit/manuscript_nature_health/final_review_production_2026_09_14/project/_extensions/kapsner/authors-block/authors-block.lua,d0b0874a22eb4556690773ca04094bf467190d60a3f2267918dc8048aec329d6,2926,0,0,
audit/manuscript_nature_health/final_review_production_2026_09_14/project/_extensions/kapsner/authors-block/from_author_info_blocks.lua,0bb5577a23b9109fe555313ac087096c37af7142e617adf747ba47f930aa5d30,7564,0,0,
audit/manuscript_nature_health/final_review_production_2026_09_14/project/_extensions/kapsner/authors-block/from_scholarly_metadata.lua,84a3066380783b6794e6312f653d896ae6547011463af291bbcc7638ab2ad834,2246,0,0,
audit/manuscript_nature_health/final_review_production_2026_09_14/project/_extensions/kapsner/authors-block/utils.lua,75d6b7897e3c6aac79f2f6e04433084758340dac4701b2031fabed665262628f,1888,0,0,
audit/manuscript_nature_health/final_review_production_2026_09_14/project/manuscript/R0_NatHealth/ZaunerEtAl2026_NatHealth_phase3_brown.qmd,d33fe83296dac0b83dabffff30e5f21bb42143f40906615f94af4146329030eb,83688,0,0,display_assets/table1_participant_site.html  | ../../audit/manuscript_nature_health/table_layout_visual_corrections_2026_09_14/attempt_02/source/table2_primary_adherence.html  | display_assets/table3_metric_context.html  | supplementary_information_outline.qmd 
audit/manuscript_nature_health/final_review_production_2026_09_14/project/manuscript/R0_NatHealth/_quarto.yml,3ed50e7dc3339bd42fc19393f10480baf733f485a65f34c03980fe4d466c5cf0,561,0,0,
audit/manuscript_nature_health/final_review_production_2026_09_14/project/manuscript/R0_NatHealth/manuscript_displays.css,b713c1e44c8263fb1530e045df0376c9dd8b652265e8613236007e94d4d7aedf,5886,0,0,
audit/manuscript_nature_health/final_review_production_2026_09_14/project/manuscript/R0_NatHealth/supplementary_information_outline.qmd,7eaa706556703ce9e78b93d927aae1ca83865174a7be2dca0799689eb4efaec9,26762,0,0,../../audit/manuscript_nature_health/figure_table_selection_assets/tbl-plan-descriptive-sample-flow.html  | ../../audit/manuscript_nature_health/table_layout_visual_corrections_2026_09_14/attempt_02/source/supp_table_s2_complete.html  | display_assets/table_s3_recommendation_windows.html  | ../../audit/manuscript_nature_health/figure_table_selection_assets/tbl-plan-brown-cross-window-associations.html  | ../../audit/manuscript_nature_health/figure_table_selection_assets/remaining_gt_candidates/tbl-plan-h02-glasses-variation-shapley-gt-candidate.html  | ../../audit/manuscript_nature_health/figure_table_selection_assets/remaining_gt_candidates/tbl-plan-h02-chest-variation-shapley-gt-candidate.html  | ../../audit/manuscript_nature_health/table_layout_visual_corrections_2026_09_14/attempt_02/source/supp_table_s7_complete.html  | display_assets/table_s6_photoperiod_classification.html  | ../../audit/manuscript_nature_health/figure_table_selection_assets/tbl-h06-primary-effects.html  | display_assets/table_s8_person_level_synthesis.html  | display_assets/table_s9_light_behaviour_a.html  | display_assets/table_s9_light_behaviour_b.html  | display_assets/table_s10_visual_sensitivity.html  | display_assets/table_s11_chronotype.html  | display_assets/table_s12_age_sex.html  | ../../audit/manuscript_nature_health/figure_table_selection_assets/tbl-h11-global-tests.html 
audit/manuscript_nature_health/final_review_production_2026_09_14/project/manuscript/R0_NatHealth/supplementary_information_standalone.qmd,1cd02407b2881bb505f77206e8d7f66f8b1ddcca98054aa0ce094da75eb62298,611,0,0,supplementary_information_outline.qmd 
