source,historical_corpus_source_sha256,current_source_sha256,unchanged_since_prior_audit,classification,record,record_sha256_prior,record_sha256_now,record_unchanged,source_to_output_gap,integration_disposition
notebooks/descriptives.qmd,b631936d9e47c4988dd453ea22184090b076705e3716e8f037e1953e3309cd4c,c17fef3ca932fa8cf195f6ae6604e822e3b46235cefd6a081d4eef69b88546bc,True,UNRESOLVED_OLD_TO_LIVE_AUTHORITY,,,,True,Coordinator must supply or commission a bounded source-transition acceptance; do not regenerate from current source yet.,Retain accepted historical HTML as an explicitly artifact-backed report. This source gap is not silently cleared and grants no render or owner-dispatch authority.
notebooks/hypotheses/H01.qmd,9448eacc1345a2b0bf73c988be588308d191e42d90c49d68c7f92db36ba83eeb,4618b80ed84518d94b8e8fe8b80db1fc43d272c2781c5294b3cc48b019348d43,True,OLDER_ACCEPTANCE_DOES_NOT_PIN_LIVE_SOURCE,audit/report_harmonization/report018_h01_metric010_final_independent_acceptance.md,f15aec679dd53ecd66d6e096ea0486ff2b2015602caac81ca792a7fa65a64cb6,f15aec679dd53ecd66d6e096ea0486ff2b2015602caac81ca792a7fa65a64cb6,True,Resolve transition from accepted 5e0bcf31 to live 4618b80e and the earlier corpus baseline; do not equate an inventory pin with acceptance.,Retain accepted historical HTML as an explicitly artifact-backed report. This source gap is not silently cleared and grants no render or owner-dispatch authority.
audit/hypotheses/H01/H01_analysis_preparation.qmd,ed12b6232ef60905b648707240309e6574e627995d0436a19f671fdc033ecc5f,c6435a5f482df40c20f3d4d6e4f77d07f2a4f0bb3f1f2687efd2ebf92829e044,True,CURRENT_ENDPOINT_IN_INDEPENDENT_ACCEPTANCE,audit/report_harmonization/report018_h01_metric010_final_independent_acceptance_manifest.csv,c07a704c4531be2024021e7c142c30a591135dac7f82757f687620dce472328c,c07a704c4531be2024021e7c142c30a591135dac7f82757f687620dce472328c,True,"Source-only endpoint accepted, but current transitive input contracts and serial render permission still required.",Retain accepted historical HTML as an explicitly artifact-backed report. This source gap is not silently cleared and grants no render or owner-dispatch authority.
notebooks/hypotheses/H02.qmd,4f431eaba1fd449837186497dc988f95c30a9ece7ae83d57b2f0c377690f0f6d,b50b55eebb75f120928707821dc3b8e8d6f16905418c56d8d689744926ff3de8,True,UNRESOLVED_OLD_TO_LIVE_AUTHORITY,,,,True,Coordinator must supply or commission a bounded source-transition acceptance; do not regenerate from current source yet.,Retain accepted historical HTML as an explicitly artifact-backed report. This source gap is not silently cleared and grants no render or owner-dispatch authority.
notebooks/hypotheses/H03.qmd,45ea5a009efd3b451c392dfc23bef584c7b16e087bf4093780b051cfde42ae41,27c1fea54e5f32570613df80768d1fb5b668f3033aee90069820e951001c2513,True,UNRESOLVED_OLD_TO_LIVE_AUTHORITY,,,,True,Coordinator must supply or commission a bounded source-transition acceptance; do not regenerate from current source yet.,Retain accepted historical HTML as an explicitly artifact-backed report. This source gap is not silently cleared and grants no render or owner-dispatch authority.
notebooks/hypotheses/H04.qmd,f8adb6d78be041ce296dd7e89eb92769b128631c1b4227ce5d8ab3d526daf1d5,243896d4c22f68d23027f77f3721882e0a3d55274e67014e75d6ff55e2e243af,True,OWNER_SOURCE_ONLY_ACCEPTANCE_EXACT_ENDPOINT,audit/handoffs/H04_worker_handoff.md,68d1ca49ea29dad3f237a532aa0c9c1c5c33250fdd46b1b9b2795d0dccac730a,68d1ca49ea29dad3f237a532aa0c9c1c5c33250fdd46b1b9b2795d0dccac730a,True,Coordinator reconciliation of owner acceptance and complete corpus-baseline bridge; no render release inferred.,Retain accepted historical HTML as an explicitly artifact-backed report. This source gap is not silently cleared and grants no render or owner-dispatch authority.
audit/hypotheses/H04/H04_analysis_preparation.qmd,efdb5be8dc194695f40c50249fab14905ec337bc63079ae589557de860188474,5b6255184ab1988f2b89dfc363e1eb7d010d6f85436c7ff32754289af6e6de48,True,OWNER_SOURCE_ONLY_ACCEPTANCE_EXACT_ENDPOINT,audit/handoffs/H04_worker_handoff.md,68d1ca49ea29dad3f237a532aa0c9c1c5c33250fdd46b1b9b2795d0dccac730a,68d1ca49ea29dad3f237a532aa0c9c1c5c33250fdd46b1b9b2795d0dccac730a,True,Coordinator reconciliation of owner acceptance and complete corpus-baseline bridge; no render release inferred.,Retain accepted historical HTML as an explicitly artifact-backed report. This source gap is not silently cleared and grants no render or owner-dispatch authority.
notebooks/hypotheses/H05.qmd,7c20e16629729de433d1ab400038e9d32c73aeb25c95ecd44d581b876755d5e0,f748873f5f68198665fc3cb3d7047f586c619408f86e5e22bd9814593f9f2780,True,UNRESOLVED_OLD_TO_LIVE_AUTHORITY,,,,True,Coordinator must supply or commission a bounded source-transition acceptance; do not regenerate from current source yet.,Retain accepted historical HTML as an explicitly artifact-backed report. This source gap is not silently cleared and grants no render or owner-dispatch authority.
notebooks/hypotheses/H06.qmd,d65c197cb37db32101d8a43fcdc80198ab599a95cb73259abd187c9b2b58d350,5f8ec988d680e1a3e3dbf2410f0d4e6a49ded80a9990b3a09661aebdc98cbd4e,True,INDEPENDENT_SOURCE_ONLY_ACCEPTANCE_EXACT_ENDPOINT,audit/report_harmonization/report018_h06_employment_eligibility_reader_source_independent_acceptance.md,4be7904fc641bd25d9937ee4d1da4fe6697c9c7086e128920d4abfbe8bcba57e,4be7904fc641bd25d9937ee4d1da4fe6697c9c7086e128920d4abfbe8bcba57e,True,Reconcile older corpus-to-013496ae bridge and obtain separately sealed serial report-only execution allowance.,Retain accepted historical HTML as an explicitly artifact-backed report. This source gap is not silently cleared and grants no render or owner-dispatch authority.
audit/hypotheses/H06/H06_analysis_preparation.qmd,f952d5ec72066ee86fded4888aaa815bdf763c11f466806ebc7391c79e22918b,5b128499a1f1a9312089ec47dfd1ba30cebb2a31059608659c0aa464753abfa0,True,INDEPENDENT_SOURCE_ONLY_ACCEPTANCE_EXACT_ENDPOINT,audit/report_harmonization/report018_h06_employment_eligibility_reader_source_independent_acceptance.md,4be7904fc641bd25d9937ee4d1da4fe6697c9c7086e128920d4abfbe8bcba57e,4be7904fc641bd25d9937ee4d1da4fe6697c9c7086e128920d4abfbe8bcba57e,True,Companion remains held until independently accepted result render; no new execution allowance.,Retain accepted historical HTML as an explicitly artifact-backed report. This source gap is not silently cleared and grants no render or owner-dispatch authority.
