path,component,index,serialized_bytes,dom_sha256,note
_build/nathealth/index.html,main,0,28970578,bb6885e4880e6cc48fd7cbca9e2dea2ea14110814c9199af6975bd126a3019a8,"Structural DOM digest, not a raw byte-boundary extraction or visual acceptance"
_build/nathealth/index.html,toc,0,8535,a1150fe191a7b80ecea5cfbd88763880833133d4331f683f425cabce27792c03,"Structural DOM digest, not a raw byte-boundary extraction or visual acceptance"
_build/nathealth/index.html,header,0,11206,170446ea2c7e724e0844ab0c9843bfd6afc8d8f37004d335ab9988d33a7e3174,"Structural DOM digest, not a raw byte-boundary extraction or visual acceptance"
_build/nathealth/index.html,footer,0,448,0f031bbc3538732b3f2443c9d03fff1e53379b125c40b2fbbca64697effe5c43,"Structural DOM digest, not a raw byte-boundary extraction or visual acceptance"
_build/nathealth/index.html,page_navigation,0,378,f67fe926e6c7d6667fa0532bfb9e9a0b9cc741d61fb164021de4ec2119f45169,"Structural DOM digest, not a raw byte-boundary extraction or visual acceptance"
_build/nathealth/index.html,custom_style,0,3753,5d5296454d7b9dc13cdaf5a19c0f9a6cd582e0a77bf14d3b882acd443ae0d39b,"Structural DOM digest, not a raw byte-boundary extraction or visual acceptance"
_build/nathealth/supplementary_information.html,main,0,3159,ec9d50fa1e7cc82e2732aeb7c47ba1f18dcf987989e113f5ee7e66be0730a0dc,"Structural DOM digest, not a raw byte-boundary extraction or visual acceptance"
_build/nathealth/supplementary_information.html,toc,0,2827,97f77e784f8cf0bc618c84bfbe0505968465b396e9d4f69321712e35c902c82a,"Structural DOM digest, not a raw byte-boundary extraction or visual acceptance"
_build/nathealth/supplementary_information.html,header,0,11179,46b0e186c82216405f4af25ce7f38b5bb921ef5675cf796000a91f3ba016ba7a,"Structural DOM digest, not a raw byte-boundary extraction or visual acceptance"
_build/nathealth/supplementary_information.html,footer,0,468,d2b6a5c387c55f85ff2ee21bff3d0c31f9b4d9f754f301381497b120a0630c5e,"Structural DOM digest, not a raw byte-boundary extraction or visual acceptance"
_build/nathealth/supplementary_information.html,page_navigation,0,603,2cf0b50e53fb7bdb80697d732902da952881ed2d7794d03c1f83f0c1c69d0a68,"Structural DOM digest, not a raw byte-boundary extraction or visual acceptance"
audit/manuscript_nature_health/final_format_completion_2026_09_14/project/html_round2/ZaunerEtAl2026_NatHealth_phase3_brown.html,main,0,25313502,ba73a93a31cb33b7e84ce2660424766cf13331afeefbfdc7238bad975a1ab96d,"Structural DOM digest, not a raw byte-boundary extraction or visual acceptance"
audit/manuscript_nature_health/final_format_completion_2026_09_14/project/html_round2/ZaunerEtAl2026_NatHealth_phase3_brown.html,toc,0,8422,0ea56116c504dffe1846eddd145d2a896a28ad43a2a2a27b73974d071aa58f0c,"Structural DOM digest, not a raw byte-boundary extraction or visual acceptance"
audit/manuscript_nature_health/final_format_completion_2026_09_14/project/html_round2/ZaunerEtAl2026_NatHealth_phase3_brown.html,custom_style,0,5096,cfef8b046ceda72eacfb31f66c7bbe31ba63dd3e7df24013ac5ad61549700a92,"Structural DOM digest, not a raw byte-boundary extraction or visual acceptance"
