owner,reference,kind,target,fragment,status,fragment_exists
_build/nathealth/index.html,site_libs/quarto-nav/quarto-nav.js,script@src,_build/nathealth/site_libs/quarto-nav/quarto-nav.js,,EXISTS,
_build/nathealth/index.html,site_libs/quarto-nav/headroom.min.js,script@src,_build/nathealth/site_libs/quarto-nav/headroom.min.js,,EXISTS,
_build/nathealth/index.html,site_libs/clipboard/clipboard.min.js,script@src,_build/nathealth/site_libs/clipboard/clipboard.min.js,,EXISTS,
_build/nathealth/index.html,site_libs/quarto-search/autocomplete.umd.js,script@src,_build/nathealth/site_libs/quarto-search/autocomplete.umd.js,,EXISTS,
_build/nathealth/index.html,site_libs/quarto-search/fuse.min.js,script@src,_build/nathealth/site_libs/quarto-search/fuse.min.js,,EXISTS,
_build/nathealth/index.html,site_libs/quarto-search/quarto-search.js,script@src,_build/nathealth/site_libs/quarto-search/quarto-search.js,,EXISTS,
_build/nathealth/index.html,./supplementary_information.html,link@href,_build/nathealth/supplementary_information.html,,EXISTS,
_build/nathealth/index.html,site_libs/quarto-html/quarto.js,script@src,_build/nathealth/site_libs/quarto-html/quarto.js,,EXISTS,
_build/nathealth/index.html,site_libs/quarto-html/tabsets/tabsets.js,script@src,_build/nathealth/site_libs/quarto-html/tabsets/tabsets.js,,EXISTS,
_build/nathealth/index.html,site_libs/quarto-html/popper.min.js,script@src,_build/nathealth/site_libs/quarto-html/popper.min.js,,EXISTS,
_build/nathealth/index.html,site_libs/quarto-html/tippy.umd.min.js,script@src,_build/nathealth/site_libs/quarto-html/tippy.umd.min.js,,EXISTS,
_build/nathealth/index.html,site_libs/quarto-html/anchor.min.js,script@src,_build/nathealth/site_libs/quarto-html/anchor.min.js,,EXISTS,
_build/nathealth/index.html,site_libs/quarto-html/tippy.css,link@href,_build/nathealth/site_libs/quarto-html/tippy.css,,EXISTS,
_build/nathealth/index.html,site_libs/quarto-html/quarto-syntax-highlighting-7f8f88aac4f3542376d5c11b86a4c14d.css,link@href,_build/nathealth/site_libs/quarto-html/quarto-syntax-highlighting-7f8f88aac4f3542376d5c11b86a4c14d.css,,EXISTS,
_build/nathealth/index.html,site_libs/bootstrap/bootstrap.min.js,script@src,_build/nathealth/site_libs/bootstrap/bootstrap.min.js,,EXISTS,
_build/nathealth/index.html,site_libs/bootstrap/bootstrap-icons.css,link@href,_build/nathealth/site_libs/bootstrap/bootstrap-icons.css,,EXISTS,
_build/nathealth/index.html,site_libs/bootstrap/bootstrap-972c31c23100bce3c5dc8576c7cea842.min.css,link@href,_build/nathealth/site_libs/bootstrap/bootstrap-972c31c23100bce3c5dc8576c7cea842.min.css,,EXISTS,
