objectID,href,page_exists,fragment_exists,affected_entrypoint
notebooks/hypotheses/H02.html,notebooks/hypotheses/H02.html,True,True,False
notebooks/hypotheses/H02.html#question,notebooks/hypotheses/H02.html#question,True,True,False
notebooks/hypotheses/H02.html#what-was-analysed,notebooks/hypotheses/H02.html#what-was-analysed,True,True,False
notebooks/hypotheses/H02.html#model,notebooks/hypotheses/H02.html#model,True,True,False
notebooks/hypotheses/H02.html#primary-near-eye-result,notebooks/hypotheses/H02.html#primary-near-eye-result,True,True,False
notebooks/hypotheses/H02.html#complementary-chest-result,notebooks/hypotheses/H02.html#complementary-chest-result,True,True,False
notebooks/hypotheses/H02.html#sensitivity-to-other-analytical-choices,notebooks/hypotheses/H02.html#sensitivity-to-other-analytical-choices,True,True,False
notebooks/hypotheses/H02.html#interpretation,notebooks/hypotheses/H02.html#interpretation,True,True,False
audit/hypotheses/H02/H02_analysis_preparation.html,audit/hypotheses/H02/H02_analysis_preparation.html,True,True,False
audit/hypotheses/H02/H02_analysis_preparation.html#purpose,audit/hypotheses/H02/H02_analysis_preparation.html#purpose,True,False,False
audit/hypotheses/H02/H02_analysis_preparation.html#analysis-map,audit/hypotheses/H02/H02_analysis_preparation.html#analysis-map,True,True,False
audit/hypotheses/H02/H02_analysis_preparation.html#execution-boundary,audit/hypotheses/H02/H02_analysis_preparation.html#execution-boundary,True,False,False
audit/hypotheses/H02/H02_analysis_preparation.html#approved-starting-point,audit/hypotheses/H02/H02_analysis_preparation.html#approved-starting-point,True,False,False
audit/hypotheses/H02/H02_analysis_preparation.html#h02-specific-model-frames,audit/hypotheses/H02/H02_analysis_preparation.html#h02-specific-model-frames,True,False,False
audit/hypotheses/H02/H02_analysis_preparation.html#model-construction,audit/hypotheses/H02/H02_analysis_preparation.html#model-construction,True,False,False
audit/hypotheses/H02/H02_analysis_preparation.html#ordering-and-residual-dependence,audit/hypotheses/H02/H02_analysis_preparation.html#ordering-and-residual-dependence,True,True,False
audit/hypotheses/H02/H02_analysis_preparation.html#from-fitted-models-to-reported-quantities,audit/hypotheses/H02/H02_analysis_preparation.html#from-fitted-models-to-reported-quantities,True,True,False
audit/hypotheses/H02/H02_analysis_preparation.html#diagnostics-and-influence,audit/hypotheses/H02/H02_analysis_preparation.html#diagnostics-and-influence,True,False,False
audit/hypotheses/H02/H02_analysis_preparation.html#sensitivity-branches,audit/hypotheses/H02/H02_analysis_preparation.html#sensitivity-branches,True,False,False
audit/hypotheses/H02/H02_analysis_preparation.html#code-map-and-execution-order,audit/hypotheses/H02/H02_analysis_preparation.html#code-map-and-execution-order,True,False,False
audit/hypotheses/H02/H02_analysis_preparation.html#artifact-and-manifest-provenance,audit/hypotheses/H02/H02_analysis_preparation.html#artifact-and-manifest-provenance,True,False,False
audit/hypotheses/H02/H02_analysis_preparation.html#how-to-audit-or-extend-h02,audit/hypotheses/H02/H02_analysis_preparation.html#how-to-audit-or-extend-h02,True,False,False
audit/hypotheses/H02/H02_analysis_preparation.html#environment,audit/hypotheses/H02/H02_analysis_preparation.html#environment,True,True,False
audit/hypotheses/H03-H11_gated_workflow.html,audit/hypotheses/H03-H11_gated_workflow.html,True,True,False
audit/hypotheses/H03-H11_gated_workflow.html#scope,audit/hypotheses/H03-H11_gated_workflow.html#scope,True,True,False
audit/hypotheses/H03-H11_gated_workflow.html#terms-used-in-the-audit-reports,audit/hypotheses/H03-H11_gated_workflow.html#terms-used-in-the-audit-reports,True,True,False
audit/hypotheses/H03-H11_gated_workflow.html#file-layout-and-gate-ownership,audit/hypotheses/H03-H11_gated_workflow.html#file-layout-and-gate-ownership,True,True,False
audit/hypotheses/H03-H11_gated_workflow.html#stage-1-audit-and-proposed-analysis,audit/hypotheses/H03-H11_gated_workflow.html#stage-1-audit-and-proposed-analysis,True,True,False
audit/hypotheses/H03-H11_gated_workflow.html#stage-2-implementation-and-comparison-with-v0,audit/hypotheses/H03-H11_gated_workflow.html#stage-2-implementation-and-comparison-with-v0,True,True,False
audit/hypotheses/H03-H11_gated_workflow.html#optional-stage-3-production-bootstrap-or-simulation,audit/hypotheses/H03-H11_gated_workflow.html#optional-stage-3-production-bootstrap-or-simulation,True,False,False
audit/hypotheses/H03-H11_gated_workflow.html#final-stage-reader-facing-hypothesis-report,audit/hypotheses/H03-H11_gated_workflow.html#final-stage-reader-facing-hypothesis-report,True,False,False
audit/hypotheses/H03-H11_gated_workflow.html#final-preparation-and-provenance-companion,audit/hypotheses/H03-H11_gated_workflow.html#final-preparation-and-provenance-companion,True,False,False
audit/hypotheses/H03-H11_gated_workflow.html#reopening-rules,audit/hypotheses/H03-H11_gated_workflow.html#reopening-rules,True,True,False
audit/hypotheses/H02/H02_analysis_preparation.html#what-is-calculated-when-this-page-opens,audit/hypotheses/H02/H02_analysis_preparation.html#what-is-calculated-when-this-page-opens,True,False,False
audit/hypotheses/H02/H02_analysis_preparation.html#data-entering-the-analysis,audit/hypotheses/H02/H02_analysis_preparation.html#data-entering-the-analysis,True,True,False
audit/hypotheses/H02/H02_analysis_preparation.html#output-provenance-and-file-identities,audit/hypotheses/H02/H02_analysis_preparation.html#output-provenance-and-file-identities,True,False,False
audit/hypotheses/H02/H02_analysis_preparation.html#how-to-examine-or-reproduce-h02,audit/hypotheses/H02/H02_analysis_preparation.html#how-to-examine-or-reproduce-h02,True,True,False
audit/hypotheses/H03-H11_gated_workflow.html#scientific-analysis-preparation-and-provenance-companion,audit/hypotheses/H03-H11_gated_workflow.html#scientific-analysis-preparation-and-provenance-companion,True,False,False
audit/hypotheses/H03-H11_gated_workflow.html#optional-production-computation-gate-between-stages-2-and-3,audit/hypotheses/H03-H11_gated_workflow.html#optional-production-computation-gate-between-stages-2-and-3,True,True,False
audit/hypotheses/H03-H11_gated_workflow.html#stage-3-standalone-reader-facing-hypothesis-report,audit/hypotheses/H03-H11_gated_workflow.html#stage-3-standalone-reader-facing-hypothesis-report,True,True,False
audit/hypotheses/H03-H11_gated_workflow.html#stage-4-scientific-description-and-provenance-of-the-result-producing-pipeline,audit/hypotheses/H03-H11_gated_workflow.html#stage-4-scientific-description-and-provenance-of-the-result-producing-pipeline,True,True,False
notebooks/hypotheses/H05.html,notebooks/hypotheses/H05.html,True,True,False
notebooks/hypotheses/H05.html#question,notebooks/hypotheses/H05.html#question,True,True,False
notebooks/hypotheses/H05.html#what-was-analysed,notebooks/hypotheses/H05.html#what-was-analysed,True,False,False
notebooks/hypotheses/H05.html#models,notebooks/hypotheses/H05.html#models,True,False,False
notebooks/hypotheses/H05.html#primary-near-eye-result,notebooks/hypotheses/H05.html#primary-near-eye-result,True,True,False
notebooks/hypotheses/H05.html#complementary-chest-result,notebooks/hypotheses/H05.html#complementary-chest-result,True,False,False
notebooks/hypotheses/H05.html#sensitivity-analyses,notebooks/hypotheses/H05.html#sensitivity-analyses,True,True,False
notebooks/hypotheses/H05.html#interpretation,notebooks/hypotheses/H05.html#interpretation,True,False,False
audit/hypotheses/implementation_result_comparison_contract.html,audit/hypotheses/implementation_result_comparison_contract.html,True,True,False
audit/hypotheses/implementation_result_comparison_contract.html#purpose,audit/hypotheses/implementation_result_comparison_contract.html#purpose,True,True,False
audit/hypotheses/implementation_result_comparison_contract.html#site-names-order-and-colours,audit/hypotheses/implementation_result_comparison_contract.html#site-names-order-and-colours,True,True,False
audit/hypotheses/implementation_result_comparison_contract.html#required-comparison-content,audit/hypotheses/implementation_result_comparison_contract.html#required-comparison-content,True,True,False
audit/hypotheses/implementation_result_comparison_contract.html#files-used-to-record-the-comparisons,audit/hypotheses/implementation_result_comparison_contract.html#files-used-to-record-the-comparisons,True,True,False
audit/hypotheses/implementation_result_comparison_contract.html#method-comparison,audit/hypotheses/implementation_result_comparison_contract.html#method-comparison,True,True,False
audit/hypotheses/implementation_result_comparison_contract.html#result-comparison,audit/hypotheses/implementation_result_comparison_contract.html#result-comparison,True,True,False
audit/hypotheses/implementation_result_comparison_contract.html#preregistration-section,audit/hypotheses/implementation_result_comparison_contract.html#preregistration-section,True,True,False
audit/hypotheses/implementation_result_comparison_contract.html#when-author-approval-is-needed,audit/hypotheses/implementation_result_comparison_contract.html#when-author-approval-is-needed,True,True,False
notebooks/hypotheses/H02.html#direct-comparison-of-near-eye-and-chest-patterns,notebooks/hypotheses/H02.html#direct-comparison-of-near-eye-and-chest-patterns,True,True,False
audit/hypotheses/H05/H05_analysis_preparation.html,audit/hypotheses/H05/H05_analysis_preparation.html,True,True,False
audit/hypotheses/H05/H05_analysis_preparation.html#purpose,audit/hypotheses/H05/H05_analysis_preparation.html#purpose,True,False,False
audit/hypotheses/H05/H05_analysis_preparation.html#analysis-map,audit/hypotheses/H05/H05_analysis_preparation.html#analysis-map,True,True,False
audit/hypotheses/H05/H05_analysis_preparation.html#what-is-calculated-when-this-page-opens,audit/hypotheses/H05/H05_analysis_preparation.html#what-is-calculated-when-this-page-opens,True,True,False
audit/hypotheses/H05/H05_analysis_preparation.html#verified-inputs,audit/hypotheses/H05/H05_analysis_preparation.html#verified-inputs,True,False,False
audit/hypotheses/H05/H05_analysis_preparation.html#questionnaire-predictors,audit/hypotheses/H05/H05_analysis_preparation.html#questionnaire-predictors,True,False,False
audit/hypotheses/H05/H05_analysis_preparation.html#metric-construction-and-analytical-samples,audit/hypotheses/H05/H05_analysis_preparation.html#metric-construction-and-analytical-samples,True,True,False
audit/hypotheses/H05/H05_analysis_preparation.html#model-construction-and-inference,audit/hypotheses/H05/H05_analysis_preparation.html#model-construction-and-inference,True,False,False
audit/hypotheses/H05/H05_analysis_preparation.html#diagnostics-and-influence,audit/hypotheses/H05/H05_analysis_preparation.html#diagnostics-and-influence,True,False,False
audit/hypotheses/H05/H05_analysis_preparation.html#sensitivity-analyses,audit/hypotheses/H05/H05_analysis_preparation.html#sensitivity-analyses,True,True,False
audit/hypotheses/H05/H05_analysis_preparation.html#code-map-and-execution-order,audit/hypotheses/H05/H05_analysis_preparation.html#code-map-and-execution-order,True,True,False
audit/hypotheses/H05/H05_analysis_preparation.html#output-and-claim-provenance,audit/hypotheses/H05/H05_analysis_preparation.html#output-and-claim-provenance,True,True,False
audit/hypotheses/H05/H05_analysis_preparation.html#how-to-examine-or-reproduce-h05,audit/hypotheses/H05/H05_analysis_preparation.html#how-to-examine-or-reproduce-h05,True,True,False
audit/hypotheses/H05/H05_analysis_preparation.html#environment,audit/hypotheses/H05/H05_analysis_preparation.html#environment,True,True,False
notebooks/preparation/06_model_ready_datasets.html,notebooks/preparation/06_model_ready_datasets.html,True,True,False
notebooks/preparation/06_model_ready_datasets.html#purpose-and-position-in-the-analysis-chain,notebooks/preparation/06_model_ready_datasets.html#purpose-and-position-in-the-analysis-chain,True,True,False
notebooks/preparation/06_model_ready_datasets.html#standardize-participant-questionnaire-and-diary-structures,notebooks/preparation/06_model_ready_datasets.html#standardize-participant-questionnaire-and-diary-structures,True,True,False
notebooks/preparation/06_model_ready_datasets.html#keep-the-prepared-data-comparison-separate,notebooks/preparation/06_model_ready_datasets.html#keep-the-prepared-data-comparison-separate,True,True,False
notebooks/preparation/06_model_ready_datasets.html#add-site-and-daylight-context,notebooks/preparation/06_model_ready_datasets.html#add-site-and-daylight-context,True,True,False
notebooks/preparation/06_model_ready_datasets.html#preserve-time-of-day-and-actual-elapsed-time,notebooks/preparation/06_model_ready_datasets.html#preserve-time-of-day-and-actual-elapsed-time,True,True,False
notebooks/preparation/06_model_ready_datasets.html#combine-checked-data-without-choosing-a-hypothesis-sample,notebooks/preparation/06_model_ready_datasets.html#combine-checked-data-without-choosing-a-hypothesis-sample,True,True,False
notebooks/preparation/06_model_ready_datasets.html#store-the-first-hypothesis-specific-inputs,notebooks/preparation/06_model_ready_datasets.html#store-the-first-hypothesis-specific-inputs,True,True,False
notebooks/preparation/06_model_ready_datasets.html#describe-composition-before-hypothesis-fitting,notebooks/preparation/06_model_ready_datasets.html#describe-composition-before-hypothesis-fitting,True,True,False
notebooks/preparation/06_model_ready_datasets.html#verify-provenance-and-hand-off-stored-artifacts,notebooks/preparation/06_model_ready_datasets.html#verify-provenance-and-hand-off-stored-artifacts,True,False,False
notebooks/descriptives.html,notebooks/descriptives.html,True,True,False
notebooks/descriptives.html#scope-and-result,notebooks/descriptives.html#scope-and-result,True,False,False
notebooks/descriptives.html#updated-sample,notebooks/descriptives.html#updated-sample,True,False,False
notebooks/descriptives.html#table-1-participant-and-site-characteristics,notebooks/descriptives.html#table-1-participant-and-site-characteristics,True,True,False
notebooks/descriptives.html#table-2-metric-distributions,notebooks/descriptives.html#table-2-metric-distributions,True,True,False
notebooks/descriptives.html#figure-1-study-overview,notebooks/descriptives.html#figure-1-study-overview,True,True,False
notebooks/descriptives.html#figure-2-site-specific-profiles,notebooks/descriptives.html#figure-2-site-specific-profiles,True,True,False
notebooks/descriptives.html#figure-3-reader-facing-metric-distributions,notebooks/descriptives.html#figure-3-reader-facing-metric-distributions,True,False,False
notebooks/descriptives.html#figure-4-from-time-series-to-a-daily-metric,notebooks/descriptives.html#figure-4-from-time-series-to-a-daily-metric,True,True,False
notebooks/descriptives.html#figure-5-latitude-and-observed-photoperiod,notebooks/descriptives.html#figure-5-latitude-and-observed-photoperiod,True,True,False
notebooks/descriptives.html#light-exposure-in-recommendation-contexts,notebooks/descriptives.html#light-exposure-in-recommendation-contexts,True,True,False
notebooks/descriptives.html#exact-comparison-with-the-earlier-render,notebooks/descriptives.html#exact-comparison-with-the-earlier-render,True,False,False
notebooks/descriptives.html#reproducibility-and-output-contract,notebooks/descriptives.html#reproducibility-and-output-contract,True,False,False
notebooks/hypotheses/H01.html,notebooks/hypotheses/H01.html,True,True,False
notebooks/hypotheses/H01.html#hypothesis-and-analytical-question,notebooks/hypotheses/H01.html#hypothesis-and-analytical-question,True,True,False
notebooks/hypotheses/H01.html#what-was-analysed,notebooks/hypotheses/H01.html#what-was-analysed,True,True,False
notebooks/hypotheses/H01.html#statistical-models,notebooks/hypotheses/H01.html#statistical-models,True,True,False
notebooks/hypotheses/H01.html#results-in-brief,notebooks/hypotheses/H01.html#results-in-brief,True,False,False
notebooks/hypotheses/H01.html#primary-near-eye-results,notebooks/hypotheses/H01.html#primary-near-eye-results,True,True,False
notebooks/hypotheses/H01.html#complementary-chest-results,notebooks/hypotheses/H01.html#complementary-chest-results,True,True,False
notebooks/hypotheses/H01.html#photoperiod-and-latitude-coverage,notebooks/hypotheses/H01.html#photoperiod-and-latitude-coverage,True,False,False
notebooks/hypotheses/H01.html#exact-fitted-samples,notebooks/hypotheses/H01.html#exact-fitted-samples,True,True,False
notebooks/hypotheses/H01.html#model-diagnostics,notebooks/hypotheses/H01.html#model-diagnostics,True,False,False
notebooks/hypotheses/H01.html#sensitivity-analyses,notebooks/hypotheses/H01.html#sensitivity-analyses,True,True,False
notebooks/hypotheses/H01.html#interpretation,notebooks/hypotheses/H01.html#interpretation,True,True,False
notebooks/hypotheses/H01.html#limitations,notebooks/hypotheses/H01.html#limitations,True,True,False
notebooks/hypotheses/H01.html#figure-and-table-source-data,notebooks/hypotheses/H01.html#figure-and-table-source-data,True,False,False
notebooks/preparation/01_import_state_alignment.html,notebooks/preparation/01_import_state_alignment.html,True,True,False
notebooks/preparation/01_import_state_alignment.html#purpose-and-position-in-the-analysis-chain,notebooks/preparation/01_import_state_alignment.html#purpose-and-position-in-the-analysis-chain,True,True,False
notebooks/preparation/01_import_state_alignment.html#establish-the-exact-source-files,notebooks/preparation/01_import_state_alignment.html#establish-the-exact-source-files,True,True,False
notebooks/preparation/01_import_state_alignment.html#preserve-actual-time-and-local-clock-time,notebooks/preparation/01_import_state_alignment.html#preserve-actual-time-and-local-clock-time,True,True,False
notebooks/preparation/01_import_state_alignment.html#prepare-sleep-and-wear-periods,notebooks/preparation/01_import_state_alignment.html#prepare-sleep-and-wear-periods,True,True,False
notebooks/preparation/01_import_state_alignment.html#align-measurement-context-without-losing-rows,notebooks/preparation/01_import_state_alignment.html#align-measurement-context-without-losing-rows,True,True,False
notebooks/preparation/01_import_state_alignment.html#apply-the-meledi-operating-limit,notebooks/preparation/01_import_state_alignment.html#apply-the-meledi-operating-limit,True,True,False
notebooks/preparation/01_import_state_alignment.html#stored-sample-after-import-and-alignment,notebooks/preparation/01_import_state_alignment.html#stored-sample-after-import-and-alignment,True,True,False
notebooks/preparation/01_import_state_alignment.html#checks-that-had-to-pass,notebooks/preparation/01_import_state_alignment.html#checks-that-had-to-pass,True,True,False
notebooks/preparation/01_import_state_alignment.html#production-scripts-and-why-the-operations-are-separate,notebooks/preparation/01_import_state_alignment.html#production-scripts-and-why-the-operations-are-separate,True,True,False
notebooks/preparation/01_import_state_alignment.html#exact-artifacts-passed-to-preparation-02,notebooks/preparation/01_import_state_alignment.html#exact-artifacts-passed-to-preparation-02,True,True,False
notebooks/preparation/01_import_state_alignment.html#render-environment,notebooks/preparation/01_import_state_alignment.html#render-environment,True,True,False
notebooks/preparation/02_coverage_sample_flow.html,notebooks/preparation/02_coverage_sample_flow.html,True,True,False
notebooks/preparation/02_coverage_sample_flow.html#purpose-and-position-in-the-analysis-chain,notebooks/preparation/02_coverage_sample_flow.html#purpose-and-position-in-the-analysis-chain,True,True,False
notebooks/preparation/02_coverage_sample_flow.html#the-decisions-applied,notebooks/preparation/02_coverage_sample_flow.html#the-decisions-applied,True,True,False
notebooks/preparation/02_coverage_sample_flow.html#overall-input-and-retained-coverage,notebooks/preparation/02_coverage_sample_flow.html#overall-input-and-retained-coverage,True,True,False
notebooks/preparation/02_coverage_sample_flow.html#coverage-by-site,notebooks/preparation/02_coverage_sample_flow.html#coverage-by-site,True,True,False
notebooks/preparation/02_coverage_sample_flow.html#why-measurements-were-unavailable,notebooks/preparation/02_coverage_sample_flow.html#why-measurements-were-unavailable,True,True,False
notebooks/preparation/02_coverage_sample_flow.html#sample-flow-through-each-branch,notebooks/preparation/02_coverage_sample_flow.html#sample-flow-through-each-branch,True,True,False
notebooks/preparation/02_coverage_sample_flow.html#checks-that-passed,notebooks/preparation/02_coverage_sample_flow.html#checks-that-passed,True,True,False
notebooks/preparation/02_coverage_sample_flow.html#production-scripts-and-execution-order,notebooks/preparation/02_coverage_sample_flow.html#production-scripts-and-execution-order,True,True,False
notebooks/preparation/02_coverage_sample_flow.html#exact-artifacts-passed-forward,notebooks/preparation/02_coverage_sample_flow.html#exact-artifacts-passed-forward,True,True,False
notebooks/preparation/02_coverage_sample_flow.html#render-environment,notebooks/preparation/02_coverage_sample_flow.html#render-environment,True,True,False
notebooks/hypotheses/H01.html#results-overview,notebooks/hypotheses/H01.html#results-overview,True,True,False
notebooks/preparation/03_reference_profiles.html,notebooks/preparation/03_reference_profiles.html,True,True,False
notebooks/preparation/03_reference_profiles.html#purpose-and-position-in-the-preparation-chain,notebooks/preparation/03_reference_profiles.html#purpose-and-position-in-the-preparation-chain,True,True,False
notebooks/preparation/03_reference_profiles.html#what-the-production-step-did,notebooks/preparation/03_reference_profiles.html#what-the-production-step-did,True,False,False
