path,pre_sha256,pre_bytes,current_sha256,current_bytes,classification
notebooks/hypotheses/H01.qmd,31c477fae21e0506521d27147cd3f1ea33941dac4c0a6e3a6d485f5acbc129a6,90640,9448eacc1345a2b0bf73c988be588308d191e42d90c49d68c7f92db36ba83eeb,93260,assembled_authorized_source_pending_verification
audit/hypotheses/H01/H01_analysis_preparation.qmd,962b28663d115c2da216e313f6eff22afb8ed2198d4441d7b0864d207ec231a8,54405,ed12b6232ef60905b648707240309e6574e627995d0436a19f671fdc033ecc5f,55827,assembled_authorized_source_pending_verification
tests/hypotheses/H01/test_h01_reporting_inputs.R,ab648ac80bc1c8a149a11bb958fd683b38722487c53179b42b215a2b000e6fd5,21025,48f374cc70b69a6d96a95dc425ffd9676b2e83133a5554ae1c19eda939c0c8af,23014,assembled_authorized_test_not_run
tests/hypotheses/H01/test_h01_preparation_report.R,12b04008e60cab737780947308042634ee06643dddc450502754fade11228bea,4962,379414830e5bcd656ac460c2ad93616ecbcab104259c56a8fcf9296da8c0f2c4,10993,assembled_authorized_test_not_run
tests/hypotheses/H01/test_h01_report016_deviation_reconciliation.R,1aa2e9419fcc25fbfc759ffa0a39aa0556abff5bdc3f2c6e4f1950213bdec2e5,13758,c359489b45703ae243d277817832e305716271dd54a7713620ceb4a7943d6393,14658,assembled_authorized_test_not_run
tests/hypotheses/H01/test_h01_stage3_model_support_display_refresh.R,121135a4ea1c86cc6e11fc476615ee207fb34fe01270912d3f74ef2c8b5ad9cb,6747,121135a4ea1c86cc6e11fc476615ee207fb34fe01270912d3f74ef2c8b5ad9cb,6747,protected_unchanged_test_not_run
artifacts/12_manifests/H01_reporting_artifacts.csv,d0ed8e0c62579597f11c3fa701af35b5016e4921bee0000d2fd700b719f25079,11054,dfa9e15f44f0919277264765e84b49b7be78e4822df014abed678b29a9a951b4,11054,direct_current_dependency_reseal_pending_verification
artifacts/12_manifests/H01_stage3_reporting_artifacts.csv,16e752b57eafa43b9cc09d70a698ba194cb3fe83dc62bf1bcc3e08c67f85eb6e,26497,e9fe8740785e9f4d29e17c4333fdc0615347299c1dabea1d62ffad1cdafd11f9,26497,direct_current_dependency_reseal_pending_verification
artifacts/12_manifests/H01/H01_preparation_report_manifest.csv,bae856c2bb75df317f476e7e993178061628c0fcdbc6795a4b88f78843f8d9d0,13841,cb89845e92b39f5bab7a0524508a3f7e2ce1d19ebbc99afe12f1ebf8eb9aefb5,13841,direct_current_dependency_reseal_pending_verification
audit/handoffs/H01_worker_handoff.md,00ae3a8e9aa6a9203f598d57f21ef462cbc676407f50c162fa0ab14c3457d9b0,92106,0de574566315d44934d3c6dd5fd91be9045e2f6b43887c9e3ad98d97caf1f19b,97406,stopped_state_handoff
_build/nathealth/notebooks/hypotheses/H01.html,6e0bb1b3bc3b09ee92fd4650655521c6b8fdc01c125ff10c3df2fe733d3c62aa,1626484,6e0bb1b3bc3b09ee92fd4650655521c6b8fdc01c125ff10c3df2fe733d3c62aa,1626484,protected_held_result_html
_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html,5857f9e0655e5c1a8530c5794008d20dcb364749a8a7c36bd3e7815c15c36d38,667418,5857f9e0655e5c1a8530c5794008d20dcb364749a8a7c36bd3e7815c15c36d38,667418,protected_held_companion_html
_quarto-nathealth.yml,80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3,7480,80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3,7480,protected_profile
