"order","kind","label","part","source","source_sha256","image","image_sha256","crop_top_fraction","crop_bottom_fraction","status"
1,"FIGURE_SVG","Main Figure 1",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/project/resources/4304aa487b3c_descriptive_overview.svg","4304aa487b3c7f6b27b533952315fc9b790d4d00334aeb519a97d28c50d98936","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/project/resources/4304aa487b3c_descriptive_overview.svg","4304aa487b3c7f6b27b533952315fc9b790d4d00334aeb519a97d28c50d98936",0,0,"reuse_byte_exact; inspect_at_intended_size"
2,"TABLE_IMAGE","main_table_1",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/manuscript/R0_NatHealth/display_assets/table1_participant_site.html","95781f53b177f06750c4503f8861fb605e4c9f293de5112131c523d8cc41e4ea","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/resources/f2df0ce73bc3_main_table_1_part_01.png","f2df0ce73bc31f889d457397596257e2e3f7f9c7610ccc0ec9659efc33a2f9b7",0,0,"REUSE image byte-exact"
3,"TABLE_IMAGE","main_table_1",2,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/manuscript/R0_NatHealth/display_assets/table1_participant_site.html","95781f53b177f06750c4503f8861fb605e4c9f293de5112131c523d8cc41e4ea","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/resources/a8e5892c5913_main_table_1_part_02.png","a8e5892c59138ec0b4a13f272d3d05e3f67c21bc641d1194e877399564b02a70",0,0,"REUSE image byte-exact"
4,"TABLE_IMAGE","main_table_2",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_visual_corrections_2026_09_14/attempt_02/source/table2_primary_adherence.html","6951fdf95260c8f4c51a77e906f290b80aa9bc090124fc0adeef4769c2ed7991","","",0,0,"Full-page visual QA complete; optional table-only capture not a gate; production remains held"
5,"FIGURE_SVG","Main Figure 2",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/project/resources/2f9493540f12_figure4_exact_layout_replication.svg","2f9493540f12c9c660d213ee619bc726f1e3a0e34ce52c0e59bdf6bd8102a5cd","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/project/resources/2f9493540f12_figure4_exact_layout_replication.svg","2f9493540f12c9c660d213ee619bc726f1e3a0e34ce52c0e59bdf6bd8102a5cd",0,0,"reuse_byte_exact; inspect_at_intended_size"
6,"TABLE_IMAGE","main_table_3",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/manuscript/R0_NatHealth/display_assets/table3_metric_context.html","d50b25afae95a95d61641349116e504a2bbf06780b43a46b195ac468246e8dc2","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/resources/0ae5066b9063_main_table_3_part_01.png","0ae5066b9063781a0485f1b5d3888687bfd4fc419f86eda424e2333d009b1fa6",0,0,"REUSE image byte-exact"
7,"TABLE_IMAGE","main_table_3",2,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/manuscript/R0_NatHealth/display_assets/table3_metric_context.html","d50b25afae95a95d61641349116e504a2bbf06780b43a46b195ac468246e8dc2","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/resources/9fd4d40280b2_main_table_3_part_02.png","9fd4d40280b22912e5add64cd34963d986099bc2ac9ef3dd92193b492d640c3f",0,0,"REUSE image byte-exact"
8,"TABLE_IMAGE","main_table_3",3,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/manuscript/R0_NatHealth/display_assets/table3_metric_context.html","d50b25afae95a95d61641349116e504a2bbf06780b43a46b195ac468246e8dc2","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/resources/8cb6bba7991c_main_table_3_part_03.png","8cb6bba7991cdca2ffcb60fd94c5dd2022d0fd1e592ab94a5de5f77115088d15",0,0,"REUSE image byte-exact"
9,"TABLE_IMAGE","main_table_3",4,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/manuscript/R0_NatHealth/display_assets/table3_metric_context.html","d50b25afae95a95d61641349116e504a2bbf06780b43a46b195ac468246e8dc2","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/resources/70e68224e2b5_main_table_3_part_04.png","70e68224e2b514462236563f396885d82dc7c786189dad85f58b6f274565fdc1",0,0,"REUSE image byte-exact"
10,"FIGURE_SVG","Main Figure 3",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/project/resources/012453debcd7_H04_manuscript_figure3_selection_candidate.svg","012453debcd7994ab8b8437bd1b829a4935b26d97803963c6621ee2093bd72dd","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/project/resources/012453debcd7_H04_manuscript_figure3_selection_candidate.svg","012453debcd7994ab8b8437bd1b829a4935b26d97803963c6621ee2093bd72dd",0,0,"reuse_byte_exact; inspect_at_intended_size"
