run_id,data_scenario_id,placement,analytical_role,model_id,formula_id,method,discrete,rho_rule,fit_role,formula,family,link,knots,biological_sex_encoding
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,alternative_preprocessing_chest,m0_effect_size_fREML,proposed_m0,fREML,TRUE,one run-specific rho from preliminary full model,conditional effect-size baseline; fitted only when placement criterion opens,"response ~ s(time_hour, bs = ""cc"", k = 12) + s(time_hour, site, bs = ""sz"", k = 12) + s(time_hour, participant, bs = ""fs"", k = 10) + s(participant_day, bs = ""re"")",Gaussian,identity,"time_hour = c(0, 24)",sex treatment contrast with Male reference; sex_smooth ordered Male then Female for cyclic Female-minus-Male deviation
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,alternative_preprocessing_chest,mpattern_final_fREML,proposed_mpattern,fREML,TRUE,one run-specific rho from preliminary full model,final estimation,"response ~ sex + s(time_hour, bs = ""cc"", k = 12) + s(time_hour, by = sex_smooth, bs = ""cc"", k = 12) + s(time_hour, site, bs = ""sz"", k = 12) + s(time_hour, participant, bs = ""fs"", k = 10) + s(participant_day, bs = ""re"")",Gaussian,identity,"time_hour = c(0, 24)",sex treatment contrast with Male reference; sex_smooth ordered Male then Female for cyclic Female-minus-Male deviation
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,alternative_preprocessing_chest,mpattern_preliminary_rho0_fREML,proposed_mpattern,fREML,TRUE,rho = 0,preliminary boundary-aware rho estimation,"response ~ sex + s(time_hour, bs = ""cc"", k = 12) + s(time_hour, by = sex_smooth, bs = ""cc"", k = 12) + s(time_hour, site, bs = ""sz"", k = 12) + s(time_hour, participant, bs = ""fs"", k = 10) + s(participant_day, bs = ""re"")",Gaussian,identity,"time_hour = c(0, 24)",sex treatment contrast with Male reference; sex_smooth ordered Male then Female for cyclic Female-minus-Male deviation
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,alternative_preprocessing_chest,robust_complete_curve_test,proposed_mpattern,post-fit robust Wald,,retained final-model rho and AR.start whitening,global inference,"response ~ sex + s(time_hour, bs = ""cc"", k = 12) + s(time_hour, by = sex_smooth, bs = ""cc"", k = 12) + s(time_hour, site, bs = ""sz"", k = 12) + s(time_hour, participant, bs = ""fs"", k = 10) + s(participant_day, bs = ""re"")",Gaussian,identity,"time_hour = c(0, 24)",sex treatment contrast with Male reference; sex_smooth ordered Male then Female for cyclic Female-minus-Male deviation
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,alternative_preprocessing_chest,robust_level_shape_tests,proposed_mpattern,post-fit robust Wald,,retained final-model rho and AR.start whitening,BH-adjusted decomposition inference,"response ~ sex + s(time_hour, bs = ""cc"", k = 12) + s(time_hour, by = sex_smooth, bs = ""cc"", k = 12) + s(time_hour, site, bs = ""sz"", k = 12) + s(time_hour, participant, bs = ""fs"", k = 10) + s(participant_day, bs = ""re"")",Gaussian,identity,"time_hour = c(0, 24)",sex treatment contrast with Male reference; sex_smooth ordered Male then Female for cyclic Female-minus-Male deviation
alternative_preprocessing__glasses__all_available,alternative_preprocessing,glasses,alternative_preprocessing_near_eye,m0_effect_size_fREML,proposed_m0,fREML,TRUE,one run-specific rho from preliminary full model,conditional effect-size baseline; fitted only when placement criterion opens,"response ~ s(time_hour, bs = ""cc"", k = 12) + s(time_hour, site, bs = ""sz"", k = 12) + s(time_hour, participant, bs = ""fs"", k = 10) + s(participant_day, bs = ""re"")",Gaussian,identity,"time_hour = c(0, 24)",sex treatment contrast with Male reference; sex_smooth ordered Male then Female for cyclic Female-minus-Male deviation
alternative_preprocessing__glasses__all_available,alternative_preprocessing,glasses,alternative_preprocessing_near_eye,mpattern_final_fREML,proposed_mpattern,fREML,TRUE,one run-specific rho from preliminary full model,final estimation,"response ~ sex + s(time_hour, bs = ""cc"", k = 12) + s(time_hour, by = sex_smooth, bs = ""cc"", k = 12) + s(time_hour, site, bs = ""sz"", k = 12) + s(time_hour, participant, bs = ""fs"", k = 10) + s(participant_day, bs = ""re"")",Gaussian,identity,"time_hour = c(0, 24)",sex treatment contrast with Male reference; sex_smooth ordered Male then Female for cyclic Female-minus-Male deviation
alternative_preprocessing__glasses__all_available,alternative_preprocessing,glasses,alternative_preprocessing_near_eye,mpattern_preliminary_rho0_fREML,proposed_mpattern,fREML,TRUE,rho = 0,preliminary boundary-aware rho estimation,"response ~ sex + s(time_hour, bs = ""cc"", k = 12) + s(time_hour, by = sex_smooth, bs = ""cc"", k = 12) + s(time_hour, site, bs = ""sz"", k = 12) + s(time_hour, participant, bs = ""fs"", k = 10) + s(participant_day, bs = ""re"")",Gaussian,identity,"time_hour = c(0, 24)",sex treatment contrast with Male reference; sex_smooth ordered Male then Female for cyclic Female-minus-Male deviation
alternative_preprocessing__glasses__all_available,alternative_preprocessing,glasses,alternative_preprocessing_near_eye,robust_complete_curve_test,proposed_mpattern,post-fit robust Wald,,retained final-model rho and AR.start whitening,global inference,"response ~ sex + s(time_hour, bs = ""cc"", k = 12) + s(time_hour, by = sex_smooth, bs = ""cc"", k = 12) + s(time_hour, site, bs = ""sz"", k = 12) + s(time_hour, participant, bs = ""fs"", k = 10) + s(participant_day, bs = ""re"")",Gaussian,identity,"time_hour = c(0, 24)",sex treatment contrast with Male reference; sex_smooth ordered Male then Female for cyclic Female-minus-Male deviation
alternative_preprocessing__glasses__all_available,alternative_preprocessing,glasses,alternative_preprocessing_near_eye,robust_level_shape_tests,proposed_mpattern,post-fit robust Wald,,retained final-model rho and AR.start whitening,BH-adjusted decomposition inference,"response ~ sex + s(time_hour, bs = ""cc"", k = 12) + s(time_hour, by = sex_smooth, bs = ""cc"", k = 12) + s(time_hour, site, bs = ""sz"", k = 12) + s(time_hour, participant, bs = ""fs"", k = 10) + s(participant_day, bs = ""re"")",Gaussian,identity,"time_hour = c(0, 24)",sex treatment contrast with Male reference; sex_smooth ordered Male then Female for cyclic Female-minus-Male deviation
main__chest__all_available,main,chest,complementary_chest,m0_effect_size_fREML,proposed_m0,fREML,TRUE,one run-specific rho from preliminary full model,conditional effect-size baseline; fitted only when placement criterion opens,"response ~ s(time_hour, bs = ""cc"", k = 12) + s(time_hour, site, bs = ""sz"", k = 12) + s(time_hour, participant, bs = ""fs"", k = 10) + s(participant_day, bs = ""re"")",Gaussian,identity,"time_hour = c(0, 24)",sex treatment contrast with Male reference; sex_smooth ordered Male then Female for cyclic Female-minus-Male deviation
main__chest__all_available,main,chest,complementary_chest,mpattern_final_fREML,proposed_mpattern,fREML,TRUE,one run-specific rho from preliminary full model,final estimation,"response ~ sex + s(time_hour, bs = ""cc"", k = 12) + s(time_hour, by = sex_smooth, bs = ""cc"", k = 12) + s(time_hour, site, bs = ""sz"", k = 12) + s(time_hour, participant, bs = ""fs"", k = 10) + s(participant_day, bs = ""re"")",Gaussian,identity,"time_hour = c(0, 24)",sex treatment contrast with Male reference; sex_smooth ordered Male then Female for cyclic Female-minus-Male deviation
main__chest__all_available,main,chest,complementary_chest,mpattern_preliminary_rho0_fREML,proposed_mpattern,fREML,TRUE,rho = 0,preliminary boundary-aware rho estimation,"response ~ sex + s(time_hour, bs = ""cc"", k = 12) + s(time_hour, by = sex_smooth, bs = ""cc"", k = 12) + s(time_hour, site, bs = ""sz"", k = 12) + s(time_hour, participant, bs = ""fs"", k = 10) + s(participant_day, bs = ""re"")",Gaussian,identity,"time_hour = c(0, 24)",sex treatment contrast with Male reference; sex_smooth ordered Male then Female for cyclic Female-minus-Male deviation
main__chest__all_available,main,chest,complementary_chest,robust_complete_curve_test,proposed_mpattern,post-fit robust Wald,,retained final-model rho and AR.start whitening,global inference,"response ~ sex + s(time_hour, bs = ""cc"", k = 12) + s(time_hour, by = sex_smooth, bs = ""cc"", k = 12) + s(time_hour, site, bs = ""sz"", k = 12) + s(time_hour, participant, bs = ""fs"", k = 10) + s(participant_day, bs = ""re"")",Gaussian,identity,"time_hour = c(0, 24)",sex treatment contrast with Male reference; sex_smooth ordered Male then Female for cyclic Female-minus-Male deviation
main__chest__all_available,main,chest,complementary_chest,robust_level_shape_tests,proposed_mpattern,post-fit robust Wald,,retained final-model rho and AR.start whitening,BH-adjusted decomposition inference,"response ~ sex + s(time_hour, bs = ""cc"", k = 12) + s(time_hour, by = sex_smooth, bs = ""cc"", k = 12) + s(time_hour, site, bs = ""sz"", k = 12) + s(time_hour, participant, bs = ""fs"", k = 10) + s(participant_day, bs = ""re"")",Gaussian,identity,"time_hour = c(0, 24)",sex treatment contrast with Male reference; sex_smooth ordered Male then Female for cyclic Female-minus-Male deviation
main__glasses__all_available,main,glasses,primary_near_eye,m0_effect_size_fREML,proposed_m0,fREML,TRUE,one run-specific rho from preliminary full model,conditional effect-size baseline; fitted only when placement criterion opens,"response ~ s(time_hour, bs = ""cc"", k = 12) + s(time_hour, site, bs = ""sz"", k = 12) + s(time_hour, participant, bs = ""fs"", k = 10) + s(participant_day, bs = ""re"")",Gaussian,identity,"time_hour = c(0, 24)",sex treatment contrast with Male reference; sex_smooth ordered Male then Female for cyclic Female-minus-Male deviation
main__glasses__all_available,main,glasses,primary_near_eye,mpattern_final_fREML,proposed_mpattern,fREML,TRUE,one run-specific rho from preliminary full model,final estimation,"response ~ sex + s(time_hour, bs = ""cc"", k = 12) + s(time_hour, by = sex_smooth, bs = ""cc"", k = 12) + s(time_hour, site, bs = ""sz"", k = 12) + s(time_hour, participant, bs = ""fs"", k = 10) + s(participant_day, bs = ""re"")",Gaussian,identity,"time_hour = c(0, 24)",sex treatment contrast with Male reference; sex_smooth ordered Male then Female for cyclic Female-minus-Male deviation
main__glasses__all_available,main,glasses,primary_near_eye,mpattern_preliminary_rho0_fREML,proposed_mpattern,fREML,TRUE,rho = 0,preliminary boundary-aware rho estimation,"response ~ sex + s(time_hour, bs = ""cc"", k = 12) + s(time_hour, by = sex_smooth, bs = ""cc"", k = 12) + s(time_hour, site, bs = ""sz"", k = 12) + s(time_hour, participant, bs = ""fs"", k = 10) + s(participant_day, bs = ""re"")",Gaussian,identity,"time_hour = c(0, 24)",sex treatment contrast with Male reference; sex_smooth ordered Male then Female for cyclic Female-minus-Male deviation
main__glasses__all_available,main,glasses,primary_near_eye,robust_complete_curve_test,proposed_mpattern,post-fit robust Wald,,retained final-model rho and AR.start whitening,global inference,"response ~ sex + s(time_hour, bs = ""cc"", k = 12) + s(time_hour, by = sex_smooth, bs = ""cc"", k = 12) + s(time_hour, site, bs = ""sz"", k = 12) + s(time_hour, participant, bs = ""fs"", k = 10) + s(participant_day, bs = ""re"")",Gaussian,identity,"time_hour = c(0, 24)",sex treatment contrast with Male reference; sex_smooth ordered Male then Female for cyclic Female-minus-Male deviation
main__glasses__all_available,main,glasses,primary_near_eye,robust_level_shape_tests,proposed_mpattern,post-fit robust Wald,,retained final-model rho and AR.start whitening,BH-adjusted decomposition inference,"response ~ sex + s(time_hour, bs = ""cc"", k = 12) + s(time_hour, by = sex_smooth, bs = ""cc"", k = 12) + s(time_hour, site, bs = ""sz"", k = 12) + s(time_hour, participant, bs = ""fs"", k = 10) + s(participant_day, bs = ""re"")",Gaussian,identity,"time_hour = c(0, 24)",sex treatment contrast with Male reference; sex_smooth ordered Male then Female for cyclic Female-minus-Male deviation
