"endpoint","table_id","row","column","expected","actual","exact_value"
"tbl-main-samples","samples",1,"Sample","Any valid period","Any valid period",TRUE
"tbl-main-samples","samples",1,"Window periods","2298","2298",TRUE
"tbl-main-samples","samples",1,"Participants","140","140",TRUE
"tbl-main-samples","samples",1,"Wake-anchored cycles","794","794",TRUE
"tbl-main-samples","samples",1,"Valid minutes","1043192","1043192",TRUE
"tbl-main-samples","samples",2,"Sample","At least 80% coverage","At least 80% coverage",TRUE
"tbl-main-samples","samples",2,"Window periods","2069","2069",TRUE
"tbl-main-samples","samples",2,"Participants","140","140",TRUE
"tbl-main-samples","samples",2,"Wake-anchored cycles","762","762",TRUE
"tbl-main-samples","samples",2,"Valid minutes","996868","996868",TRUE
"tbl-main-adherence-levels","levels",1,"Sample","Any valid period","Any valid period",TRUE
"tbl-main-adherence-levels","levels",1,"Window","Daytime","Daytime",TRUE
"tbl-main-adherence-levels","levels",1,"Day type","Work day","Work day",TRUE
"tbl-main-adherence-levels","levels",1,"Recommendation adherence (95% CI)","26.6% (24.5% to 28.7%)","26.6% (24.5% to 28.7%)",TRUE
"tbl-main-adherence-levels","levels",2,"Sample","Any valid period","Any valid period",TRUE
"tbl-main-adherence-levels","levels",2,"Window","Daytime","Daytime",TRUE
"tbl-main-adherence-levels","levels",2,"Day type","Free day","Free day",TRUE
"tbl-main-adherence-levels","levels",2,"Recommendation adherence (95% CI)","21.5% (19.2% to 23.8%)","21.5% (19.2% to 23.8%)",TRUE
"tbl-main-adherence-levels","levels",3,"Sample","Any valid period","Any valid period",TRUE
"tbl-main-adherence-levels","levels",3,"Window","Pre-sleep","Pre-sleep",TRUE
"tbl-main-adherence-levels","levels",3,"Day type","Work day","Work day",TRUE
"tbl-main-adherence-levels","levels",3,"Recommendation adherence (95% CI)","62.0% (58.8% to 65.2%)","62.0% (58.8% to 65.2%)",TRUE
"tbl-main-adherence-levels","levels",4,"Sample","Any valid period","Any valid period",TRUE
"tbl-main-adherence-levels","levels",4,"Window","Pre-sleep","Pre-sleep",TRUE
"tbl-main-adherence-levels","levels",4,"Day type","Free day","Free day",TRUE
"tbl-main-adherence-levels","levels",4,"Recommendation adherence (95% CI)","67.9% (64.2% to 71.6%)","67.9% (64.2% to 71.6%)",TRUE
"tbl-main-adherence-levels","levels",5,"Sample","Any valid period","Any valid period",TRUE
