check,passed,detail
318 exact unique non-circular members,True,
Final Word delivery identity,True,
ZIP member set unchanged,True,
Only document.xml differs and 87 other ZIP members exact,True,
47 exact drawing identities with preserved aspect ratio,True,
Drawing 1 source and proportional geometry,True,
Drawing 2 source and proportional geometry,True,
Drawing 3 source and proportional geometry,True,
Drawing 4 source and proportional geometry,True,
Drawing 5 source and proportional geometry,True,
Drawing 6 source and proportional geometry,True,
Drawing 7 source and proportional geometry,True,
Drawing 8 source and proportional geometry,True,
Drawing 9 source and proportional geometry,True,
Drawing 10 source and proportional geometry,True,
Drawing 11 source and proportional geometry,True,
Drawing 12 source and proportional geometry,True,
Drawing 13 source and proportional geometry,True,
Drawing 14 source and proportional geometry,True,
Drawing 15 source and proportional geometry,True,
Drawing 16 source and proportional geometry,True,
Drawing 17 source and proportional geometry,True,
Drawing 18 source and proportional geometry,True,
Drawing 19 source and proportional geometry,True,
Drawing 20 source and proportional geometry,True,
Drawing 21 source and proportional geometry,True,
Drawing 22 source and proportional geometry,True,
Drawing 23 source and proportional geometry,True,
Drawing 24 source and proportional geometry,True,
Drawing 25 source and proportional geometry,True,
Drawing 26 source and proportional geometry,True,
Drawing 27 source and proportional geometry,True,
Drawing 28 source and proportional geometry,True,
Drawing 29 source and proportional geometry,True,
Drawing 30 source and proportional geometry,True,
Drawing 31 source and proportional geometry,True,
Drawing 32 source and proportional geometry,True,
Drawing 33 source and proportional geometry,True,
Drawing 34 source and proportional geometry,True,
Drawing 35 source and proportional geometry,True,
Drawing 36 source and proportional geometry,True,
Drawing 37 source and proportional geometry,True,
Drawing 38 source and proportional geometry,True,
Drawing 39 source and proportional geometry,True,
Drawing 40 source and proportional geometry,True,
Drawing 41 source and proportional geometry,True,
Drawing 42 source and proportional geometry,True,
Drawing 43 source and proportional geometry,True,
Drawing 44 source and proportional geometry,True,
Drawing 45 source and proportional geometry,True,
Drawing 46 source and proportional geometry,True,
Drawing 47 source and proportional geometry,True,
37 A4 sections,True,
No image crop rectangles,True,
main actual PDF count,True,
main page 1 A4 and reviewed pixel identity,True,
main page 2 A4 and reviewed pixel identity,True,
main page 3 A4 and reviewed pixel identity,True,
main page 4 A4 and reviewed pixel identity,True,
main page 5 A4 and reviewed pixel identity,True,
